t,C,Y,pi,r,w
0,-0.0018128042706858382,-0.0018128042706858413,-0.0019654859024405328,0.001975313331952735,-0.006046828293047231
1,-0.001230461921818111,-0.001230461921818108,-0.001367607088501489,0.0009262162702831974,-0.004103978478610064
2,-0.000863828536261398,-0.0008638285362614001,-0.0009619952868436863,0.0006653946305256709,-0.002881485490602767
3,-0.0006053875868810771,-0.0006053875868810763,-0.0006772159714723254,0.0004626091210641575,-0.002019715652218507
4,-0.00042444215391507543,-0.0004244421539150761,-0.00047762062828172813,0.00032168477421464837,-0.0014163561898485866
5,-0.00029769845689489594,-0.0002976984568948952,-0.0003376649343433539,0.00022317231659247825,-0.0009937322797044243
6,-0.00020891620936059528,-0.00020891620936059553,-0.00023948316490477638,0.00015435817921426924,-0.0006976906834803179
7,-0.00014671730469402116,-0.0001467173046940212,-0.00017056266703952848,0.00010631323301756149,-0.0004902909004457805
8,-0.00010313413683267329,-0.00010313413683267292,-0.00012214124487992505,7.279370054503185e-05,-0.0003449647417013939
9,-7.258768691226658e-05,-7.258768691226649e-05,-8.808299456333454e-05,4.9431567216263537e-05,-0.000243108787784419
10,-5.117084801249192e-05,-5.1170848012491824e-05,-6.409097636381725e-05,3.317095690063448e-05,-0.00017169463737752813
11,-3.61475436420025e-05,-3.6147543642002534e-05,-4.7156120189194786e-05,2.1874248494414838e-05,-0.00012159873090448361
12,-2.560182794877268e-05,-2.560182794877283e-05,-3.517122833424007e-05,1.4046072767119059e-05,-8.643227674802265e-05
13,-1.8192167264108073e-05,-1.8192167264107988e-05,-2.6660640662735013e-05,8.640319367188557e-06,-6.172189980333717e-05
14,-1.2979385668466468e-05,-1.2979385668466473e-05,-2.0590892935813314e-05,4.925139008139839e-06,-4.433592178150871e-05
15,-9.306176693315465e-06,-9.306176693315514e-06,-1.623808726145074e-05,2.3885151152630037e-06,-3.208258953108453e-05
16,-6.712685060732045e-06,-6.712685060732108e-06,-1.309497744988396e-05,6.72225219814757e-07,-2.34285779059941e-05
17,-4.877356139158773e-06,-4.877356139158714e-06,-1.080588025758092e-05,-4.743238735568754e-07,-1.730174443326682e-05
18,-3.5752134308417313e-06,-3.5752134308417562e-06,-9.121084343325567e-06,-1.2263677716490169e-06,-1.2951989589313438e-05
19,-2.64825974859227e-06,-2.6482597485922656e-06,-7.865014811316194e-06,-1.7062526348394588e-06,-9.85254260594451e-06
20,-1.985235588114015e-06,-1.9852355881139623e-06,-6.914159353475353e-06,-1.9990682703882777e-06,-7.632467098609075e-06
21,-1.5080629259814013e-06,-1.5080629259813797e-06,-6.1816672068325185e-06,-2.163856829906052e-06,-6.031469677787139e-06
22,-1.1620948236511555e-06,-1.1620948236512049e-06,-5.606412840249068e-06,-2.241691245590257e-06,-4.867389849880248e-06
23,-9.090244718109583e-07,-9.090244718109187e-07,-5.145272224537358e-06,-2.261165412567811e-06,-4.012552591913724e-06
24,-7.219612768656657e-07,-7.219612768656879e-07,-4.767737050172716e-06,-2.2421139178804358e-06,-3.377348281312629e-06
25,-5.819978097853856e-07,-5.819978097853945e-07,-4.452152233151647e-06,-2.198239502490255e-06,-2.898784468041701e-06
26,-4.758156659331094e-07,-4.7581566593306696e-07,-4.183085155279176e-06,-2.1389606137559087e-06,-2.532502279977719e-06
