t,dC_drstar_0,dY_drstar_0,dpi_drstar_0
0,-0.3989778714270355,-0.39897787142703656,-0.15844705599562392
1,-0.06924294875645767,-0.0692429487564578,-0.02553812343477224
2,0.002126328894544104,0.002126328894544076,-0.002317230162198967
3,-0.000910656735850314,-0.0009106567358503317,-0.0030302487206379045
4,-0.0007130920759855254,-0.0007130920759855155,-0.0027228679418694205
5,-0.0006114113086100065,-0.0006114113086100382,-0.002480072130563732
6,-0.0005185849697161883,-0.0005185849697162046,-0.0022699308459345137
7,-0.00044468964826226663,-0.00044468964826230165,-0.0020896851527679927
8,-0.00038571089032965033,-0.00038571089032966995,-0.001933161087919273
9,-0.0003379686459123992,-0.0003379686459123968,-0.0017955008627037088
10,-0.000298710315839331,-0.0002987103158393564,-0.001673057846313852
11,-0.00026568090544868556,-0.00026568090544866864,-0.0015630911320957787
12,-0.00023725956351186225,-0.00023725956351187947,-0.0014636027890116206
13,-0.0002123026002745776,-0.00021230260027457984,-0.001373128094445595
14,-0.00019003425989732366,-0.00019003425989731757,-0.001290577545583196
15,-0.00016997470287944717,-0.00016997470287946,-0.0012151148937974382
16,-0.00015188144715703403,-0.00015188144715704547,-0.0011460587988471735
17,-0.00013568621556848005,-0.00013568621556849856,-0.0010828036398821842
18,-0.00012142584770494323,-0.00012142584770495358,-0.0010247611992564134
19,-0.00010904756448195958,-0.00010904756448197026,-0.0009713255008386984
20,-9.820320396026344e-05,-9.82032039602579e-05,-0.0009219033176447621
21,-8.845512595633508e-05,-8.845512595634177e-05,-0.0008760141069044624
22,-7.958701744372777e-05,-7.958701744373372e-05,-0.0008333208340884327
23,-7.153178354134346e-05,-7.153178354135329e-05,-0.0007935561867707605
24,-6.423010815988315e-05,-6.423010815988212e-05,-0.0007564727428939651
25,-5.7616816588064446e-05,-5.7616816588067895e-05,-0.0007218405338847193
26,-5.162525989626295e-05,-5.162525989627212e-05,-0.0006894491921290597
27,-4.619221884852136e-05,-4.6192218848525315e-05,-0.0006591086322273718
28,-4.126040723766416e-05,-4.1260407237669715e-05,-0.000630648081261012
29,-3.6779022125377724e-05,-3.677902212537362e-05,-0.000603914257063727
30,-3.270333828517009e-05,-3.270333828517619e-05,-0.0005787693476759644
31,-2.8993982565467084e-05,-2.8993982565478546e-05,-0.0005550891126605048
32,-2.5616171450451933e-05,-2.56161714504478e-05,-0.0005327612146934767
33,-2.253902637966345e-05,-2.2539026379666625e-05,-0.0005116837950778277
34,-1.9734988255307e-05,-1.9734988255311296e-05,-0.0004917642682872362
35,-1.7179335945103312e-05,-1.717933594510702e-05,-0.000472918303449415
36,-1.4849796635532219e-05,-1.4849796635532241e-05,-0.0004550689588982924
37,-1.2726228671725015e-05,-1.2726228671732172e-05,-0.00043814593983662717
38,-1.0790358526200586e-05,-1.0790358526208223e-05,-0.000422084955595428
39,-9.025558324707826e-06,-9.025558324710672e-06,-0.0004068271589588216
40,-7.41665546294271e-06,-7.416655462946334e-06,-0.0003923186546121527
41,-5.949769374377894e-06,-5.9497693743804544e-06,-0.00037851006638587003
42,-4.612173136829285e-06,-4.61217313683283e-06,-0.0003653561547863433
43,-3.392179354733821e-06,-3.3921793547346933e-06,-0.00035281547681003766
44,-2.279050725503655e-06,-2.279050725501976e-06,-0.00034085008031590173
45,-1.262935686753043e-06,-1.2629356867560644e-06,-0.00032942522504561826
46,-3.348287217538187e-07,-3.3482872175578776e-07,-0.0003185091220709154
47,5.134462248966055e-07,5.134462248967783e-07,-0.0003080726836966965
48,1.2892323037545957e-06,1.289232303751559e-06,-0.0002980892761765598
49,1.999020898955234e-06,1.9990208989531188e-06,-0.0002885344687121239
50,2.6484236615048097e-06,2.6484236615004877e-06,-0.0002793857735636846
51,3.2421432246761313e-06,3.2421432246741225e-06,-0.00027062237434242846
52,3.7839517114997973e-06,3.783951711495616e-06,-0.0002622248420285318
53,4.276687111469824e-06,4.276687111460942e-06,-0.0002541748413168455
54,4.722278013462051e-06,4.722278013455935e-06,-0.0002464548333400563
55,5.121806906035337e-06,5.121806906030824e-06,-0.00023904778432341147
56,5.4756211783305725e-06,5.475621178327059e-06,-0.00023193689314425454
57,5.78349888370874e-06,5.783498883708021e-06,-0.00022510535397712324
58,6.044873269563187e-06,6.04487326956209e-06,-0.00021853617258979177
59,6.2591159500535905e-06,6.259115950054902e-06,-0.00021221205631635136
60,6.425873547753237e-06,6.425873547747578e-06,-0.000206115397754456
61,6.545446734710584e-06,6.545446734706224e-06,-0.0002002283706393207
62,6.619194131100327e-06,6.619194131100422e-06,-0.00019453315271004935
