t,C,Y,pi,r,w
0,-0.002790817945747737,-0.002790817945747737,-0.0024727912789700517,0.002485155235364902,-0.0094533547131192
1,-0.0011919119936428806,-0.0011919119936428769,-0.0015350930866964237,0.0003335816336748282,-0.0040212774625891495
2,-0.0010326477205900167,-0.0010326477205900163,-0.0011386301671396982,0.0005916836879307609,-0.0035025096789162665
3,-0.0006708770229449495,-0.0006708770229449497,-0.0007923210952443112,0.0003133374500109853,-0.0022828216341601467
4,-0.00048271562305538635,-0.0004827156230553864,-0.0005668591264874397,0.0002387117792534098,-0.0016513554376806259
5,-0.0003339301335867673,-0.0003339301335867672,-0.00040373220063297314,0.00015571217190497822,-0.0011506212181487637
6,-0.00023411671646043534,-0.00023411671646043542,-0.00029011342921218743,0.00010614069540878845,-0.0008146494733902337
7,-0.00016302749058958284,-0.00016302749058958322,-0.00020969172428252872,6.969253908566011e-05,-0.0005750117976440454
8,-0.0001135128154801512,-0.00011351281548015052,-0.00015295149724071466,4.5064418303125036e-05,-0.0004078358300414286
9,-7.873180254665843e-05,-7.873180254665858e-05,-0.00011272875380775485,2.7985176715721535e-05,-0.0002901289808499268
10,-5.437303885318142e-05,-5.437303885318155e-05,-8.41344350013757e-05,1.6345993964750262e-05,-0.00020742866454653762
11,-3.7294292503106343e-05,-3.729429250310628e-05,-6.370852638945535e-05,8.444228769339019e-06,-0.0001491858598562198
12,-2.532667632033266e-05,-2.5326676320332533e-05,-4.903389010585258e-05,3.1494385471987927e-06,-0.00010812113240273591
13,-1.694220764652667e-05,-1.6942207646526585e-05,-3.841288574990696e-05,-3.426669776224016e-07,-7.910547940299892e-05
14,-1.1071838182137009e-05,-1.1071838182137287e-05,-3.065484949865497e-05,-2.5889522769622203e-06,-5.8550480921501726e-05
15,-6.9653989107843406e-06,-6.965398910784256e-06,-2.4923800413537324e-05,-3.978278011152458e-06,-4.393801983639193e-05
16,-4.096883749834444e-06,-4.096883749834293e-06,-2.0632648422047662e-05,-4.7809851812906e-06,-3.3502442552457556e-05
17,-2.0973412683388687e-06,-2.097341268339029e-06,-1.7368816187635927e-05,-5.185079722097146e-06,-2.6005301541929134e-05
18,-7.079693276495786e-07,-7.0796932764955e-07,-1.4842127463610216e-05,-5.321123330845458e-06,-2.0577911389784066e-05
19,2.5281148341709404e-07,2.5281148341708615e-07,-1.2848258006254891e-05,-5.279657904353043e-06,-1.6610816197361774e-05
20,9.124534378643443e-07,9.124534378642691e-07,-1.1243112268451331e-05,-5.1233353832454675e-06,-1.3676253157427102e-05
21,1.3604724279473216e-06,1.3604724279474866e-06,-9.924864387472112e-06,-4.895373035827229e-06,-1.1473793502517372e-05
22,1.659788128055865e-06,1.6597881280558524e-06,-8.82137246240651e-06,-4.625452596281417e-06,-9.792267127096896e-06
23,1.8546643232228422e-06,1.8546643232228513e-06,-7.881356478445324e-06,-4.333840170626471e-06,-8.48310141790805e-06
24,1.9762683042953894e-06,1.9762683042953437e-06,-7.068211568337786e-06,-4.0342634079864906e-06,-7.441654043145719e-06
25,2.0465637284260683e-06,2.046563728426113e-06,-6.355666394843328e-06,-3.735919547237718e-06,-6.594141423210648e-06
26,2.0810377211810194e-06,2.081037721181002e-06,-5.7247335137848645e-06,-3.4448752559952124e-06,-5.888481625933496e-06
27,2.0906127637110306e-06,2.090612763711026e-06,-5.16156477794749e-06,-3.1650406603988774e-06,-5.287874754236805e-06
28,2.0829883971616e-06,2.0829883971614876e-06,-4.655941189036439e-06,-2.898845366030778e-06,-4.766298126360529e-06
29,2.0635839651777924e-06,2.063583965177775e-06,-4.200207933282376e-06,-2.6477061764696874e-06,-4.3053413661667185e-06
