t,dC_drstar_0,dY_drstar_0,dpi_drstar_0
0,-0.4834506014836425,-0.48345060148364183,-0.27678634196854274
1,-0.3860465046766205,-0.3860465046766201,-0.11421114836317613
2,0.09877860971516216,0.09877860971516225,0.01846938201926259
3,-0.027173407583925273,-0.027173407583925228,-0.014888483891381662
4,0.006008422331494028,0.006008422331493993,-0.005123404374110511
5,-0.0023155045719156064,-0.0023155045719156077,-0.0067309477579577046
6,0.00012603529770926006,0.0001260352977092567,-0.0054979598505455855
7,-0.0002827808894231114,-0.00028278088942309984,-0.005111538740292918
8,6.003982902489519e-06,6.003982902543827e-06,-0.0045959710480820955
9,7.400739072048121e-05,7.400739072048858e-05,-0.004190485435872088
10,0.0001683677407758183,0.00016836774077585038,-0.003819735444080369
11,0.00023067148029075682,0.00023067148029076772,-0.003492930633071131
12,0.00028066367277689366,0.00028066367277690207,-0.003199205994129905
13,0.0003172399006035019,0.0003172399006035274,-0.002934395480589231
14,0.00034413539157531793,0.00034413539157534574,-0.002693899623426995
15,0.0003633018669045064,0.00036330186690453086,-0.0024743504351265296
16,0.0003765806675587839,0.00037658066755879416,-0.0022730073869686946
17,0.00038531535900787617,0.00038531535900788137,-0.0020877255260173303
18,0.00039052295316332336,0.0003905229531633339,-0.001916789996545753
19,0.0003929638739364645,0.00039296387393648023,-0.001758808435182394
20,0.00039321892602801195,0.00039321892602802155,-0.0016126266876331046
21,0.00039174500955811535,0.00039174500955815276,-0.0014772704148615162
22,0.00038891097835330735,0.00038891097835331987,-0.0013519054276581756
23,0.0003850186968750065,0.00038501869687501786,-0.0012358100320945566
24,0.00038031601845694984,0.0003803160184569603,-0.001128354369495216
25,0.00037500546957924125,0.00037500546957924407,-0.0010289840162816788
26,0.0003692506509033709,0.00036925065090338,-0.0009372063935441591
27,0.00036318148295479136,0.00036318148295480204,-0.0008525792192878776
28,0.00035689881533572734,0.00035689881533573526,-0.0007747006195806186
29,0.0003504785727492087,0.00035047857274921854,-0.0007032006907573814
30,0.0003439754964740839,0.0003439754964740882,-0.0006377343627976218
31,0.0003374265318085382,0.0003374265318085431,-0.0005779754327492953
32,0.0003308539149175435,0.00033085391491755734,-0.0005236116532726078
33,0.0003242680040883919,0.0003242680040884005,-0.00047434077857732025
34,0.00031766988689579945,0.00031766988689581257,-0.0004298674845582298
35,0.0003110537823108016,0.0003110537823108142,-0.0003899010900177189
36,0.00030440924554650355,0.00030440924554651585,-0.0003541540118589314
37,0.00029772317308113597,0.0002977231730811518,-0.00032234088942317737
38,0.00029098159660833137,0.000290981596608328,-0.00029417831204782825
39,0.0002841712490513487,0.00028417124905136016,-0.000269385079970869
40,0.00027728088401708303,0.0002772808840170927,-0.00024768292293125284
41,0.00027030233218540076,0.0002703023321854136,-0.00022879759449838017
42,0.0002632312835398644,0.0002632312835398718,-0.00021246025464805076
43,0.00025606779221708925,0.00025606779221709744,-0.0001984090494902177
44,0.00024881651022289064,0.00024881651022289823,-0.0001863907961417614
45,0.00024148666620921536,0.00024148666620922278,-0.00017616268311799663
46,0.00023409181505415662,0.0002340918150541652,-0.00016749390240419272
47,0.00022664939219708968,0.00022664939219709405,-0.0001601671384265115
48,0.00021918011282871623,0.00021918011282872146,-0.0001539798510233968
49,0.0002117072597792556,0.00021170725977926738,-0.00014874530345965274
50,0.00020425590496147422,0.00020425590496148485,-0.00014429330176662138
51,0.000196852107788293,0.00019685210778829358,-0.00014047062721122088
52,0.00018952213023331818,0.00018952213023333008,-0.0001371411587082864
53,0.00018229170273665295,0.00018229170273665615,-0.00013418569564987342
54,0.00017518536842777224,0.00017518536842777628,-0.00013150150337107268
55,0.0001682259257420396,0.0001682259257420458,-0.00012900161285017578
56,0.00016143398206130283,0.0001614339820613084,-0.00012661391299933613
57,0.00015482762373285677,0.00015482762373286187,-0.00012428007811645338
58,0.0001484222015204345,0.00014842220152044418,-0.00012195437462496734
59,0.00014223022489460654,0.00014223022489462034,-0.00011960239069732364
60,0.00013626135435293105,0.0001362613543529386,-0.00011719972974396937
61,0.0001305224777055601,0.00013052247770556407,-0.00011473070471638261
62,0.00012501785430326512,0.00012501785430326891,-0.00011218706496991258
63,0.00011974931028472212,0.00011974931028472068,-0.00010956678154004125
64,0.00011471646792472409,0.00011471646792472688,-0.00010687291050782215
65,0.00010991699313764314,0.00010991699313764723,-0.00010411254789137835
66,0.00010534684664283839,0.00010534684664284022,-0.00010129588367875753
67,0.00010100052645235433,0.00010100052645235907,-9.843535724721994e-05
68,9.687129177214301e-05,9.687129177214797e-05,-9.554491182497583e-05
69,9.295136112253202e-05,9.295136112253738e-05,-9.26393419361946e-05
70,8.92320803892073e-05,8.923208038921176e-05,-8.973372497647332e-05
71,8.570405943409722e-05,8.570405943409582e-05,-8.684292632479995e-05
72,8.23572788072758e-05,8.235727880727978e-05,-8.398116667930954e-05
73,7.918117090609765e-05,7.91811709060954e-05,-8.116164060947424e-05
74,7.616468252236858e-05,7.61646825223735e-05,-7.839617662338531e-05
75,7.329632803323473e-05,7.32963280332395e-05,-7.569493127616238e-05
76,7.056424440301731e-05,7.056424440302043e-05,-7.306611290045524e-05
77,6.79562605994978e-05,6.795626059950011e-05,-7.051573427471857e-05
78,6.545999477043478e-05,6.545999477043781e-05,-6.804739783991434e-05
79,6.306299255791521e-05,6.306299255791585e-05,-6.566212163552953e-05
80,6.0752919008824624e-05,6.075291900882694e-05,-6.335821875570017e-05
81,5.851781454351175e-05,5.851781454351153e-05,-6.113124750208592e-05
82,5.6346422356367415e-05,5.634642235637068e-05,-5.8974053119532266e-05
83,5.4228590127666267e-05,5.4228590127667723e-05,-5.6876924758111425e-05
84,5.2155743282144076e-05,5.215574328214984e-05,-5.482789252007472e-05
85,5.012141994525845e-05,5.012141994526828e-05,-5.281318883642633e-05
86,4.8121849606571655e-05,4.812184960657598e-05,-5.0817895391675245e-05
87,4.615654831431962e-05,4.615654831432426e-05,-4.882679106503016e-05
88,4.42288934844352e-05,4.422889348443798e-05,-4.6825407467971466e-05
89,4.234663150392594e-05,4.234663150392825e-05,-4.4801286454919864e-05
90,4.052226187171645e-05,4.052226187171816e-05,-4.274541838951156e-05
91,3.877323356156655e-05,3.877323356156829e-05,-4.0653821032133195e-05
92,3.7121883258819585e-05,3.712188325882156e-05,-3.8529197226389906e-05
93,3.5595042470104934e-05,3.5595042470105504e-05,-3.638258563262593e-05
94,3.422324209279015e-05,3.422324209278944e-05,-3.4234893776906446e-05
95,3.303945007500017e-05,3.303945007500527e-05,-3.211817806873063e-05
96,3.20772914626493e-05,3.2077291462651646e-05,-3.0076512943238308e-05
97,3.136872125313137e-05,3.1368721253134815e-05,-2.8166273194172394e-05
98,3.09411498052338e-05,3.0941149805239e-05,-2.6455642413187492e-05
99,3.081405852637699e-05,3.081405852637921e-05,-2.5023158960178354e-05
100,3.099518994147468e-05,3.0995189941476776e-05,-2.3955122081455795e-05
101,3.147645031036789e-05,3.14764503103714e-05,-2.3341707571346057e-05
102,3.2229723341646935e-05,3.2229723341648676e-05,-2.3271687359167723e-05
103,3.32028578223318e-05,3.320285782233653e-05,-2.3825712898415542e-05
104,3.431615677200288e-05,3.431615677200877e-05,-2.506820971097014e-05
105,3.545975685238616e-05,3.5459756852387864e-05,-2.703804015789304e-05
106,3.649233892258526e-05,3.6492338922587426e-05,-2.9738222496446915e-05
107,3.7241646255081924e-05,3.724164625508373e-05,-3.3125143665204325e-05
108,3.750729946030377e-05,3.750729946030605e-05,-3.7097865610890184e-05
109,3.706638331346483e-05,3.7066383313468234e-05,-4.148829261611639e-05
110,3.568222345336734e-05,3.568222345336615e-05,-4.605313150438316e-05
111,3.311668210196055e-05,3.311668210196436e-05,-5.0468722882690344e-05
112,2.9146134579847993e-05,2.9146134579851595e-05,-5.4329939784310384e-05
113,2.358107012359438e-05,2.358107012359694e-05,-5.715441250690528e-05
114,1.628914056285135e-05,1.6289140562853376e-05,-5.8393327952307856e-05
115,7.221004955223695e-06,7.221004955224828e-06,-5.745000703649486e-05
116,-3.5621905199768877e-06,-3.5621905199749468e-06,-5.3707252862063576e-05
117,-1.5861074313710394e-05,-1.58610743137056e-05,-4.656407245469703e-05
118,-2.9311272146358147e-05,-2.931127214635664e-05,-3.548192182230384e-05
119,-4.336026012999143e-05,-4.336026012999157e-05,-2.0040242357520793e-05
