horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,0.6330298438126795,0.13203327872656345,1.1340264088987955,0.30458428450843367,0.015225064354863913,0.009637920110597496,0.002010215165595613,0.01726562505559938,2614,driscoll_kraay,cumulative,log
1,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.22109941400751526,-0.9518179684528654,0.5096191404378347,0.4442453373797428,0.015225064354863913,-0.0033662528070871195,-0.014491489823810705,0.007758984209636464,2587,driscoll_kraay,cumulative,log
2,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.6485967725173758,-1.132872448567741,-0.16432109646701065,0.2944187057835103,0.015225064354863913,-0.009874927601934076,-0.017248055935296117,-0.002501799268572038,2560,driscoll_kraay,cumulative,log
3,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.005468470021294625,-0.6741723114205288,0.6632353713779396,0.40654306890430875,0.015225064354863913,-8.32578079968547e-5,-0.010264316827644906,0.010097801211651198,2533,driscoll_kraay,cumulative,log
4,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.40117785658963523,-1.171419003250072,0.36906329007080163,0.4682733673317677,0.015225064354863913,-0.0061079586843235615,-0.017834929710992885,0.0056190123423457625,2506,driscoll_kraay,cumulative,log
5,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.17177625072389296,-1.0409441856898822,0.6973916842420962,0.5284165841412175,0.015225064354863913,-0.002615304471908509,-0.01584844221694987,0.010617833273132848,2479,driscoll_kraay,cumulative,log
6,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.11975253255914191,-0.8989242751426797,0.659419210024396,0.4737027841362604,0.015225064354863913,-0.0018232400148708715,-0.013686179939196692,0.010039699909454951,2452,driscoll_kraay,cumulative,log
7,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.37162097429389723,-1.1933341797102057,0.4500922311224112,0.4995661571049639,0.015225064354863913,-0.005657953249241813,-0.01816858968294662,0.006852683184462993,2425,driscoll_kraay,cumulative,log
8,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.5858207795306614,-1.4142951503658163,0.2426535913044935,0.5036766538130372,0.015225064354863913,-0.008919159068770863,-0.021532734681091487,0.0036944165435497597,2398,driscoll_kraay,cumulative,log
9,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.9841510238223035,-2.007994403155017,0.03969235551040984,0.6224525772729563,0.015225064354863913,-0.014983762672599777,-0.030571844012241684,6.04318667042127e-4,2371,driscoll_kraay,cumulative,log
10,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.6042408333574372,-3.1736990726009795,-0.03478259411389506,0.9541628589483276,0.015225064354863913,-0.024424669928567493,-0.04831977262332183,-5.29567233813163e-4,2344,driscoll_kraay,cumulative,log
11,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.30245418989077905,-1.300507994176166,0.6955996143946077,0.6067736289308329,0.015225064354863913,-0.004604884505485341,-0.019800317905347108,0.010590548894376424,2317,driscoll_kraay,cumulative,log
12,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.8873604088085918,-1.961892612926328,0.18717179530914452,0.6532691946025897,0.015225064354863913,-0.01351011933006916,-0.029869941289135463,0.002849702628997141,2290,driscoll_kraay,cumulative,log
13,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.3096410127636911,-1.2423194234752577,0.6230373979478754,0.567028211768708,0.015225064354863913,-0.004714304346232435,-0.018914393171708233,0.00948578447924336,2263,driscoll_kraay,cumulative,log
14,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.6252888401345402,-1.7440632051488911,0.4934855248798107,0.6801665185782263,0.015225064354863913,-0.009520062831426588,-0.026553474537342088,0.007513348874488914,2236,driscoll_kraay,cumulative,log
15,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.0555143409172063,-2.2933719907854675,0.1823433089510551,0.7525640151716565,0.015225064354863913,-0.016070273767946234,-0.03491673614935111,0.002776188613458647,2209,driscoll_kraay,cumulative,log
16,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.3756973342462582,-2.8632581085697684,0.1118634400772518,0.9043727356339397,0.015225064354863913,-0.02094508044671401,-0.043593288967560644,0.0017031280741326216,2182,driscoll_kraay,cumulative,log
17,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.0060831942383437,-2.6319605874216285,0.6197941989449411,0.988463269036676,0.015225064354863913,-0.015317681378625832,-0.04007176932295972,0.009436406565708056,2155,driscoll_kraay,cumulative,log
18,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.7013325606530106,-2.318919865872714,0.916254744566693,0.9834232534220674,0.015225064354863913,-0.010677833370103586,-0.03530570419168447,0.013950037451477297,2128,driscoll_kraay,cumulative,log
19,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.5453516646193182,-2.873120162159637,-0.2175831670789996,0.807225929276862,0.015225064354863913,-0.023528078544725193,-0.043743439368137516,-0.003312717721312876,2101,driscoll_kraay,cumulative,log
20,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.3416635664879217,-2.8834225872309327,0.200095454255089,0.9373229298223128,0.015225064354863913,-0.020426914142354848,-0.04390029445285915,0.003046466168149458,2074,driscoll_kraay,cumulative,log
21,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-0.9862234813985672,-2.380148799464646,0.4077018366675119,0.8474464202930589,0.015225064354863913,-0.015015315972571119,-0.03623791864600132,0.0062072867008590845,2047,driscoll_kraay,cumulative,log
22,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.9197289610685278,-3.778129024004474,-0.06132889813258191,1.1298270146871705,0.015225064354863913,-0.029227996976164374,-0.057522257531447296,-9.337364208814529e-4,2020,driscoll_kraay,cumulative,log
23,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-2.2219036154219207,-4.147190065668447,-0.2966171651753944,1.1704910508145345,0.015225064354863913,-0.03382862553510354,-0.0631412356416544,-0.0045160154285526785,1993,driscoll_kraay,cumulative,log
24,eps_rr,eps_rr (OLS),Contractionary,PH2M,mp_pos_x_ph2m,-1.1713220253506738,-2.8441669649947907,0.5015229142934432,1.0170175097856724,0.015225064354863913,-0.017833453216233548,-0.04330262507802367,0.007635718645556571,1966,driscoll_kraay,cumulative,log
