horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.11208442767324939,-0.2607198854308578,0.48488874077735655,0.2266489291178163,0.017854107322251647,0.002001167400831347,-0.004654920815527688,0.008657255617190383,2614,driscoll_kraay,cumulative,log
1,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.07665648889371977,-0.4001187043174228,0.5534316821048624,0.289858735998768,0.017854107322251647,0.0013686331796554643,-0.00714376228852354,0.009881028647834468,2587,driscoll_kraay,cumulative,log
2,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.010291473407646731,-0.7028190134911019,0.7234019603063953,0.4335403924180225,0.017854107322251647,1.8374507072422362e-4,-0.01254820609498916,0.012915696236437606,2560,driscoll_kraay,cumulative,log
3,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.12620253866873088,-0.6307050338244848,0.8831101111619466,0.46016712982300334,0.017854107322251647,0.0022532336697321347,-0.011260675362586707,0.015767142702050978,2533,driscoll_kraay,cumulative,log
4,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.5065054260470263,-0.31031814110772904,1.3233289932017818,0.49659346811827554,0.017854107322251647,0.009043202235946401,-0.0055404533953790245,0.023626857867271832,2506,driscoll_kraay,cumulative,log
5,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.5403186354265807,-0.5506777746444739,1.6313150454976353,0.663278721093912,0.017854107322251647,0.009646906905118732,-0.009831860088481144,0.029125673898718608,2479,driscoll_kraay,cumulative,log
6,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.12108903239726138,-0.7885926954203362,1.030770760214859,0.5530472212920112,0.017854107322251647,0.0021619365799683114,-0.014079618617578386,0.01840349177751501,2452,driscoll_kraay,cumulative,log
7,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.2074016438265291,-0.96209566795045,1.3768989556035083,0.711003880597263,0.017854107322251647,0.003702971207690261,-0.017177359309860717,0.02458330172524124,2425,driscoll_kraay,cumulative,log
8,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.6934988903871965,-0.5104042550462081,1.8974020358206012,0.731921142226307,0.017854107322251647,0.012381803616835437,-0.009112812347328901,0.033876419580999774,2398,driscoll_kraay,cumulative,log
9,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.48848313668981747,-0.701545415068034,1.678511688447669,0.7234859882112544,0.017854107322251647,0.008721430347570122,-0.012525467132058257,0.0299683278271985,2371,driscoll_kraay,cumulative,log
10,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.9216988479667725,-0.6361667415598553,2.4795644374934005,0.9471150283529697,0.017854107322251647,0.01645611015039446,-0.011358189278656783,0.04427040957944571,2344,driscoll_kraay,cumulative,log
11,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,1.0543853208373484,-0.6142168846901066,2.722987526364803,1.0144381105934626,0.017854107322251647,0.018825108677236753,-0.010966294178396228,0.04861651153286973,2317,driscoll_kraay,cumulative,log
12,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.8564827001257844,-0.797844891138551,2.51081029139012,1.005759761329294,0.017854107322251647,0.015291734047697628,-0.01424480831289787,0.04482827640829313,2290,driscoll_kraay,cumulative,log
13,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,0.26559237734088137,-1.3235516745209948,1.8547364292027573,0.9661309832213786,0.017854107322251647,0.004741914809016052,-0.02363083364344372,0.03311466326147582,2263,driscoll_kraay,cumulative,log
14,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,1.4833826906650431,-0.1804304034711468,3.147195784801233,1.0115265376043565,0.017854107322251647,0.026484473759104097,-0.003221423787771021,0.05619037130597921,2236,driscoll_kraay,cumulative,log
