horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-0.32797308273447495,-1.0140613863250958,0.35811522085614583,0.41711207146267404,0.026925706272614553,-0.008830906891032385,-0.02730431903058984,0.009642505248525071,2614,driscoll_kraay,cumulative,log
1,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-0.1384946939633247,-0.8573452757437238,0.5803558878170744,0.4370301223171437,0.026925706272614553,-0.0037290674499721246,-0.023084627068889238,0.01562649216894499,2587,driscoll_kraay,cumulative,log
2,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.3639883580896445,-0.0019244525675212176,0.7299011687468102,0.2224591931230616,0.026925706272614553,0.009800643616573014,-5.181724456865523e-5,0.01965310447771468,2560,driscoll_kraay,cumulative,log
3,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.006733628296193242,-0.5959017049568986,0.6093689615492852,0.3663762680026431,0.026925706272614553,1.813076976522652e-4,-0.016045074275019673,0.016407689670324205,2533,driscoll_kraay,cumulative,log
4,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.04118936396631617,-0.8345974491341106,0.9169761770667428,0.5324405763226403,0.026925706272614553,0.0011090527157128433,-0.022472125771258428,0.02469023120268411,2506,driscoll_kraay,cumulative,log
5,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.5270570329353941,0.03149659739051436,1.0226174684802738,0.3012793524146817,0.026925706272614553,0.014191382857734155,8.480681299237877e-4,0.027534697585544523,2479,driscoll_kraay,cumulative,log
6,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.29826019559009026,-0.22869971564215613,0.8252201068223366,0.32036887817726367,0.026925706272614553,0.008030866419271337,-0.006157901368011168,0.02221963420655384,2452,driscoll_kraay,cumulative,log
7,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.2769516291638563,-0.3534791199336902,0.9073823782614028,0.38327468096110795,0.026925706272614553,0.007457118218588065,-0.009517674956836834,0.024431911394012965,2425,driscoll_kraay,cumulative,log
8,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-0.2648063079540871,-1.126550395202711,0.5969377792945366,0.5239032052023727,0.026925706272614553,-0.007130096867107264,-0.030333165042526037,0.016072971308311507,2398,driscoll_kraay,cumulative,log
9,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-0.4216525838294947,-1.7628611688946088,0.9195560012356194,0.8153969223090536,0.026925706272614553,-0.01135329362128196,-0.04746628203305419,0.024759694790490273,2371,driscoll_kraay,cumulative,log
10,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.48143088907430615,-0.33755471295769385,1.300416491106306,0.4979078919927278,0.026925706272614553,0.012962866709778446,-0.009088899052035582,0.03501463247159247,2344,driscoll_kraay,cumulative,log
11,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.35504740871715545,-0.5773660806508605,1.2874608980851714,0.5668671510279772,0.026925706272614553,0.009559902239971056,-0.015545989499375754,0.03466579397931786,2317,driscoll_kraay,cumulative,log
12,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.6125281335718837,-0.3142582996078379,1.5393145667516053,0.5634461437747522,0.026925706272614553,0.016492752608269354,-0.008461626668971945,0.04144713188551065,2290,driscoll_kraay,cumulative,log
13,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.7571857308124673,-0.14125685242548458,1.655628314050419,0.5462143065599713,0.026925706272614553,0.020387760581671487,-0.0038034405174026584,0.04457896168074563,2263,driscoll_kraay,cumulative,log
14,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.831806222812468,-0.1713683464044572,1.834980792029393,0.6098868329555759,0.026925706272614553,0.022396970031181487,-0.004614213759710077,0.049408153822073045,2236,driscoll_kraay,cumulative,log
15,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.5072524618642239,-0.5322683144094554,1.5467732381379031,0.6319837578498092,0.026925706272614553,0.013658130794216707,-0.01433170029200865,0.041647961880442064,2209,driscoll_kraay,cumulative,log
16,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.608215843371952,-0.504188209572815,1.720619896316719,0.6762936438341127,0.026925706272614553,0.01637664114898372,-0.013575623637073044,0.04632890593504048,2182,driscoll_kraay,cumulative,log
17,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.7529682400182431,-0.21324943886945835,1.7191859189059446,0.5874186389937103,0.026925706272614553,0.02027420166333875,-0.0057418917537989085,0.046290295080476405,2155,driscoll_kraay,cumulative,log
18,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,0.8225875313095766,-0.18462182639972202,1.8297968890188754,0.6123398101848333,0.026925706272614553,0.022148750251556788,-0.00497107306915255,0.049268573572266126,2128,driscoll_kraay,cumulative,log
19,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,1.055916123739852,-0.06803211976788814,2.179864367247592,0.6833120133557636,0.026925706272614553,0.028431287396336977,-0.0018318128739734903,0.058694387666647446,2101,driscoll_kraay,cumulative,log
20,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,1.190623241633387,0.11746114250108253,2.2637853407656916,0.65243622991626,0.026925706272614553,0.032058371685568764,0.0031627242214298697,0.060954019149707654,2074,driscoll_kraay,cumulative,log
21,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,1.4027597177753053,0.21181816207061988,2.593701273479991,0.7240410551982946,0.026925706272614553,0.037770296131873556,0.005703353615118575,0.06983723864862855,2047,driscoll_kraay,cumulative,log
22,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,1.8359580633140815,0.6894480322376955,2.982468094390468,0.697028606248264,0.026925706272614553,0.049434467541633234,0.018563875206264277,0.08030505987700219,2020,driscoll_kraay,cumulative,log
23,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,1.5993263218946352,0.5687536295823072,2.629899014206963,0.6265437090729856,0.026925706272614553,0.04306299077739594,0.015314093171616625,0.07081188838317526,1993,driscoll_kraay,cumulative,log
24,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,1.972432088391682,0.8022867075475104,3.1425774692358535,0.7113978786142133,0.026925706272614553,0.053109127054714135,0.02160213623384728,0.08461611787558099,1966,driscoll_kraay,cumulative,log
