horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.09731127320353329,-0.43578928607816303,0.24116673967109648,0.205780020379051,0.03229365202509433,-0.00314253639495379,-0.014073227560872481,0.0077881547709649016,2614,driscoll_kraay,cumulative,log
1,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.31443316735481547,-0.7480222871259016,0.11915595241627064,0.26360346760744224,0.03229365202509433,-0.01015419529170466,-0.024156371447459062,0.003847980864049742,2587,driscoll_kraay,cumulative,log
2,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.2470559034121633,-0.5839262978429735,0.08981449101864683,0.20480265776302348,0.03229365202509433,-0.007978337375537716,-0.018857112670842575,0.0029004379197671406,2560,driscoll_kraay,cumulative,log
3,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.22426799502587302,-0.6956515552324218,0.24711556518067584,0.28658085587846427,0.03229365202509433,-0.007242432591731129,-0.022465129255391517,0.007980264071929262,2533,driscoll_kraay,cumulative,log
4,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.33140459196552824,-0.9222759304284269,0.2594667464973705,0.3592242669993707,0.03229365202509433,-0.01070226457245314,-0.029783657968375725,0.008379128823469445,2506,driscoll_kraay,cumulative,log
5,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.5792930742213384,-1.1555119474425986,-0.0030742010000781583,0.3503162006513668,0.03229365202509433,-0.018707488959451044,-0.03731570074155036,-9.927717735172103e-5,2479,driscoll_kraay,cumulative,log
6,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.8759439416984276,-1.5131446988162982,-0.238743184580557,0.38739055358916147,0.03229365202509433,-0.028287428846698534,-0.0488649683671897,-0.007709889326207373,2452,driscoll_kraay,cumulative,log
7,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.7945201073716633,-1.4845229154430872,-0.10451729930023956,0.41949192120532747,0.03229365202509433,-0.02565795587440108,-0.04794066645459759,-0.0033752452942045715,2425,driscoll_kraay,cumulative,log
8,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-0.7848966439377032,-1.4835595554047072,-0.08623373247069921,0.4247568902297328,0.03229365202509433,-0.025347179094988553,-0.04790955604074326,-0.0027848021492338382,2398,driscoll_kraay,cumulative,log
9,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-1.1119847571600445,-1.9012692784751533,-0.3227002358449357,0.47985091705573096,0.03229365202509433,-0.0359100488049355,-0.06139892848507877,-0.010421169124792224,2371,driscoll_kraay,cumulative,log
