horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,0.3534426612152111,-0.13331622076646205,0.8402015431968843,0.2959283877944929,0.03387110081538869,0.011971492010479685,-0.004515567153907451,0.028458551174866824,2614,driscoll_kraay,cumulative,log
1,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,0.01810301515567075,-0.5130614315949206,0.549267461906262,0.3229250542706572,0.03387110081538869,6.131690514002334e-4,-0.0173779554740392,0.018604293576839664,2587,driscoll_kraay,cumulative,log
2,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.38376233738342846,-0.6495010205546066,-0.11802365421225036,0.16155764793715485,0.03387110081538869,-0.012998452818663313,-0.02199931454690292,-0.003997591090423706,2560,driscoll_kraay,cumulative,log
3,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.007365196503216418,-0.4965504948499217,0.48182010184348883,0.29740354420067666,0.03387110081538869,-2.4946731328559155e-4,-0.01681871187099284,0.016319777244421657,2533,driscoll_kraay,cumulative,log
4,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.13192976491855715,-0.7943884760260326,0.5305289461889183,0.40274629927725486,0.03387110081538869,-0.004468606368106979,-0.02690681215806073,0.017969599421846772,2506,driscoll_kraay,cumulative,log
5,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.3491413232714397,-0.678504285061947,-0.01977836148093237,0.200238462799234,0.03387110081538869,-0.011825800959345148,-0.022981687043006432,-6.699148756838607e-4,2479,driscoll_kraay,cumulative,log
6,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.20994562181604726,-0.5958286159117174,0.17593737227962292,0.23460020257903164,0.03387110081538869,-0.007111089322280804,-0.020181371118239286,0.005959192473677679,2452,driscoll_kraay,cumulative,log
7,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.265163059724242,-0.673348786881993,0.14302266743350905,0.2481593015144282,0.03387110081538869,-0.008981364728436731,-0.022807064644399657,0.004844335187526193,2425,driscoll_kraay,cumulative,log
8,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.015620599470047652,-0.6294666613201809,0.5982254623800856,0.373191907043923,0.03387110081538869,-5.290868994467911e-4,-0.021320728745501977,0.02026255494660839,2398,driscoll_kraay,cumulative,log
9,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.039263013772330456,-0.8106473410284758,0.7321213134838149,0.4689683717850377,0.03387110081538869,-0.0013298814977985994,-0.02745751781370228,0.024797754818105082,2371,driscoll_kraay,cumulative,log
10,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.7398418515146695,-1.536539843563943,0.05685614053460408,0.4843579872367444,0.03387110081538869,-0.0250592579400972,-0.05204429594821588,0.001925780068021482,2344,driscoll_kraay,cumulative,log
11,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.2964242525333068,-0.9993289967457311,0.40648049167911754,0.4273357414271381,0.03387110081538869,-0.01004021574168187,-0.03384837319651589,0.013767941713152152,2317,driscoll_kraay,cumulative,log
12,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.6136998742155574,-1.2936662908467587,0.066266542415644,0.4133902284615035,0.03387110081538869,-0.020786690309946503,-0.04381790135874051,0.0022445207388475086,2290,driscoll_kraay,cumulative,log
13,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.5338093483519841,-1.1307447538488256,0.06312605714485742,0.3629109579818272,0.03387110081538869,-0.018080710254226993,-0.038299569554085436,0.002138149045631453,2263,driscoll_kraay,cumulative,log
14,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.6570538375034327,-1.3495629228800459,0.03545524787318044,0.4210156296156828,0.03387110081538869,-0.022255136771216787,-0.045711181817580666,0.00120090827514709,2236,driscoll_kraay,cumulative,log
15,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.5979668345593919,-1.3897507416973625,0.1938170725785785,0.4813704357423231,0.03387110081538869,-0.02025379493762001,-0.04707238748029257,0.006564797605052539,2209,driscoll_kraay,cumulative,log
16,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.7387372278563449,-1.6387816380258977,0.16130718231320795,0.5471881481865785,0.03387110081538869,-0.025021843120803022,-0.055507338075982994,0.005463651834376949,2182,driscoll_kraay,cumulative,log
17,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-0.7232256172247169,-1.5226690688130269,0.07621783436359297,0.48602710812023886,0.03387110081538869,-0.024496447793290094,-0.05157447753824005,0.002581581951659854,2155,driscoll_kraay,cumulative,log
