horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-0.15611150880204608,-1.324287694136893,1.0120646765328007,0.7102006927509494,0.009144231392842464,-0.0014275197595716724,-0.012109593105881536,0.009254553586738191,2614,driscoll_kraay,cumulative,log
1,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-1.3717180061175547,-2.9205362850066745,0.17710027277156493,0.9416146540404684,0.009144231392842464,-0.012543306853667415,-0.02670605958129354,0.0016194458739587074,2587,driscoll_kraay,cumulative,log
2,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-1.5676820820586888,-3.6467512160945423,0.5113870519771648,1.2639842840539834,0.009144231392842464,-0.014335247708757697,-0.033346736952098145,0.004676241534582752,2560,driscoll_kraay,cumulative,log
3,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-2.074384301090198,-3.871110728475384,-0.2776578737050117,1.0923321066052496,0.009144231392842464,-0.018968650046848563,-0.03539833224849387,-0.0025389678452032564,2533,driscoll_kraay,cumulative,log
4,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-1.6770986005418986,-3.099709925309801,-0.25448727577399644,0.8648862740476991,0.009144231392842464,-0.015335777671967393,-0.028344464807723253,-0.0023270905362115357,2506,driscoll_kraay,cumulative,log
5,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-2.0094020316623746,-3.792286699371692,-0.22651736395305755,1.083916914244624,0.009144231392842464,-0.018374437138768514,-0.03467754708705356,-0.002071327190483471,2479,driscoll_kraay,cumulative,log
6,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-1.9853870968145104,-3.638766170241719,-0.3320080233873022,1.0051831034300223,0.009144231392842464,-0.018154839017635607,-0.033273719845137474,-0.0030359581901337434,2452,driscoll_kraay,cumulative,log
7,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-1.8636910073138493,-3.6353269953567455,-0.09205501927095305,1.0770782025914365,0.009144231392842464,-0.017042021815637496,-0.033242271234188825,-8.41772397086167e-4,2425,driscoll_kraay,cumulative,log
8,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-1.9997366782653587,-3.917172270024663,-0.08230108650605472,1.1657180677608552,0.009144231392842464,-0.018286054910812605,-0.0358195296427315,-7.52580178893709e-4,2398,driscoll_kraay,cumulative,log
9,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-2.604696519035639,-4.574316282964587,-0.6350767551066909,1.1974437917490504,0.009144231392842464,-0.02381794767819318,-0.04182860655547523,-0.005807288800911129,2371,driscoll_kraay,cumulative,log
10,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-3.095151895583998,-5.173904474557284,-1.0163993166107113,1.2637918322410195,0.009144231392842464,-0.028302785129215056,-0.04731137971981481,-0.009294190538615294,2344,driscoll_kraay,cumulative,log
