horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.28194382062156337,-0.363276599879005,0.9271642411221317,0.39226616273230513,0.013506336752599712,0.0038080281866294022,-0.004906536092305265,0.012522592465564069,2614,driscoll_kraay,cumulative,log
1,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.29066461439184355,-0.7603612770794989,1.3416905058631858,0.6389783712361603,0.013506336752599712,0.00392581416404078,-0.010269695461872489,0.01812132378995405,2587,driscoll_kraay,cumulative,log
2,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.9157789319458982,-0.26340057642123593,2.0949584403130324,0.7168902381621607,0.013506336752599712,0.012368818645797397,-0.003557576885974088,0.02829521417756888,2560,driscoll_kraay,cumulative,log
3,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.9372443174001753,0.1197420101412151,1.7547466246591354,0.49700611280171925,0.013506336752599712,0.012658737370267218,0.001617275912400461,0.023700198828133973,2533,driscoll_kraay,cumulative,log
4,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.8802557104877944,-0.2811053449026979,2.0416167658782864,0.7060573879409124,0.013506336752599712,0.011889030054247069,-0.0037967034512115267,0.027574763559705662,2506,driscoll_kraay,cumulative,log
5,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.8552707207337912,-0.49609451393646975,2.206635955404052,0.8215717268258366,0.013506336752599712,0.011551574368869248,-0.006700419566343232,0.02980356830408173,2479,driscoll_kraay,cumulative,log
6,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.9694870134923689,-0.313736743261931,2.2527107702466687,0.780144649790263,0.013506336752599712,0.013094218081500115,-0.0042374341061595594,0.03042587026915979,2452,driscoll_kraay,cumulative,log
7,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,2.343226959632546,1.001690687536872,3.68476323172822,0.8155961418780114,0.013506336752599712,0.03164841240456754,0.01352917174781613,0.049767653061318945,2425,driscoll_kraay,cumulative,log
8,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,1.8701570128542222,0.6534141498370669,3.0868998758713775,0.7397271362511657,0.013506336752599712,0.025258970395845074,0.008825231546613072,0.04169270924507708,2398,driscoll_kraay,cumulative,log
9,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.6696212884413164,-0.7872501578876046,2.1264927347702374,0.8857149490128482,0.013506336752599712,0.009044130618398125,-0.01063286574096728,0.02872112697776353,2371,driscoll_kraay,cumulative,log
10,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.818123352368964,-0.8242295786258574,2.4604762833637857,0.9984796848086205,0.013506336752599712,0.011049849502261025,-0.011132322250374192,0.033232021254896243,2344,driscoll_kraay,cumulative,log
11,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.6831787995057844,-0.8445049904536343,2.210862589465203,0.9287657971066929,0.013506336752599712,0.009227242928361926,-0.01140616879031779,0.02986065464704164,2317,driscoll_kraay,cumulative,log
12,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,0.57320510982341355,-1.1767234916019529,2.32313371124878,1.0638810485943593,0.013506336752599712,0.007741901241585925,-0.015893223742270916,0.03137702622544277,2290,driscoll_kraay,cumulative,log
13,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,1.4043833021452408,-0.8351542887149177,3.643920893005399,1.3615421786866584,0.013506336752599712,0.01896807380850161,-0.011279875063761564,0.04921602268076478,2263,driscoll_kraay,cumulative,log
14,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,2.3643178305972654,0.752839499741466,3.975796161453065,0.9797092607215581,0.013506336752599712,0.031933272810222665,0.010168103804166944,0.05369844181627839,2236,driscoll_kraay,cumulative,log
