horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-0.23718912326066482,-0.7951272866439825,0.3207490401226529,0.339202318213193,0.016762949578577525,-0.003975989313805534,-0.013328678614564236,0.00537669998695317,2614,driscoll_kraay,cumulative,log
1,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-0.6057816079128212,-1.3591504573791346,0.14758724155349223,0.4580157389825546,0.016762949578577525,-0.010154686549072242,-0.022783370586747016,0.002473997488602532,2587,driscoll_kraay,cumulative,log
2,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.0684114774362419,-2.1161771399348543,-0.020645814937629625,0.6369962927585925,0.016762949578577525,-0.017909727725437242,-0.03547337069606636,-3.460847548081281e-4,2560,driscoll_kraay,cumulative,log
3,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.2336534820295524,-1.951607045047115,-0.5156999190119896,0.43648477363192434,0.016762949578577525,-0.02067967111669798,-0.032714690493321465,-0.008644651740074496,2533,driscoll_kraay,cumulative,log
4,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.0785832824206405,-1.8410014413439915,-0.31616512349728965,0.46351732849104427,0.016762949578577525,-0.01808023717951384,-0.030860614335337877,-0.005299860023689803,2506,driscoll_kraay,cumulative,log
5,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.1593890575283767,-2.12058333950167,-0.19819477555508302,0.5843646305201916,0.016762949578577525,-0.0194347803133027,-0.03554723159723804,-0.0033223290293673464,2479,driscoll_kraay,cumulative,log
6,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.229020040649298,-2.131431696464242,-0.32660838483435395,0.5486273313495074,0.016762949578577525,-0.020602000972465482,-0.03572908205801204,-0.005474919886918919,2452,driscoll_kraay,cumulative,log
7,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.0938778593266334,-3.2910908924252906,-0.8966648262279759,0.7278538427261401,0.016762949578577525,-0.035099568979592204,-0.05516839068824086,-0.015030747270943539,2425,driscoll_kraay,cumulative,log
8,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.8148090796429845,-2.779985373385737,-0.8496327859002322,0.5867855217801871,0.016762949578577525,-0.030421553096800034,-0.04660075464324812,-0.014242351550351945,2398,driscoll_kraay,cumulative,log
9,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.2364889052806283,-2.2013956381209168,-0.2715821724403399,0.5866216403879178,0.016762949578577525,-0.020727201173689692,-0.03690188408432143,-0.0045525182630579645,2371,driscoll_kraay,cumulative,log
10,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.4728802140286714,-2.4959720692875385,-0.44978835876980416,0.6219956830779154,0.016762949578577525,-0.024689816763047094,-0.04183985394700482,-0.007539779579089366,2344,driscoll_kraay,cumulative,log
11,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.1160771164287926,-2.040635993445298,-0.19151823941228718,0.5620918857868579,0.016762949578577525,-0.018708744428500047,-0.03420707826635399,-0.003210410590646109,2317,driscoll_kraay,cumulative,log
12,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.0516789222581124,-2.2516073523160087,0.14824950779978385,0.7295046868588618,0.016762949578577525,-0.01762924074666549,-0.037743580517627696,0.0024850990242967124,2290,driscoll_kraay,cumulative,log
13,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.9190962276298211,-3.4461214789257526,-0.39207097633388965,0.928365434027148,0.016762949578577525,-0.03216971330019703,-0.057767160592885405,-0.0065722660075086545,2263,driscoll_kraay,cumulative,log
14,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.4429381257945617,-3.577719934794821,-1.3081563167943022,0.6898983535109043,0.016762949578577525,-0.040950848626278916,-0.05997313887323726,-0.021928558379320576,2236,driscoll_kraay,cumulative,log
15,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.627176041592862,-3.58634690187868,-1.6680051813070438,0.5831344774814524,0.016762949578577525,-0.044039219519268036,-0.06011775228748003,-0.02796068675105604,2209,driscoll_kraay,cumulative,log
16,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-1.6932124344428472,-2.7032091769804647,-0.6832156919052297,0.6140344198343769,0.016762949578577525,-0.028383234664385953,-0.04531375913407158,-0.011452710194700321,2182,driscoll_kraay,cumulative,log
17,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.056264756768764,-3.248247126568248,-0.8642823869692804,0.7246738252379773,0.016762949578577525,-0.03446906243792077,-0.05445020280142287,-0.014487922074418676,2155,driscoll_kraay,cumulative,log
18,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.529716349893052,-3.5337867534489766,-1.5256459463371272,0.6104314615622317,0.016762949578577525,-0.04240550762136041,-0.059236689169510366,-0.025574326073210456,2128,driscoll_kraay,cumulative,log
19,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.5725235071037393,-3.5981246017581587,-1.54692241244932,0.6235211923113435,0.016762949578577525,-0.043123081839285406,-0.06031518127671135,-0.025930982401859457,2101,driscoll_kraay,cumulative,log
20,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.7012273290841837,-3.6437528077770045,-1.7587018503913632,0.573014804022211,0.016762949578577525,-0.04528053751771381,-0.06108004459356621,-0.029481030441861414,2074,driscoll_kraay,cumulative,log
21,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-3.4358633709121165,-4.543999693965443,-2.3277270478587906,0.673699048289857,0.016762949578577525,-0.05759520444548122,-0.07617083775501442,-0.03901957113594802,2047,driscoll_kraay,cumulative,log
22,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.67359966799274,-3.9078145401340727,-1.4393847958514074,0.7503493635654341,0.016762949578577525,-0.04481741642786392,-0.06550649809869959,-0.024128334757028247,2020,driscoll_kraay,cumulative,log
23,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.7916460494450717,-4.298662269496943,-1.2846298293932004,0.9162008067823856,0.016762949578577525,-0.04679622196808288,-0.07205825887891089,-0.021534185057254865,1993,driscoll_kraay,cumulative,log
24,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-3.5779768824634273,-4.80988733702554,-2.346066427901315,0.7489483771545696,0.016762949578577525,-0.059977446074050436,-0.08062789890919765,-0.03932699323890323,1966,driscoll_kraay,cumulative,log
