horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,8.771435681824832,-28.98453497907476,46.527406342724426,22.95400030875423,0.017854107322251647,0.1566061540335281,-0.5174929982019576,0.8307053062690138,2614,driscoll_kraay,cumulative,hp
1,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-0.6413790738849158,-34.2739174530932,32.99115930532337,20.447131482174463,0.017854107322251647,-0.011451250819387655,-0.6119302005615198,0.5890276989227445,2587,driscoll_kraay,cumulative,hp
2,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-12.385891074851829,-60.973507391346274,36.20172524164262,29.53917328592056,0.017854107322251647,-0.22113902853212336,-1.0886275447792004,0.6463494877149538,2560,driscoll_kraay,cumulative,hp
3,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-5.9938173404436625,-59.769661651099085,47.78202697021176,32.69339194048662,0.017854107322251647,-0.10701425806625409,-1.0671339537333917,0.8531054376008834,2533,driscoll_kraay,cumulative,hp
4,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,24.042333479568125,-29.159543804318456,77.2442107634547,32.34444476527041,0.017854107322251647,0.4292544022215732,-0.5206176245501998,1.379126428993346,2506,driscoll_kraay,cumulative,hp
5,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,18.49518062049576,-50.48225396639427,87.47261520738579,41.93530260484697,0.017854107322251647,0.33021493974276006,-0.9013155801851671,1.5617454596706872,2479,driscoll_kraay,cumulative,hp
6,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-30.591786901527072,-93.23259914405861,32.04902534100447,38.082909759349455,0.017854107322251647,-0.5461890465193165,-1.6645848310504894,0.5722067380118565,2452,driscoll_kraay,cumulative,hp
7,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-31.676211497693537,-104.71947980722072,41.367056811833656,44.40715399394149,0.017854107322251647,-0.565550479642162,-1.869672831208483,0.7385718719241592,2425,driscoll_kraay,cumulative,hp
8,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,5.759569225620541,-53.231981059105586,64.75111951034667,35.86431602066594,0.017854107322251647,0.10283196708416695,-0.950409502805338,1.1560734369736718,2398,driscoll_kraay,cumulative,hp
9,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-20.484466986904543,-76.6155014632158,35.646567489406706,34.12524589214849,0.017854107322251647,-0.36573187202331453,-1.3679013856723827,0.6364376416257538,2371,driscoll_kraay,cumulative,hp
10,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,8.747897943005952,-86.14388408654662,103.63967997255853,57.69010717714895,0.017854107322251647,0.1561859087185327,-1.538022151636809,1.8503939690738744,2344,driscoll_kraay,cumulative,hp
11,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,27.93222005618976,-51.03130425495155,106.89574436733108,48.006414076789454,0.017854107322251647,0.4987048546319619,-0.9111183829623821,1.908528092226306,2317,driscoll_kraay,cumulative,hp
12,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,2.7124178364922433,-66.27944170706054,71.70427738004504,41.944072355800124,0.017854107322251647,0.04842779915552213,-1.1833602654967807,1.2802158638078254,2290,driscoll_kraay,cumulative,hp
13,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-63.14152463116533,-125.84081846995306,-0.44223079237760743,38.118464045334505,0.017854107322251647,-1.1273355572554216,-2.246775478482529,-0.007895636028314189,2263,driscoll_kraay,cumulative,hp
14,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,43.91437312060261,-27.135347086821433,114.96409332802665,43.19516280552314,0.017854107322251647,0.784051930684642,-0.4844773991146584,2.0525812604839424,2236,driscoll_kraay,cumulative,hp
15,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,35.01523304533611,-42.44196203202787,112.47242812270008,47.09063092800609,0.017854107322251647,0.6251657287050832,-0.7577633450867551,2.0080948024969216,2209,driscoll_kraay,cumulative,hp
16,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,24.846909623894835,-36.69934737557071,86.39316662336039,37.41746742142264,0.017854107322251647,0.44361939105130566,-0.6552340867000338,1.5424728688026452,2182,driscoll_kraay,cumulative,hp
17,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,9.404842829127304,-47.90262988011184,66.71231553836645,34.84046955317922,0.017854107322251647,0.1679150732201477,-0.8552586948976153,1.1910888413379108,2155,driscoll_kraay,cumulative,hp
18,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-1.0460348687255359,-69.88255070391179,67.7904809664607,41.84963008700418,0.017854107322251647,-0.01867601880904313,-1.2476905602203334,1.210338522602247,2128,driscoll_kraay,cumulative,hp
19,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-27.94785645962961,-96.09762686557644,40.201913946317234,41.4321185115139,0.017854107322251647,-0.498984028657111,-1.715737343471695,0.7177692861574732,2101,driscoll_kraay,cumulative,hp
20,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-59.45494670094389,-126.24221118178659,7.332317779898801,40.60377372582657,0.017854107322251647,-1.0615149992374038,-2.2539419870379747,0.13091198856316713,2074,driscoll_kraay,cumulative,hp
21,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-50.14350804349959,-119.74050505237938,19.45348896538021,42.31196981209145,0.017854107322251647,-0.8952675741228303,-2.137859828025797,0.3473246797801364,2047,driscoll_kraay,cumulative,hp
22,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-21.53571744932564,-132.6801954320236,89.6087605333723,67.57104471884846,0.017854107322251647,-0.38450101060194747,-2.368886448780672,1.5998844275767767,2020,driscoll_kraay,cumulative,hp
23,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,10.053173358035366,-80.0080109456223,100.11435766169303,54.75331228747369,0.017854107322251647,0.1794904360635644,-1.4284716140630251,1.7874524861901537,1993,driscoll_kraay,cumulative,hp
24,eps_rr,eps_rr (OLS),Contractionary,WH2M,mp_pos_x_wh2m,-56.21688514464366,-103.74655811037942,-8.687212178907899,28.895989398051185,0.017854107322251647,-1.0037023006951622,-1.8523021828169313,-0.15510241857339319,1966,driscoll_kraay,cumulative,hp
