horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-47.26650964173404,-109.60856480814711,15.075545524679029,37.90127835384124,0.026925706272614553,-1.2726841551450345,-2.9512880209870054,0.4059197106969364,2614,driscoll_kraay,cumulative,hp
1,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-31.770701280241916,-89.09696400332894,25.555561442845097,34.85189307046974,0.026925706272614553,-0.8554485707467729,-2.398998682535347,0.6881015410418009,2587,driscoll_kraay,cumulative,hp
2,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-5.092652302193487,-49.47679666976444,39.29149206537747,26.983643796823042,0.026925706272614553,-0.13712326003741612,-1.3321976944399512,1.057951174365119,2560,driscoll_kraay,cumulative,hp
3,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-44.297707043455986,-96.2612398564062,7.665825769494241,31.591584783904494,0.026925706272614553,-1.1927470484024247,-2.5919018698112906,0.20640777300644136,2533,driscoll_kraay,cumulative,hp
4,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-37.50221418913328,-113.82572565102501,38.821297272758464,46.401400228753324,0.026925706272614553,-1.0097736038292804,-3.064838055146707,1.0452908474881468,2506,driscoll_kraay,cumulative,hp
5,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-20.035000002394987,-73.11267102028023,33.042671015490264,32.268932717288656,0.026925706272614553,-0.5394565252363193,-1.9686103046983636,0.8896972542257253,2479,driscoll_kraay,cumulative,hp
6,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-48.20417805142605,-104.15644656679191,7.748090463939818,34.016563904878474,0.026925706272614553,-1.297931539325511,-2.8044858866567117,0.20862280800568936,2452,driscoll_kraay,cumulative,hp
7,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-56.038892447162176,-116.10709376158694,4.029308867262586,36.51887336975606,0.026925706272614553,-1.508886757874927,-3.1262655027914077,0.10849198704155365,2425,driscoll_kraay,cumulative,hp
8,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-116.21363925416448,-174.21965734841606,-58.20762115991289,35.26515499239797,0.026925706272614553,-3.1291343154292215,-4.690987320679005,-1.567281310179438,2398,driscoll_kraay,cumulative,hp
9,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-122.35908112699876,-208.50626021505556,-36.21190203894196,52.37376607651085,0.026925706272614553,-3.2946046782125835,-5.614178318551923,-0.9750310378732432,2371,driscoll_kraay,cumulative,hp
10,eps_rr,eps_rr (OLS),Expansionary,PH2M,mp_neg_x_ph2m,-73.24296353973023,-129.69366939973088,-16.792257679729573,34.31959229382915,0.026925706272614553,-1.9721185228065932,-3.4920936476747317,-0.4521433979384545,2344,driscoll_kraay,cumulative,hp
