horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,9.252439899173824,-25.023527233546332,43.52840703189398,20.838308388720478,0.03229365202509433,0.2987950744870183,-0.8081010809206166,1.4056912298946531,2614,driscoll_kraay,cumulative,hp
1,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,-2.002152673095148,-49.106845518613305,45.10254017242301,28.63761983053821,0.03229365202509433,-0.06465682172604716,-1.5858393812281608,1.4565257377760668,2587,driscoll_kraay,cumulative,hp
2,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,22.176563922488885,-9.462409500325915,53.81553734530368,19.235130047075153,0.03229365202509433,0.7161622384251171,-0.3055757597224718,1.7379002365727056,2560,driscoll_kraay,cumulative,hp
3,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,33.165342737246554,-0.16113636387388652,66.491821838367,20.26106065309098,0.03229365202509433,1.0710300376496296,-0.0052036816635322725,2.1472637569627917,2533,driscoll_kraay,cumulative,hp
4,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,27.2925161103583,-17.566552127120147,72.15158434783675,27.272377008171276,0.03229365202509433,0.8813750181571919,-0.5672881216738986,2.3300381579882825,2506,driscoll_kraay,cumulative,hp
5,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,26.165666466003998,-10.48290305518151,62.814235987189505,22.280748220198173,0.03229365202509433,0.8449849278578128,-0.3385312234768299,2.0285010791924556,2479,driscoll_kraay,cumulative,hp
6,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,5.870448287546512,-41.836914382456214,53.57781095754923,29.004017067720667,0.03229365202509433,0.18957821422933793,-1.3510667548707052,1.7302231833293809,2452,driscoll_kraay,cumulative,hp
7,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,20.695869678587016,-23.953947010328022,65.34568636750205,27.145161099634034,0.03229365202509433,0.6683452137569899,-0.7735604293790818,2.1102508568930616,2425,driscoll_kraay,cumulative,hp
8,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,30.709166996811987,-3.8576495992184903,65.27598359284246,21.015132306997863,0.03229365202509433,0.9917111529755573,-0.12457759379190653,2.1079998997430214,2398,driscoll_kraay,cumulative,hp
9,eps_rr,eps_rr (OLS),Expansionary,WH2M,mp_neg_x_wh2m,3.434419068617451,-28.66661788199969,35.535456019234594,19.516044725579846,0.03229365202509433,0.11090993431028053,-0.9257497826176446,1.1475696512382056,2371,driscoll_kraay,cumulative,hp
