horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,46.90179661896979,4.168951354969323,89.63464188297026,25.979725225277583,0.03387110081538869,1.5886154817039821,0.14120697163861723,3.036023991769347,2614,driscoll_kraay,cumulative,hp
1,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,18.00023528744887,-27.409964098233136,63.41043467313088,27.60744095500101,0.03387110081538869,0.6096877841218976,-0.9284056573174391,2.1477812255612343,2587,driscoll_kraay,cumulative,hp
2,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,-5.663560269397766,-40.851671421576135,29.524550882780606,21.392852577037566,0.03387110081538869,-0.19183102085880163,-1.3836910811973382,1.000029039479735,2560,driscoll_kraay,cumulative,hp
3,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,33.95252081829903,-8.92454366198777,76.82958529858583,26.06740428311182,0.03387110081538869,1.1500092555731896,-0.3022841181065259,2.6023026292529052,2533,driscoll_kraay,cumulative,hp
4,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,22.22523242473068,-38.11497583404531,82.56544068350668,36.68424184990184,0.03387110081538869,0.7527930881034984,-1.2909961890510522,2.7965823652580495,2506,driscoll_kraay,cumulative,hp
5,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,22.033466740030306,-19.2674880953536,63.33442157541421,25.109197656651073,0.03387110081538869,0.7462977732640801,-0.6526110317370232,2.1452065782651832,2479,driscoll_kraay,cumulative,hp
6,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,40.814050592193766,0.6522796787339686,80.97582150565356,24.416623008513263,0.03387110081538869,1.3824168222925695,0.022093430758227596,2.7427402138269112,2452,driscoll_kraay,cumulative,hp
7,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,41.33611366587715,1.6421257469193264,81.03010158483497,24.132231141153643,0.03387110081538869,1.400099673293291,0.05562060672544996,2.7445787398611317,2425,driscoll_kraay,cumulative,hp
8,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,70.935692260129,27.370408113127887,114.50097640713011,26.485812131346826,0.03387110081538869,2.4026699839522165,0.9270658525580872,3.8782741153463456,2398,driscoll_kraay,cumulative,hp
9,eps_rr,eps_rr (OLS),Full (Signed),PH2M,mp_x_ph2m,66.35219964156182,19.14694310388773,113.55745617923591,28.69875821422668,0.03387110081538869,2.2474220433821377,0.6485280401782925,3.846316046585983,2371,driscoll_kraay,cumulative,hp
