horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-3.6590698533535817,-27.368701705984332,20.050561999277168,14.414432666919765,0.04034387483328886,-0.14762105616995755,-1.1041594759758513,0.8089173636359361,2614,driscoll_kraay,cumulative,hp
1,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,0.8261664728887815,-30.4476215180921,32.099954463869665,19.013113068877075,0.04034387483328886,0.03333075677368474,-1.2283750314972604,1.29503654504463,2587,driscoll_kraay,cumulative,hp
2,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-16.22540796733674,-42.082050701224716,9.631234766551241,15.719722600369009,0.04034387483328886,-0.6545958281532813,-1.6977529862183258,0.38856132991176334,2560,driscoll_kraay,cumulative,hp
3,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-21.4505250590457,-49.868621564427755,6.967571446336361,17.276975920375,0.04034387483328886,-0.8653972980904658,-2.011893426503923,0.2810988303229916,2533,driscoll_kraay,cumulative,hp
4,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-10.440741280409723,-47.62243870208708,26.74095614126763,22.604866969584968,0.04034387483328886,-0.42121995938360196,-1.9212737062529726,1.0788337874857685,2506,driscoll_kraay,cumulative,hp
5,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-10.891885441887156,-43.85135307471711,22.0675821909428,20.037933523553804,0.04034387483328886,-0.4394208629660166,-1.7691334997167438,0.8902917737847108,2479,driscoll_kraay,cumulative,hp
6,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-11.536763364445719,-47.43437925053673,24.360852521645292,21.824200827293495,0.04034387483328886,-0.4654377371564706,-1.913686659278408,0.982811184965467,2452,driscoll_kraay,cumulative,hp
7,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-20.465874680358436,-55.68853958250686,14.756790221789988,21.413859765400026,0.04034387483328886,-0.8256726864581565,-2.246691470565309,0.5953460976489963,2425,driscoll_kraay,cumulative,hp
8,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-17.095101815440643,-48.27032318539935,14.080119554518067,18.95318881822819,0.04034387483328886,-0.6896826479044665,-1.9474118767541526,0.5680465809452199,2398,driscoll_kraay,cumulative,hp
9,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-7.631221069655594,-35.925479471509426,20.663037332198236,17.20168769928402,0.04034387483328886,-0.30787302765934205,-1.4493730471244648,0.8336269918057807,2371,driscoll_kraay,cumulative,hp
10,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-5.620173024458722,-45.6800584783885,34.43971242947106,24.354681047319524,0.04034387483328886,-0.22673955704018917,-1.8429105616294215,1.389431447549043,2344,driscoll_kraay,cumulative,hp
11,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,0.7533540615441299,-36.62014969882255,38.12685782191081,22.72147694359513,0.04034387483328886,0.03039322196408617,-1.4773987358255978,1.5381851797537702,2317,driscoll_kraay,cumulative,hp
12,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,14.052373592798688,-19.32494099355811,47.429688179155484,20.291966433643967,0.04034387483328886,0.566927201338484,-0.7796430006048013,1.9134974032817693,2290,driscoll_kraay,cumulative,hp
13,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,-7.194849834868679,-43.22929000983025,28.839590340092897,21.907384088483823,0.04034387483328886,-0.29026812118225104,-1.7440370652885364,1.1635008229240345,2263,driscoll_kraay,cumulative,hp
14,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,27.63889741412054,-8.93182918956936,64.20962401781044,22.233423086690777,0.04034387483328886,1.1150602178053903,-0.36034459885630216,2.590465034467083,2236,driscoll_kraay,cumulative,hp
15,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,28.444552353826733,-13.792055968482362,70.68116067613583,25.67803458632931,0.04034387483328886,1.147563459851718,-0.556424979686167,2.851551899389603,2209,driscoll_kraay,cumulative,hp
16,eps_rr,eps_rr (OLS),Full (Signed),WH2M,mp_x_wh2m,11.272367069546084,-18.06474437143237,40.60947851052454,17.835697329099784,0.04034387483328886,0.45477096612865436,-0.728801785816427,1.638343718073736,2182,driscoll_kraay,cumulative,hp
