horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,100.04705538145193,5.641183966442981,194.45292679646087,57.394694499338705,0.007803232979304636,0.780690482034863,0.0440194727692724,1.5173614913004536,2614,driscoll_kraay,cumulative,hp
1,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,103.46282039444529,37.96764970066482,168.95799108822575,39.81823648051134,0.007803232979304636,0.8073444922338078,0.29627041629091355,1.318418568176702,2587,driscoll_kraay,cumulative,hp
2,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,47.86122451247585,-77.5237751930087,173.2462242179604,76.22866719020452,0.007803232979304636,0.373472285545655,-0.6049360792662841,1.351880650357594,2560,driscoll_kraay,cumulative,hp
3,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,52.49704856185251,-45.92919701945006,150.9232941431551,59.83890844057851,0.007803232979304636,0.4096467006540045,-0.3583962248951529,1.177689626203162,2533,driscoll_kraay,cumulative,hp
4,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,109.6961713097982,-46.659887208425644,266.05222982802206,95.0577339869506,0.007803232979304636,0.8559847816680684,-0.3640979706754215,2.076067534011558,2506,driscoll_kraay,cumulative,hp
5,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,127.70208374484866,10.213535640392863,245.19063184930445,71.42796549149845,0.007803232979304636,0.9964891114037255,0.07969859814441688,1.9132796246630341,2479,driscoll_kraay,cumulative,hp
6,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,105.45130043935652,-21.705529654641552,232.6081305333546,77.30586357989021,0.007803232979304636,0.8228610652989482,-0.1693733048343737,1.8150954354322701,2452,driscoll_kraay,cumulative,hp
7,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,159.46560175626996,56.63405584306798,262.29714766947194,62.51714087397993,0.007803232979304636,1.244347242689185,0.4419287323064085,2.0467657530719614,2425,driscoll_kraay,cumulative,hp
8,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,79.17437881043993,-56.863814902173104,215.21257252305298,82.70534926851983,0.007803232979304636,0.6178161238495831,-0.44372159577371156,1.6793538434728779,2398,driscoll_kraay,cumulative,hp
9,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,205.5185800049498,78.32386424353678,332.7132957663628,77.32889643022666,0.007803232979304636,1.6037093613544826,0.6111793605317453,2.59623936217722,2371,driscoll_kraay,cumulative,hp
10,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,111.03410793698707,-24.852473144389776,246.92068901836393,82.61317533355565,0.007803232979304636,0.8664250128815681,-0.1939296380575851,1.9267796638207215,2344,driscoll_kraay,cumulative,hp
11,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,79.22221950346845,-46.140726562425044,204.58516556936195,76.21525952934662,0.007803232979304636,0.618189435923176,-0.3600468392009925,1.5964257110473445,2317,driscoll_kraay,cumulative,hp
12,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,227.5373126621291,56.378351307864676,398.69627401639355,104.05725989824758,0.007803232979304636,1.7755266621874761,0.4399334102443523,3.1111199141306,2290,driscoll_kraay,cumulative,hp
13,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,214.32717260494326,91.91616412951596,336.73818108037057,74.42060890384553,0.007803232979304636,1.6724448616320102,0.7172432432666167,2.627646479997404,2263,driscoll_kraay,cumulative,hp
14,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,126.4641786476999,13.08402900200548,239.8443282933943,68.9302365802787,0.007803232979304636,0.986829449524405,0.10209772661062748,1.8715611724381824,2236,driscoll_kraay,cumulative,hp
15,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,252.7527935280351,168.26007242462242,337.2455146314478,51.36792704163548,0.007803232979304636,1.972288934069339,1.3129725462440003,2.6316053218946776,2209,driscoll_kraay,cumulative,hp
16,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,130.67892788776217,-30.614762951286593,291.97261872681094,98.05960128986446,0.007803232979304636,1.019718119793958,-0.23889412791507328,2.2783303675029893,2182,driscoll_kraay,cumulative,hp
17,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,201.8293745355931,36.55565652631998,367.10309254486623,100.47928599919683,0.007803232979304636,1.5749216315685675,0.2852523045863128,2.864590958550822,2155,driscoll_kraay,cumulative,hp
18,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,210.69484977332127,64.43479233257636,356.95490721406617,88.91980115690869,0.007803232979304636,1.6441010003208163,0.5027996965442054,2.7854023040974276,2128,driscoll_kraay,cumulative,hp
19,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,-18.35616146111955,-165.83211390901326,129.11979098677418,89.65901283339221,0.007803232979304636,-0.14323740448684885,-1.2940266202826152,1.0075518113089177,2101,driscoll_kraay,cumulative,hp
20,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,-23.205609121809424,-135.6590573481921,89.24783910457325,68.36684212126579,0.007803232979304636,-0.1810787744041558,-1.0585792302407915,0.6964216814324798,2074,driscoll_kraay,cumulative,hp
21,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,62.31490878921791,-31.960322270326046,156.59013984876185,57.31527080271037,0.007803232979304636,0.4862577513663855,-0.2493938407690126,1.2219093435017836,2047,driscoll_kraay,cumulative,hp
22,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,-37.47282718773642,-215.59038231504445,140.64472793957162,108.28778452306813,0.007803232979304636,-0.29240920093912826,-1.6823019813016498,1.0974835794233935,2020,driscoll_kraay,cumulative,hp
23,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,-117.84677876264247,-347.5021077482797,111.80855022299475,139.62052624176314,0.007803232979304636,-0.9195858705454689,-2.711639907559249,0.8724681664683114,1993,driscoll_kraay,cumulative,hp
24,mp_shock_di,DI Surprise,Contractionary,PH2M,mp_pos_x_ph2m,85.04634253647721,-13.63991834554001,183.73260341849442,59.99698651904956,0.007803232979304636,0.6636364248498776,-0.10643546066894014,1.4337083103686954,1966,driscoll_kraay,cumulative,hp
