horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,31.915833898851325,-76.71000411712888,140.54167191483154,66.03982034395636,0.009144231392842464,0.291845770266622,-0.7014540277929245,1.2851455683261686,2614,driscoll_kraay,cumulative,hp
1,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-69.76403944586177,-206.29383823286372,66.76575934114017,83.00422393209703,0.009144231392842464,-0.6379385195923492,-1.8863985917189174,0.6105215525342189,2587,driscoll_kraay,cumulative,hp
2,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-67.74771480877043,-246.78268498007196,111.28725536253113,108.84553326676263,0.009144231392842464,-0.6195007805476969,-2.2566379752047268,1.017636414109333,2560,driscoll_kraay,cumulative,hp
3,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-108.38983479725408,-250.5449583552938,33.76528876078564,86.42417855837196,0.009144231392842464,-0.9911417300180593,-2.2910410735108853,0.3087576134747669,2533,driscoll_kraay,cumulative,hp
4,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-48.05730781679738,-150.0121317327436,53.897516099148824,61.98413174606095,0.009144231392842464,-0.43944714279385216,-1.3717456442977731,0.4928513587100688,2506,driscoll_kraay,cumulative,hp
5,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-71.00794803968304,-184.71828904504417,42.70239296567807,69.13097867322631,0.009144231392842464,-0.6493131076057962,-1.6891067775178412,0.39048056230624867,2479,driscoll_kraay,cumulative,hp
6,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-54.235355830110905,-131.49083842654818,23.020126766326356,46.967998447144836,0.009144231392842464,-0.4959406433836817,-1.202382652611218,0.21050136584385457,2452,driscoll_kraay,cumulative,hp
7,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-31.82714445805231,-120.44863548985765,56.79434657375304,53.87804092699366,0.009144231392842464,-0.291034773497854,-1.1014101938713954,0.5193406468756874,2425,driscoll_kraay,cumulative,hp
8,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-34.15088165758009,-117.47128000112,49.16951668595981,50.65520541056516,0.009144231392842464,-0.3122835641464918,-1.0741845663436287,0.4496174380506451,2398,driscoll_kraay,cumulative,hp
9,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-86.24434936789643,-189.6439113446933,17.155212608900428,62.86247012047807,0.009144231392842464,-0.7886382869451917,-1.7341478075795775,0.15687123368919417,2371,driscoll_kraay,cumulative,hp
10,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-128.89477098361016,-227.13481542685838,-30.654726540361935,59.72570618658862,0.009144231392842464,-1.178643611201568,-2.0769733096337575,-0.28031391276937867,2344,driscoll_kraay,cumulative,hp
11,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-30.210500291841544,-149.6631338624298,89.24213327874669,72.62204466909229,0.009144231392842464,-0.2762518051621339,-1.3685543270160145,0.8160507166917467,2317,driscoll_kraay,cumulative,hp
12,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-16.995863949236472,-97.73094460719506,63.739216708722104,49.083443860953665,0.009144231392842464,-0.15541411267308766,-0.893674371729261,0.5828461463830856,2290,driscoll_kraay,cumulative,hp
13,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-118.69830941413245,-182.39649816277716,-55.00012066548773,38.72574903014396,0.009144231392842464,-1.0854048072220381,-1.6678757844445997,-0.5029338299994764,2263,driscoll_kraay,cumulative,hp
14,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-87.638746011331,-166.2165729978641,-9.060919024797883,47.771926753243804,0.009144231392842464,-0.8013889725061601,-1.51992280481776,-0.08285514019456033,2236,driscoll_kraay,cumulative,hp
15,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-116.7169972040928,-176.3564147772161,-57.07757963096953,36.25819136481913,0.009144231392842464,-1.0672872299119716,-1.612643864334966,-0.5219305954889771,2209,driscoll_kraay,cumulative,hp
16,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-59.9947334068237,-123.1662634366566,3.17679662300921,38.40556326395642,0.009144231392842464,-0.5486057246238918,-1.1262608126565803,0.029049363408796745,2182,driscoll_kraay,cumulative,hp
17,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-54.21123802329034,-203.5958535163767,95.17337746979601,90.81939757153461,0.009144231392842464,-0.4957201045774266,-1.8617275951770078,0.8702873860221544,2155,driscoll_kraay,cumulative,hp
18,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-98.36793857171094,-230.39984491103505,33.66396776761317,80.26969948932695,0.009144231392842464,-0.8994991919366383,-2.106829494741522,0.3078311108682452,2128,driscoll_kraay,cumulative,hp
19,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-88.00985168906247,-237.64658414618543,61.626880768060474,90.9726738022615,0.009144231392842464,-0.8047824486945344,-2.173095355151327,0.5635304577622581,2101,driscoll_kraay,cumulative,hp
20,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-49.91943223851021,-185.7426952895416,85.90383081252116,82.57468070442393,0.009144231392842464,-0.4564748393882572,-1.6984741852577983,0.7855245064812838,2074,driscoll_kraay,cumulative,hp
21,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-174.71450194777057,-276.9737134301485,-72.45529046539264,62.16918624662212,0.009144231392842464,-1.5976298334956396,-2.5327117253401163,-0.6625479416511626,2047,driscoll_kraay,cumulative,hp
22,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-145.83815676149356,-245.79043871708848,-45.88587480589865,60.766672680075395,0.009144231392842464,-1.3335778513327299,-2.2475646457773224,-0.4195910568881376,2020,driscoll_kraay,cumulative,hp
23,mp_shock_di,DI Surprise,Contractionary,WH2M,mp_pos_x_wh2m,-39.858605953498646,-136.47682108016593,56.75960917316865,58.73970397337844,0.009144231392842464,-0.36447631583491985,-1.2479756317165975,0.5190230000467578,1993,driscoll_kraay,cumulative,hp
