horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,17.863100390522664,-50.87663937415634,86.60284015520166,41.790794413773725,0.013506336752599712,0.24126504931989454,-0.6871570242279295,1.1696871228677184,2614,driscoll_kraay,cumulative,hp
1,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,12.321522489708512,-96.65504070862062,121.29808568803765,66.2530461146889,0.013506336752599712,0.16641863205073398,-1.305455528646864,1.638292792748332,2587,driscoll_kraay,cumulative,hp
2,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,59.201526942521056,-26.81904700372567,145.22210088876778,52.29679561559225,0.013506336752599712,0.7995957591537942,-0.3622270802161192,1.9614185985237076,2560,driscoll_kraay,cumulative,hp
3,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,52.99882150450596,-0.33901297646333006,106.33665598547526,32.42710087208443,0.013506336752599712,0.7158199307307809,-0.004578823423614896,1.4362186848851768,2533,driscoll_kraay,cumulative,hp
4,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,37.34994292750287,-59.1379722889692,133.83785814397496,58.66048725277778,0.013506336752599712,0.5044609068692337,-0.7987373686007281,1.8076591823391956,2506,driscoll_kraay,cumulative,hp
5,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,27.48917440496437,-79.33426212435197,134.3126109342807,64.94403804629114,0.013506336752599712,0.3712780465643936,-1.0715152602705142,1.8140713533993016,2479,driscoll_kraay,cumulative,hp
6,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,29.206421542950846,-63.73097748630731,122.14382057220901,56.501926679947744,0.013506336752599712,0.394471764697477,-0.8607720435024172,1.6497155728973714,2452,driscoll_kraay,cumulative,hp
7,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,155.17259040211474,70.3347905465132,240.01039025771627,51.57772002657627,0.013506336752599712,2.0958132607441837,0.9499653665447741,3.241661154943593,2425,driscoll_kraay,cumulative,hp
8,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,99.67647957374896,16.12192307007726,183.23103607742067,50.79756346376518,0.013506336752599712,1.3462640994366801,0.21774812208396965,2.474780076789391,2398,driscoll_kraay,cumulative,hp
9,mp_shock_di,DI Surprise,Expansionary,WH2M,mp_neg_x_wh2m,-6.660214787517098,-78.7186664404304,65.39823686539621,43.808427979372574,0.013506336752599712,-0.08995510376485026,-1.0632008176600227,0.8832906101303223,2371,driscoll_kraay,cumulative,hp
