horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.871336364665132,-66.205260528636515,60.462587799306256,38.5042918872683,0.016762949578577525,-0.0481320667040177,-1.1097954440781228,1.0135313106700874,2614,driscoll_kraay,cumulative,hp
1,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-29.627028171194908,-113.40122035007403,54.14716400768421,50.93109247303908,0.016762949578577525,-0.49663637939683614,-1.9009389388774505,0.9076661800837782,2587,driscoll_kraay,cumulative,hp
2,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-59.142301186827545,-142.4538665799345,24.169264206279415,50.649835358003514,0.016762949578577525,-0.9913994127558359,-2.387946982752852,0.40514815724118036,2560,driscoll_kraay,cumulative,hp
3,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-67.27271072038714,-123.55370111865616,-10.99172032211812,34.21641261938834,0.016762949578577525,-1.1276890578200813,-2.071124462098671,-0.18425365354149195,2533,driscoll_kraay,cumulative,hp
4,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-39.07543434473383,-107.8200462201028,29.669177530635146,41.79375644675352,0.016762949578577525,-0.6550195356817897,-1.8073819983474815,0.4973429269839022,2506,driscoll_kraay,cumulative,hp
5,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-39.34090346522578,-118.84364113258863,40.16183420213707,48.334232520562416,0.016762949578577525,-0.6594695811632656,-1.9921699640401451,0.673230801713614,2479,driscoll_kraay,cumulative,hp
6,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-35.7961840209513,-106.16228510004676,34.569917058144156,42.77955188603021,0.016762949578577525,-0.6000496278486892,-1.779593032278656,0.5794937765812775,2452,driscoll_kraay,cumulative,hp
7,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-111.72877309250507,-200.8915779785903,-22.56596820641981,54.20713638291162,0.016762949578577525,-1.8729037898259917,-3.3675353924159843,-0.3782721872359988,2425,driscoll_kraay,cumulative,hp
8,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-75.2905590575355,-148.37798827973995,-2.2031298353310405,44.4340019225071,0.016762949578577525,-1.262091845224381,-2.4872527361040477,-0.03693095434471404,2398,driscoll_kraay,cumulative,hp
9,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-23.150562917023507,-80.25874112405396,33.95761529000694,34.71930709899898,0.016762949578577525,-0.3880717188937517,-1.345373230702623,0.5692297929151195,2371,driscoll_kraay,cumulative,hp
10,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-37.30828126234401,-102.484499838107,27.867937313418977,39.62432736130988,0.016762949578577525,-0.6253968376640613,-1.7179425033719242,0.46714882804380153,2344,driscoll_kraay,cumulative,hp
11,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,6.681407248935316,-38.38430823992265,51.74712273779328,27.398009616443247,0.016762949578577525,0.11200009282784508,-0.6434342236344013,0.8674344092900914,2317,driscoll_kraay,cumulative,hp
12,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,24.79014768328993,-49.14709259629376,98.72738796287362,44.95065036067496,0.016762949578577525,0.41555599566047957,-0.823850235125353,1.6549622264463122,2290,driscoll_kraay,cumulative,hp
13,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-54.16746990340253,-155.59985866256366,47.2649188557586,61.66651372326257,0.016762949578577525,-0.9080065667898521,-2.608312585194344,0.7922994516146395,2263,driscoll_kraay,cumulative,hp
14,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-95.13839118266121,-148.66976299147052,-41.60701937385189,32.54476321277472,0.016762949578577525,-1.5948000543819345,-2.4921437408850915,-0.6974563678787775,2236,driscoll_kraay,cumulative,hp
15,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-104.75638599262092,-147.50600059017754,-62.006771395064305,25.98992025617965,0.016762949578577525,-1.7560260164283095,-2.4726356504307727,-1.0394163824258462,2209,driscoll_kraay,cumulative,hp
16,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-2.0590222612674887,-28.511906799672037,24.393862277137057,16.082211878896256,0.016762949578577525,-0.03451528634679559,-0.47794365607200406,0.4089130833784128,2182,driscoll_kraay,cumulative,hp
17,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-29.01372101062534,-89.98927981687592,31.961837795625236,37.07050755589789,0.016762949578577525,-0.4863555423880279,-1.5084857601827952,0.5357746754067393,2155,driscoll_kraay,cumulative,hp
18,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-70.3723397274836,-127.22471422386394,-13.519965231103264,34.56378948548087,0.016762949578577525,-1.1796479825783357,-2.132661469683566,-0.22663449547310524,2128,driscoll_kraay,cumulative,hp
19,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-65.46825512462287,-123.99443525831114,-6.9420749909346,35.581391057974656,0.016762949578577525,-1.097441059651503,-2.078512466259265,-0.11636965304374074,2101,driscoll_kraay,cumulative,hp
20,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-67.19606901772168,-111.02345089285495,-23.36868714258842,26.645156235793323,0.016762949578577525,-1.126404316822684,-1.8610805093566056,-0.3917281242887626,2074,driscoll_kraay,cumulative,hp
21,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-126.80168482574943,-183.58163955322988,-70.021730098269,34.51976139221269,0.016762949578577525,-2.125570249212717,-3.0773697673833857,-1.1737707310420475,2047,driscoll_kraay,cumulative,hp
22,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-34.157226376389374,-96.02153201174428,27.707079258965543,37.610827262491796,0.016762949578577525,-0.5725758634914734,-1.609604099570637,0.4644523725876905,2020,driscoll_kraay,cumulative,hp
23,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-41.16349978532772,-98.34085339811111,16.013853827455662,34.76136275952675,0.016762949578577525,-0.6900216713792354,-1.6484827670268207,0.26843942426835,1993,driscoll_kraay,cumulative,hp
24,mp_shock_di,DI Surprise,Full (Signed),WH2M,mp_x_wh2m,-78.44907309276972,-166.88086719276907,9.982721007229642,53.76271338130952,0.016762949578577525,-1.3150378567402417,-2.7974155623816803,0.16733984890119713,1966,driscoll_kraay,cumulative,hp
