horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,state_regime,switching_var,logistic_gamma,spec
0,mp_pos_x_ph2m,10.36238088324075,-12.420929999585962,33.14569176606746,13.851269504784263,0.007989593800600683,0.08279121406420333,-0.09923818532238704,0.26482061345079366,2511,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
1,mp_pos_x_ph2m,40.319365044749375,25.93310567773991,54.70562441175884,8.746224667828091,0.007989593800600683,0.32213534900568547,0.20719498035319314,0.4370757176581778,2484,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
2,mp_pos_x_ph2m,19.88672791355232,1.730932492583051,38.04252333452159,11.037939864970687,0.007989593800600683,0.15888687805235016,0.013829447511999831,0.3039443085927005,2457,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
3,mp_pos_x_ph2m,9.76745738736496,-14.785501866452414,34.320416641182334,14.927139322009571,0.007989593800600683,0.07803801698972243,-0.11813015405097803,0.2742061880304229,2430,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
4,mp_pos_x_ph2m,50.88163015005285,19.46633292888574,82.29692737121997,19.09914457214737,0.007989593800600683,0.406523556811319,0.15552809288905445,0.6575190207335837,2403,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
5,mp_pos_x_ph2m,39.11314384074111,0.15225628403686642,78.07403139744535,23.686537767444587,0.007989593800600683,0.31249813155198797,0.0012164658630434446,0.6237797972409325,2376,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
6,mp_pos_x_ph2m,19.009198128214408,-9.539529574042444,47.55792583047126,17.356394048975844,0.007989593800600683,0.15187577151957193,-0.07621696634541637,0.3799685093845603,2349,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
7,mp_pos_x_ph2m,3.684012500158198,-32.769608633821875,40.13763363413827,22.162228016326445,0.007989593800600683,0.02943376343259936,-0.26181586198889384,0.32068338885409253,2322,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
8,mp_pos_x_ph2m,-16.758162471959565,-56.450978356871126,22.934653412951995,24.131518595047986,0.007989593800600683,-0.13389091099542716,-0.45102038671790085,0.18323856472704655,2295,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
9,mp_pos_x_ph2m,18.3727456823564,-17.136431362754767,53.88192272746757,21.588046780139912,0.007989593800600683,0.14679077500376764,-0.13691312578028458,0.4304946757878199,2268,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
10,mp_pos_x_ph2m,34.29727217101063,-17.393227575220237,85.9877719172415,31.42559246565464,0.007989593800600683,0.2740212731150209,-0.13896482320741646,0.6870073694374582,2241,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
11,mp_pos_x_ph2m,59.17255061125685,29.008958411323494,89.33614281119021,18.338161952950045,0.007989593800600683,0.4727646435294279,0.23176979428499322,0.7137594927738625,2214,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
12,mp_pos_x_ph2m,57.58292840066719,26.7695381121365,88.39631868919788,18.733211140276,0.007989593800600683,0.4600642077704036,0.21387773574566948,0.7062506797951377,2187,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
