horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_rr_pos_x_ph2m,0.1494081685069429,-0.6295019056884666,0.9283182427023525,0.47354370105200244,0.03492195000079714,0.005217624590310135,-0.02198343407585915,0.03241868325647942,2511,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
1,eps_rr_pos_x_ph2m,-0.6659731456172695,-1.4424610470116042,0.11051475577706515,0.47207112454951805,0.03492195000079714,-0.02325708089311988,-0.05037355256183673,0.0038593907755969763,2484,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
2,eps_rr_pos_x_ph2m,-0.9143427180454584,-1.8763794165132732,0.047693980422356286,0.5848767833833508,0.03492195000079714,-0.031930630683176454,-0.06552682816600144,0.0016655667996485239,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
3,eps_rr_pos_x_ph2m,-0.32142638865725387,-0.9286949039262884,0.2858421266117807,0.36919304266272623,0.03492195000079714,-0.011224836273625409,-0.032431837000908945,0.009982164453658132,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
4,eps_rr_pos_x_ph2m,-0.8173031057671146,-1.4353161397853091,-0.1992900717489201,0.3757252462418821,0.03492195000079714,-0.028541818195095395,-0.050124038468919725,-0.006959597921271063,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
5,eps_rr_pos_x_ph2m,-0.43912044951572043,-1.2902243974659375,0.4119834984344967,0.5174344598234135,0.03492195000079714,-0.015334942382315553,-0.04505715189811409,0.014387267133482982,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
6,eps_rr_pos_x_ph2m,-0.3360707001347136,-1.389682885085878,0.7175414848164507,0.6405507260265472,0.03492195000079714,-0.011736244186837356,-0.04853043622993255,0.025057947856257833,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
7,eps_rr_pos_x_ph2m,-1.1816888790581492,-2.5372160435776188,0.17383828546132007,0.8241020005116003,0.03492195000079714,-0.04126687995096671,-0.08860453181503794,0.00607077191310452,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
8,eps_rr_pos_x_ph2m,0.3735206533210352,-0.7600074543155375,1.5070487609576078,0.6891361572016739,0.03492195000079714,0.013044069579542274,-0.02654094231984032,0.05262908147892486,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
9,eps_rr_pos_x_ph2m,0.8893223640651698,-0.29561587053213356,2.074260598662473,0.7203912951169014,0.03492195000079714,0.031056871132474573,-0.01032348265016529,0.07243722491511444,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
10,eps_rr_pos_x_ph2m,1.5924592266203619,-0.10698415496753566,3.291902608208259,1.0331882142836022,0.03492195000079714,0.05561178149034436,-0.0037360953106538135,0.11495965829134253,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
11,eps_rr_pos_x_ph2m,0.9915717027913724,-0.2173452927063686,2.2004886982891136,0.7349693466271016,0.03492195000079714,0.03462761742708559,-0.007590121444800424,0.07684535629897161,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
12,eps_rr_pos_x_ph2m,0.9814877510111512,-0.7562228490177535,2.7191983510400557,1.0564530311730727,0.03492195000079714,0.03427546616720625,-0.026408776522858352,0.09495970885727086,2187,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
13,eps_rr_pos_x_ph2m,0.21569892467229942,-1.6156291789232673,2.047027028267866,1.1133684320529493,0.03492195000079714,0.007532627062631749,-0.05642092140618728,0.07148617553145077,2160,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
14,eps_rr_pos_x_ph2m,0.7527226893106458,-0.536946363641535,2.0423917422628266,0.7840631116474598,0.03492195000079714,0.026286544120571933,-0.018751214064199526,0.0713243023053434,2133,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
15,eps_rr_pos_x_ph2m,2.264743001786818,0.9172306446405649,3.612255358933071,0.8192293436125967,0.03492195000079714,0.07908924187305448,0.03203148271133674,0.12614700103477222,2106,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
16,eps_rr_pos_x_ph2m,2.2521043132845286,0.6428264181622421,3.8613822084068152,0.9783714907841861,0.03492195000079714,0.07864787422510189,0.02244875203425333,0.13484699641595044,2079,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
17,eps_rr_pos_x_ph2m,1.4855779036771157,0.1070735490990331,2.8640822582551984,0.8380711401858695,0.03492195000079714,0.05187927727450126,0.0037392171280443316,0.1000193374209582,2052,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
18,eps_rr_pos_x_ph2m,1.1515026003443507,-0.3856345527502707,2.688639753438972,0.9345130338092823,0.03492195000079714,0.04021271623501331,-0.013467110569724721,0.09389254303975132,2025,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
19,eps_rr_pos_x_ph2m,1.9718039641018945,0.7903109597706472,3.1532969684331418,0.7182967438391435,0.03492195000079714,0.06885923944573996,0.027599199822192545,0.11011927906928738,1998,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
20,eps_rr_pos_x_ph2m,0.7837161513612871,-0.43865797765195014,2.0060902803745244,0.7431507028857962,0.03492195000079714,0.02736889625265603,-0.015318791963012193,0.07005658446832426,1971,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
21,eps_rr_pos_x_ph2m,1.0387576880986502,0.09164545369647437,1.985869922500826,0.5758033534920239,0.03492195000079714,0.03627544404672469,0.0032004379517886474,0.06935045014166073,1944,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
22,eps_rr_pos_x_ph2m,1.9513930462552398,0.6053346301827347,3.2974514623277447,0.8183454102036144,0.03492195000079714,0.06814645039322871,0.021139465688992488,0.11515343509746491,1917,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
23,eps_rr_pos_x_ph2m,0.8513406607091462,-0.4072545646820257,2.109935886100318,0.7651715658880963,0.03492195000079714,0.029730475986930405,-0.014222123545422106,0.07368307551928292,1890,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
24,eps_rr_pos_x_ph2m,0.8494891405038056,-0.09108468407583936,1.7900629650834508,0.5718282825705774,0.03492195000079714,0.02966581729089404,-0.003180854783134866,0.06251248936492294,1863,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
25,eps_rr_pos_x_ph2m,0.6524376084633122,-0.6552175357178384,1.9600927526444627,0.7949978786895003,0.03492195000079714,0.02278439354139545,-0.022881474021983865,0.06845026110477476,1836,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
26,eps_rr_pos_x_ph2m,0.9324905040073228,-0.2771763293520324,2.142157337366678,0.7354252156778958,0.03492195000079714,0.032564386757161855,-0.009679537915036156,0.07480831142935986,1809,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
27,eps_rr_pos_x_ph2m,2.0684035727985113,0.5096834568144402,3.627123688782582,0.9476345435508214,0.03492195000079714,0.07223268615073977,0.017799140195107328,0.12666623210637223,1782,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
28,eps_rr_pos_x_ph2m,2.8402656025722997,0.3483846882184869,5.332146516926112,1.5149560261919472,0.03492195000079714,0.09918761336201382,0.012166272663009299,0.1862089540610183,1755,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
29,eps_rr_pos_x_ph2m,1.9872826157707166,0.22901791077238953,3.7455473207690435,1.0689490397130645,0.03492195000079714,0.06939978414539832,0.007997752029280408,0.1308018162615162,1728,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
30,eps_rr_pos_x_ph2m,2.3472596413145133,0.3423889721880782,4.352130310440948,1.2188748203949367,0.03492195000079714,0.08197088383287446,0.011956890567576388,0.15198487709817254,1701,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
31,eps_rr_pos_x_ph2m,1.8566027150985969,0.22273438696580872,3.490471043231385,0.9933214125325891,0.03492195000079714,0.06483618718801742,0.007778319125078174,0.12189405525095666,1674,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
32,eps_rr_pos_x_ph2m,1.1306448511850815,-0.21070366684252062,2.471993369212684,0.815481995509608,0.03492195000079714,0.03948432296174414,-0.007358182918459123,0.08632682884194741,1647,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
33,eps_rr_pos_x_ph2m,1.9504172017355053,0.19706297401244277,3.703771429458568,1.0659636815056202,0.03492195000079714,0.06811237199970198,0.006881823325470913,0.12934292067393308,1620,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
34,eps_rr_pos_x_ph2m,2.3432625231889292,0.5476605367215617,4.138864509656297,1.0916484950671805,0.03492195000079714,0.08183129667354554,0.019125373880800104,0.14453721946629097,1593,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
35,eps_rr_pos_x_ph2m,2.436034141552113,0.9521502859133661,3.9199179971908595,0.9021373277991537,0.03492195000079714,0.08507106249151768,0.03325094467791127,0.13689118030512407,1566,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
36,eps_rr_pos_x_ph2m,2.866791923678272,1.6244927571726793,4.109091090183865,0.755264265555372,0.03492195000079714,0.10011396422138168,0.056730454842641394,0.14349747360012194,1539,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
37,eps_rr_pos_x_ph2m,3.3339110333937914,2.2209891730958793,4.446832893691703,0.6766084483520715,0.03492195000079714,0.11642667441528391,0.07756127285516608,0.15529207597540173,1512,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
38,eps_rr_pos_x_ph2m,3.435250635377511,2.347784509691755,4.522716761063267,0.661132460583278,0.03492195000079714,0.11996565092886005,0.08198921326010149,0.15794208859761857,1485,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
39,eps_rr_pos_x_ph2m,2.322653810065426,1.3222760379381013,3.323031582192751,0.6081865010574825,0.03492195000079714,0.08111160022426579,0.046176457684126516,0.11604674276440508,1458,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
40,eps_rr_pos_x_ph2m,2.5893904476755365,0.6321319388055457,4.5466489565455275,1.1899286822849535,0.03492195000079714,0.09042656374626681,0.022075279960874227,0.1587778475316594,1431,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
41,eps_rr_pos_x_ph2m,2.335555751258731,0.8315987233359166,3.8395127791815455,0.9143409500273948,0.03492195000079714,0.0815621611695316,0.029041049037063612,0.1340832733019996,1404,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
42,eps_rr_pos_x_ph2m,1.6243987202334629,0.6032356442154667,2.6455617962514593,0.6208230685611784,0.03492195000079714,0.05672717088935185,0.02106616500599118,0.09238817677271254,1377,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
43,eps_rr_pos_x_ph2m,2.7605648255354835,1.1174740318702405,4.403655619200727,0.998928273460116,0.03492195000079714,0.09640430681130943,0.03902437226816173,0.15378424135445715,1350,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
44,eps_rr_pos_x_ph2m,2.362466040583297,1.1577684686997043,3.56716361246689,0.7324041192141502,0.03492195000079714,0.08250192094783108,0.04043153257643054,0.12457230931923163,1323,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
45,eps_rr_pos_x_ph2m,2.070427394452183,0.9556874003199556,3.1851673885844103,0.6777137952379734,0.03492195000079714,0.07230336194933983,0.03337446761036529,0.11123225628831437,1296,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
46,eps_rr_pos_x_ph2m,1.9691842072872279,0.6066969960158304,3.331671418558625,0.8283334084848603,0.03492195000079714,0.06876775242924392,0.02118704216049865,0.1163484626979892,1269,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
47,eps_rr_pos_x_ph2m,1.4427288674146435,0.5279641312402594,2.3574936035890275,0.5561374709491841,0.03492195000079714,0.05038290537256086,0.018437536993386638,0.0823282737517351,1242,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
48,eps_rr_pos_x_ph2m,1.7185967987824782,0.30463739559373004,3.1325562019712265,0.8596262792144876,0.03492195000079714,0.06001675147861173,0.0106385318972973,0.10939497105992615,1215,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
0,eps_rr_neg_x_ph2m,0.0030700260324942373,-0.6381853178916241,0.6443253699566127,0.3898555673385991,0.0485586911449044,1.4907644591870392e-4,-0.03098944374471201,0.031287596636549425,2511,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
1,eps_rr_neg_x_ph2m,-0.05015750524049265,-0.7766938244749286,0.6763788139939433,0.4417027189106056,0.0485586911449044,-0.0024355828055720066,-0.03771523553683265,0.03284406992568863,2484,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
2,eps_rr_neg_x_ph2m,-0.700043700546819,-1.729991995567358,0.32990459447372,0.6261641024736153,0.0485586911449044,-0.03399320584278893,-0.08400614699591216,0.016019735310334304,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
3,eps_rr_neg_x_ph2m,-0.15368848511414332,-1.2427848613102301,0.9354078910819434,0.6621235825187615,0.0485586911449044,-0.007462911681185923,-0.06034800623992632,0.045422182877554465,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
4,eps_rr_neg_x_ph2m,-0.7078807602655308,-1.538108975112213,0.12234745458115137,0.5047429152619527,0.0485586911449044,-0.03437376320515403,-0.0746885586696794,0.005941032259371349,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
5,eps_rr_neg_x_ph2m,-0.4631798108171438,-1.202699892373856,0.2763402707395685,0.44959628591835216,0.0485586911449044,-0.022491405378024937,-0.05840153261379184,0.013418721857741971,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
6,eps_rr_neg_x_ph2m,-0.4654707471695662,-1.157151780634067,0.2262102862949345,0.4205122097985364,0.0485586911449044,-0.02260265024879485,-0.05618977592358583,0.010984475425996126,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
