horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_sb_pos_x_ph2m,0.5117631230102362,-0.36787220049696256,1.391398446517435,0.5347803045171209,0.030663952974368136,0.01569268033800166,-0.011280415856616186,0.0426657765326195,2511,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
1,eps_sb_pos_x_ph2m,-0.4962791646311561,-1.3733038445895225,0.3807455153272102,0.5331931459359218,0.030663952974368136,-0.015217880966408474,-0.04211092451001208,0.011675162577195135,2484,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
2,eps_sb_pos_x_ph2m,-0.9035040339315568,-1.8633221225227132,0.05631405465959971,0.5835279643514895,0.030663952974368136,-0.02770500520862917,-0.0571368219411363,0.0017268115238779622,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
3,eps_sb_pos_x_ph2m,-0.2948999288860756,-1.2375928803589034,0.6477930225867521,0.5731166202429757,0.030663952974368136,-0.00904279755150713,-0.03794948988473822,0.019863894781723963,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
4,eps_sb_pos_x_ph2m,-0.6800474331633202,-1.783252555716482,0.42315768938984166,0.6707010912562555,0.030663952974368136,-0.02085294251085981,-0.054681572509912,0.012975687488192384,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
5,eps_sb_pos_x_ph2m,0.02747143421289272,-1.0694664379960375,1.124409306421823,0.6668908735921786,0.030663952974368136,8.423827668425903e-4,-0.03279406856237549,0.03447883409606067,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
6,eps_sb_pos_x_ph2m,-0.03627389108817336,-1.4841000227005328,1.4115522405241863,0.8802157881341227,0.030663952974368136,-0.0011123008905250993,-0.04550837330534782,0.043283771524297625,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
7,eps_sb_pos_x_ph2m,-0.8044755255527565,-2.5405271812454595,0.9315761301399466,1.0554444646301175,0.030663952974368136,-0.024668399684579817,-0.07790260601581481,0.028565806646655173,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
8,eps_sb_pos_x_ph2m,1.0440105462985036,-0.022266786230618285,2.1102878788276254,0.6482505890237371,0.030663952974368136,0.0320134902964417,-6.827876858659871e-4,0.06470976827874939,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
9,eps_sb_pos_x_ph2m,1.4504669993058186,0.11583011870276527,2.785103879908872,0.8114016096840387,0.030663952974368136,0.04447705185758648,0.0035518093129170733,0.08540229440225588,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
10,eps_sb_pos_x_ph2m,0.6800250161167942,-1.3125336928280003,2.672583725061589,1.2113896800882828,0.030663952974368136,0.02085225511559931,-0.040247471434151555,0.08195198166535018,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
11,eps_sb_pos_x_ph2m,1.2042820350149785,-0.12827889525135738,2.5368429652813145,0.8101395214941218,0.030663952974368136,0.036928047689575666,-0.003933538011591519,0.07778963339074285,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
12,eps_sb_pos_x_ph2m,1.7912967226941154,0.018074509308839692,3.5645189360793914,1.0780425591252878,0.030663952974368136,0.05492823846783212,5.542359034810395e-4,0.1093022410321832,2187,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
13,eps_sb_pos_x_ph2m,1.5413733903640783,0.03577518070082086,3.0469716000273355,0.9153387176789057,0.030663952974368136,0.04726460115806647,0.0010970084586594934,0.09343219385747345,2160,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
14,eps_sb_pos_x_ph2m,1.3206694860805097,-0.0333099325001065,2.674648904661126,0.823161037794011,0.030663952974368136,0.04049694701585568,-0.0010214142037626424,0.08201530823547401,2133,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
15,eps_sb_pos_x_ph2m,3.024330632271666,1.7057331393725808,4.342928125170752,0.8016503543497299,0.030663952974368136,0.09273793228691943,0.05230452077254215,0.1331713438012967,2106,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
16,eps_sb_pos_x_ph2m,2.772214867615954,1.404159265328409,4.140270469903499,0.8317187498458836,0.030663952974368136,0.08500706633541981,0.04305707368055364,0.12695705899028598,2079,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
17,eps_sb_pos_x_ph2m,2.6836592143459392,1.2464647367985353,4.120853691893343,0.8737522014108101,0.030663952974368136,0.08229159994793361,0.03822153607339844,0.1263616638224688,2052,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
