horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,-0.610618751464415,1.3096629431896825,-2.84068835555911,1.7779727948329227,-0.5472923230212801,1.2368173423538624,-2.721019397080436,1.6985645075198135,2673,cumulative,lag1_tfe,contractionary
1,0.5644359708105884,1.498649429908898,-1.9570282659180038,3.1405732846528895,2.1791928807409335,1.1967853239700879,-0.11504201864752518,4.0626595255590345,2646,cumulative,lag1_tfe,contractionary
2,1.1852571593186803,1.0678762980200756,-0.5285239803491599,3.1174660943887162,0.028837791331667688,1.2976168651504234,-3.0915177511117764,1.8389478032759494,2619,cumulative,lag1_tfe,contractionary
3,0.6621239813214224,1.377446631437833,-1.5383364686521126,3.1025734887557768,-2.1660322361653757,1.2186032354873564,-4.28437201804918,0.24034647057567915,2592,cumulative,lag1_tfe,contractionary
4,1.952256485685598,1.5826433244618392,-0.898402815441585,4.39386716843612,0.5481578886451987,0.9577584368336856,-1.357059975334882,2.2964078675457666,2565,cumulative,lag1_tfe,contractionary
5,0.9032904005220517,1.5652374912468658,-1.5057086714010417,3.635383067328307,1.558690017813172,1.5180542821254552,-1.253673202286058,4.011028973877178,2538,cumulative,lag1_tfe,contractionary
6,-0.9086708171669993,1.5040044951137248,-3.347368599253641,1.7498993498343445,-4.312580135885418,1.453967960898358,-6.602829850581344,-1.208494010727748,2511,cumulative,lag1_tfe,contractionary
7,-0.5524616630379067,1.5286013542375985,-3.2401737199522715,2.0094237802053803,1.1435151003380353,0.9642926059910605,-0.7167788394323987,3.1335783336666663,2484,cumulative,lag1_tfe,contractionary
8,-2.1441596286507774,1.1022776767334623,-4.417461630730254,-0.38139139895812035,1.3084843671574653,1.4086223087780363,-1.147474001826528,3.824349378609423,2457,cumulative,lag1_tfe,contractionary
9,-0.38504242267891736,1.4635932626794865,-2.746366931084982,1.9905527309971531,-1.6235984053215113,1.316893671874503,-3.936749550509302,0.7588708545651907,2430,cumulative,lag1_tfe,contractionary
10,-0.6558154141958195,1.5325439458364682,-3.0687529925614774,1.7532903577373302,1.7790211196337966,1.1490307234512074,-0.07187178376535365,4.147500541155551,2403,cumulative,lag1_tfe,contractionary
11,-0.12091254732715333,1.4086850907146196,-2.496728089091471,2.121222706719414,0.20583201772114879,1.9450756680396173,-3.3417580125846125,3.487260252671082,2376,cumulative,lag1_tfe,contractionary
12,0.5144929369613184,1.2358067992879922,-1.7581424911326196,2.5515312685744145,-2.794563655860027,1.3883610640938324,-5.4767601197336075,-0.4580868251082756,2349,cumulative,lag1_tfe,contractionary
13,-0.293889043443271,1.3169094954625085,-2.9033528380435247,1.8133020884221867,2.587644560929129,1.265743488988732,0.6296896659467364,5.25543710501967,2322,cumulative,lag1_tfe,contractionary
14,-2.1024840636542494,1.4772402127752795,-4.6336744621950565,0.3430124046657067,1.1092823511068373,1.936963161469794,-2.005732248901941,4.360136979502004,2295,cumulative,lag1_tfe,contractionary
15,0.6313950194079074,1.0754528507677603,-1.1756560617474363,2.4034366974179786,-2.24404107812802,1.0052117608243625,-4.2186186517916715,-0.41149856584183214,2268,cumulative,lag1_tfe,contractionary
16,-1.1642496934235578,1.419074553439477,-3.8248071168252658,0.9545641029501741,3.7297749262973654,0.9739455478445284,2.1135575468845014,6.174703261016818,2241,cumulative,lag1_tfe,contractionary
17,-3.0926511410434006,1.479689699443156,-5.5782833548831325,-0.6264780300288444,-1.8397792797153125,1.2738353249204417,-4.112081363558411,0.41881572317713694,2214,cumulative,lag1_tfe,contractionary
18,-0.017138330010998657,1.1449166947769005,-1.863678284304841,1.9333834675879131,-0.06504335932419741,1.3182500657650777,-2.2151394545712604,2.254815132923957,2187,cumulative,lag1_tfe,contractionary
19,0.12995115581702935,1.2810890309511835,-1.8645460675222845,2.264272455772749,1.951375448810428,0.9316691948555776,0.24048253820087728,4.15441652501477,2160,cumulative,lag1_tfe,contractionary
20,-0.09613218380823789,1.5588099716000114,-2.7026709584393562,2.8959702308439668,-1.5135652025627944,1.5717498392644658,-3.981803443323999,1.1026518029816694,2133,cumulative,lag1_tfe,contractionary
21,1.405922875119441,1.0836201544693305,-0.5102856367631363,3.2707690162174683,-0.5244151562413197,0.9880737949969579,-2.243758788902532,1.5169535254503819,2106,cumulative,lag1_tfe,contractionary
22,-0.4197976508755201,1.276726409389608,-2.674762453975573,1.5182661881202533,2.4092250449229855,1.575157741703305,-0.005857979278285755,5.60175992764798,2079,cumulative,lag1_tfe,contractionary
23,-0.7512951242653263,1.3479125174963074,-2.851762026238249,1.6405133842082003,-3.1138923268072203,1.329367759309601,-5.948817073747167,-0.8658876438228961,2052,cumulative,lag1_tfe,contractionary
24,1.3475867505692356,1.0813372677522353,-0.3545827991614459,3.4533997088432047,0.7502276213878973,1.1600289876215708,-1.5270016729972826,2.9443119611149426,2025,cumulative,lag1_tfe,contractionary
