horizon,b_mp_shock,se_mp_shock,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,NA,NA,-0.7899436311844648,1.3477750560685025,-3.006836320473464,1.4269490581045345,-0.7240801518418946,1.1445270219748527,-2.6066595750811974,1.1584992713974085,2673,cumulative,lag2_tfe,contractionary
1,NA,NA,-0.22320100170310472,0.818076985233491,-1.5688178979899379,1.1224158945837284,1.3201106922637496,0.8179606267040886,-0.025314811273969395,2.6655361958014687,2646,cumulative,lag2_tfe,contractionary
2,NA,NA,1.1488668546211813,1.0719516948891226,-0.6143367786339691,2.9120704878763317,-0.012637989393664078,1.3077351596307256,-2.1636709098042246,2.1383949310168964,2619,cumulative,lag2_tfe,contractionary
3,NA,NA,0.529827528680363,1.3527795109396228,-1.6952967563543133,2.7549518137150395,-2.308743997000198,1.1477535164381145,-4.1966305313597365,-0.42085746264066004,2592,cumulative,lag2_tfe,contractionary
4,NA,NA,1.3324836280480876,1.0006195508264513,-0.3133890693273531,2.9783563254235284,-0.12287617797411368,0.7261492827720224,-1.3172854594498844,1.071533103501657,2565,cumulative,lag2_tfe,contractionary
5,NA,NA,0.8607398740277535,1.5635135275517147,-1.711011022553374,3.4324907706088807,1.5122662141710597,1.5254986661538494,-0.9969557997617315,4.021488228103851,2538,cumulative,lag2_tfe,contractionary
6,NA,NA,-0.9981732699098211,1.4678179328726473,-3.4125189204998065,1.4161723806801643,-4.409749878708419,1.3956039661977093,-6.70531412429658,-2.1141856331202575,2511,cumulative,lag2_tfe,contractionary
7,NA,NA,-1.039506960892314,1.2188302786522152,-3.0443043653716826,0.9652904435870546,0.6100625508038477,0.8758418028918711,-0.8305690153185623,2.050694116926258,2484,cumulative,lag2_tfe,contractionary
8,NA,NA,-2.2032621423958036,1.1252581907084482,-4.054147158639445,-0.352377126152162,1.2432372825867501,1.4046568866968216,-1.067217692118879,3.5536922572923793,2457,cumulative,lag2_tfe,contractionary
9,NA,NA,-0.41382031253033,1.441595928757367,-2.78503460454536,1.9573939794847002,-1.655580154779347,1.2943473456114358,-3.7845920807433266,0.473431771184633,2430,cumulative,lag2_tfe,contractionary
10,NA,NA,-0.9948010414984071,1.4559449930869566,-3.389617444019323,1.4000153610225086,1.407946954311629,1.1963028413549777,-0.5597961132234568,3.3756900218467147,2403,cumulative,lag2_tfe,contractionary
11,NA,NA,-0.19770084656168715,1.4303826552724561,-2.550470945015063,2.1550692518916885,0.1202691102773087,1.9310575976067557,-3.0560379829983586,3.2965762035529758,2376,cumulative,lag2_tfe,contractionary
12,NA,NA,0.5245395956257387,1.229653830766743,-1.4980609678057095,2.547140159057187,-2.7837057278968143,1.384881094969766,-5.061632419854359,-0.5057790359392693,2349,cumulative,lag2_tfe,contractionary
13,NA,NA,-0.5166544591577412,1.2987997757125236,-2.6529899809222433,1.619681062606761,2.353001307193481,1.3438298144987793,0.1425979628096412,4.563404651577321,2322,cumulative,lag2_tfe,contractionary
14,NA,NA,-2.169352799648242,1.4704752166524095,-4.588069293101208,0.249363693804725,1.0410197447518073,1.91212062001704,-2.1041387922519172,4.186178281755532,2295,cumulative,lag2_tfe,contractionary
15,NA,NA,0.6542765598950768,1.0847594076573697,-1.1299938861598775,2.4385470059500314,-2.222177452810647,1.016939145159077,-3.894893494114484,-0.5494614115068102,2268,cumulative,lag2_tfe,contractionary
16,NA,NA,-1.3144042357316594,1.4109521995635996,-3.6352140786390024,1.0064056071756837,3.586212593436327,1.0418514295404908,1.872519490812075,5.299905696060579,2241,cumulative,lag2_tfe,contractionary
17,NA,NA,-3.134300087405601,1.4776752768572912,-5.564859626000836,-0.7037405488103659,-1.8769541325942882,1.2561043533943062,-3.9430619341044455,0.18915366891586927,2214,cumulative,lag2_tfe,contractionary
18,NA,NA,0.01979119533886439,1.1510443587799914,-1.8735082929824356,1.9130906836601642,-0.03435393265215265,1.3397916100484737,-2.238115021799536,2.1694071564952306,2187,cumulative,lag2_tfe,contractionary
19,NA,NA,0.025909815004612525,1.3430504713852092,-2.183211624032232,2.2350312540414574,1.8619528097638798,1.0145261405225225,0.1932058078883303,3.5306998116394293,2160,cumulative,lag2_tfe,contractionary
20,NA,NA,-0.1546792048368822,1.5819666634062854,-2.7567828088570288,2.447424399183264,-1.5652435680969714,1.5644550212241266,-4.1385430839599175,1.0080559477659747,2133,cumulative,lag2_tfe,contractionary
21,NA,NA,1.4473877815089793,1.1021035289972971,-0.36541120543824124,3.2601867684562,-0.488541013765195,0.9972999296582579,-2.128953420222028,1.1518713926916377,2106,cumulative,lag2_tfe,contractionary
22,NA,NA,-0.4632147747220719,1.309635776870715,-2.6173739322932756,1.6909443828491317,2.3685056533301494,1.6074593846771583,-0.2755297457332553,5.012541052393554,2079,cumulative,lag2_tfe,contractionary
23,NA,NA,-0.81284585383269925,1.3559858215794665,-3.043244050552455,1.417552342887057,-3.166218924720207,1.3301985529418203,-5.354200839092159,-0.9782370103482547,2052,cumulative,lag2_tfe,contractionary
24,NA,NA,1.420619756174265,1.1042652153619752,-0.39573488843022764,3.2369744007787578,0.8126051253169695,1.170625995282644,-1.1129032888273638,2.7381135394613025,2025,cumulative,lag2_tfe,contractionary
