horizon,b_mp_shock,se_mp_shock,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,0.4801572755812019,0.40671516999433044,-1.4078048023858558,1.4105208258183797,-3.7279050986238023,0.9122954938520909,-0.532113563387116,0.9654184927014643,-2.1200856726331425,1.0558585458589103,2673,marginal,lag2,contractionary
1,-0.799595503429233,0.5164976952015741,1.0723092076558962,1.7711159724450953,-1.8409173233721012,3.9855357386838937,2.0602720094166496,1.2497310065898435,0.004647430513632145,4.115896588319667,2646,marginal,lag2,contractionary
2,0.00231745950674662,0.3966184447985797,1.5704114157109803,1.3645767909853566,-0.6741176681950836,3.814940499617044,-1.110269366677668,1.0822225183554743,-2.8903670011632254,0.6698282678078895,2619,marginal,lag2,contractionary
3,0.9055015868574324,0.6499504411869246,-1.2281450687553181,2.069065025090182,-4.631454179673342,2.175164042162705,-2.4316936408140237,1.7577998372273196,-5.323017078532087,0.45962979690403927,2592,marginal,lag2,contractionary
4,-0.903964015920574,0.4686409576656757,1.1939493129426741,1.6614710293166068,-1.5389273357035413,3.9268259615888894,2.166972700876622,1.161496551091848,0.2564808861215706,4.077464515631673,2565,marginal,lag2,contractionary
5,-0.1852594388424127,0.46172785793981497,-0.5158176202121825,1.5300400152225446,-3.0325094886318693,2.000874248207505,1.2155457390545148,1.675046343050071,-1.5396603136231934,3.970751791732223,2538,marginal,lag2,contractionary
6,1.910577002402045,0.7103854015116802,-1.9539479284392212,2.497245701095392,-6.061551577274947,2.1536557203965048,-5.645127502241092,1.9342096113470892,-8.826619196749748,-2.463635807732436,2511,marginal,lag2,contractionary
7,-1.251590697086096,0.5033562476579991,-0.06822348312986139,1.6355124707729405,-2.7584021026050953,2.621955136345372,4.6168985343875795,1.4536158703920272,2.2259131977790334,7.0078838709961255,2484,marginal,lag2,contractionary
8,0.10346425918533363,0.4909236360195231,-0.9298430555726297,1.83385620762493,-3.9462680899919667,2.0865819788467075,0.44320365559721875,1.5834164145996144,-2.1612845769314517,3.047691888125889,2457,marginal,lag2,contractionary
9,0.35741431841575516,0.5490804472533802,1.66845158071764,2.072092016389619,-1.7398364878180128,5.076739649253293,-2.725335182747825,1.5893787054474606,-5.3396305110025155,-0.1110398544931348,2430,marginal,lag2,contractionary
10,-0.5805636882115198,0.405371850770409,-0.6621452009110635,1.761396692366754,-3.559384938850844,2.2350945370287167,2.713275922305385,1.295204637479417,0.582853876703,4.84369796790777,2403,marginal,lag2,contractionary
11,-0.05464420775920778,0.6459721226525643,1.3375570190254795,2.2620794258743806,-2.383232529076298,5.0583465671272565,-0.8683659008579,2.1560249120459107,-4.414711297234343,2.6779794955185436,2376,marginal,lag2,contractionary
12,0.5548304447990355,0.6822039409456073,0.6412222590429019,2.1057975115520273,-2.8225064154588337,4.104950933544638,-2.8190660405632775,2.3547479352303484,-6.692281722383405,1.05414964125685,2349,marginal,lag2,contractionary
13,-0.8706663651588334,0.46807553570769045,-1.3091142472967463,1.6937701858393481,-4.095118280696866,1.4768897861033734,4.203245514307057,1.6955864167655805,1.4142540468805427,6.992236981733572,2322,marginal,lag2,contractionary
14,0.3850053054161232,0.76247293641456,-0.8802079969390884,2.005506613426639,-4.178972823909058,2.418556830030881,-0.49124437922977165,2.5691366014843307,-4.7170980363150505,3.734609277855507,2295,marginal,lag2,contractionary
15,0.36029727161137276,0.5733646866196345,2.587054015691455,1.8815781771749793,-0.5078666734275483,5.681974704810458,-3.5987732317215455,1.7034926075045516,-6.400769225660427,-0.7967772377826643,2268,marginal,lag2,contractionary
16,-0.6879848258964536,0.4880069714694369,-2.495574463736128,1.7717083003743201,-5.409775287506855,0.41862636003459963,4.487948926064859,1.546645433180308,1.9439435756902994,7.031954276439418,2241,marginal,lag2,contractionary
17,1.3822037039489226,0.6182659794762743,-0.8381990404360221,2.280817676816716,-4.589810268563027,2.9134121876909824,-4.244260008131195,1.7807921905559922,-7.173402501614075,-1.315117514648315,2214,marginal,lag2,contractionary
18,-1.0681704947735735,0.5402010521884311,2.917445058273766,2.2548782343961387,-0.7914995839066528,6.626389700454185,1.4551166556255049,1.3828171336570976,-0.81941512208101,3.7296484333320197,2187,marginal,lag2,contractionary
19,-0.008131973754975425,0.5293235086483967,-0.442598527022768,1.537747353842381,-2.971967839325436,2.0867707852799002,0.48232267199999207,1.7136695770896433,-2.336412947272302,3.301058291272286,2160,marginal,lag2,contractionary
20,0.4607969669950047,0.6227054812175309,0.6802810116866708,2.1098413795791284,-2.7900992338063553,4.150661257179697,-2.2140230779847787,1.956598122997583,-5.432340597083795,1.0042944411142374,2133,marginal,lag2,contractionary
21,-0.6329633311276891,0.6238333042275731,1.4447443527444062,1.9926276067310016,-1.8328363933507124,4.722325098839525,0.9765755504998271,1.7882505940030717,-1.964834924944249,3.917986025943903,2106,marginal,lag2,contractionary
22,0.13869705231831236,0.5898391015160838,-2.338173215058381,1.4534780651425758,-4.728931882202554,0.05258545208579202,1.441673059718492,2.1027830558624827,-2.017097276409012,4.900443395845995,2079,marginal,lag2,contractionary
23,1.4776455450724535,0.6196352920227909,-0.11399657323543065,1.9171405823498002,-3.2674122134893557,3.039419067018495,-5.279635953255288,2.0967872641169216,-8.728544089583659,-1.8307278169269163,2052,marginal,lag2,contractionary
24,-1.8853739345404745,0.553035164911905,2.117950548840362,1.8776533206116173,-0.970514325725131,5.206415423405855,5.104794623644073,2.0153177326639997,1.789891941612077,8.41969730567607,2025,marginal,lag2,contractionary
