horizon,b_mp_shock,se_mp_shock,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,NA,NA,-0.7899436311844648,1.3477750560685025,-3.006836320473464,1.4269490581045345,-0.7240801518418946,1.1445270219748527,-2.6066595750811974,1.1584992713974085,2673,marginal,lag2_tfe,contractionary
1,NA,NA,0.6737623472884228,1.7393983072979788,-2.187293267183908,3.5348179617607536,1.9649263234755785,1.3382979472286851,-0.23637790896523336,4.166230555916391,2646,marginal,lag2_tfe,contractionary
2,NA,NA,1.355073963949067,1.4198863353242048,-0.9804312245677844,3.6905791524659186,-1.383606439085815,1.1763185399534597,-3.3184782559785226,0.5512653778068928,2619,marginal,lag2_tfe,contractionary
3,NA,NA,-0.6197965600883724,2.048794605949712,-3.9897637985633674,2.750170678386622,-2.358729088364164,1.9511197365685877,-5.568035463675605,0.8505772869472774,2592,marginal,lag2_tfe,contractionary
4,NA,NA,0.84791533747308,1.6469203074303134,-1.8610275035037032,3.5568581784498634,2.0776402483941268,1.2870304600413653,-0.039336471801934,4.1946169685901875,2565,marginal,lag2_tfe,contractionary
5,NA,NA,-0.4552894141664196,1.6088564599041597,-3.1016227974840813,2.1910439691512424,1.5711082408916575,1.6961676468362288,-1.218839264924656,4.3610557467079705,2538,marginal,lag2_tfe,contractionary
6,NA,NA,-1.8314134621466935,2.6193749035370777,-6.139901772575317,2.477074848281929,-6.006005620300797,2.161810277497561,-9.561867096023628,-2.4501441445779673,2511,marginal,lag2_tfe,contractionary
7,NA,NA,-0.009396510479021054,1.7093769876470133,-2.8210714484375914,2.8022784274795494,4.9297412425656395,1.5099132179918058,2.44615500956985,7.413327475561429,2484,marginal,lag2_tfe,contractionary
8,NA,NA,-1.1424819762658607,1.9056248875113433,-4.276955984097883,1.9919920315661623,0.5403643437877993,1.714547284675456,-2.2798149759904214,3.36054366356602,2457,marginal,lag2_tfe,contractionary
9,NA,NA,1.8231730689013232,2.204704858664007,-1.8032437142297002,5.4495898520323465,-2.97515484910865,1.6852126987251959,-5.747083068791466,-0.20322662942583403,2430,marginal,lag2_tfe,contractionary
10,NA,NA,-0.5389728894761089,1.851231082023697,-3.5839770490680842,2.5060312701158662,2.9994158316231103,1.43838862287077,0.6334770883283918,5.365354574917829,2403,marginal,lag2_tfe,contractionary
11,NA,NA,0.8053800453933323,2.3521419446031038,-3.0635491632917704,4.674309254078435,-1.373293420137671,2.369661946051823,-5.271040466749894,2.5244536264745525,2376,marginal,lag2_tfe,contractionary
12,NA,NA,0.7688852259191943,2.2000467325823054,-2.8498696216315453,4.3876400734699335,-3.0085716999284866,2.5546832568450473,-7.21065172066226,1.1935083208052868,2349,marginal,lag2_tfe,contractionary
13,NA,NA,-0.9934857484804316,1.884163406406563,-4.092658761277507,2.1056872643166433,5.002436028790189,1.7587896002619032,2.109484575754869,7.89538748182551,2322,marginal,lag2_tfe,contractionary
14,NA,NA,-1.620847816336597,2.077448896716141,-5.037947168906474,1.7962515362332803,-1.4125945321679998,2.7873874691660916,-5.997438920544928,3.1722498562089285,2295,marginal,lag2_tfe,contractionary
15,NA,NA,2.857748959902572,1.8820232448924652,-0.23790380046577697,5.9534017202709215,-3.3784159925026693,1.808746115367914,-6.3535386005999674,-0.4032933844053712,2268,marginal,lag2_tfe,contractionary
16,NA,NA,-1.9452634779592064,1.7380348330106299,-4.804076376804736,0.9135494208863235,5.710830593314945,1.6359798545263597,3.0198831959777217,8.40177799065217,2241,marginal,lag2_tfe,contractionary
17,NA,NA,-1.7986305770900852,2.2264551954676457,-5.46082348059999,1.8635623264198191,-5.594523221655594,1.9612667819387921,-8.820520001347056,-2.368526441964131,2214,marginal,lag2_tfe,contractionary
18,NA,NA,3.1707309632283436,2.2667374432287675,-0.5577203416131997,6.899182268069887,1.7198158354859612,1.4534416706012203,-0.670882967964862,4.110514638936785,2187,marginal,lag2_tfe,contractionary
19,NA,NA,0.03736361909332889,1.5115532717538114,-2.4489202622812907,2.523647500467949,1.7533452910182532,1.7822853325274743,-1.1782532024519725,4.684943784488479,2160,marginal,lag2_tfe,contractionary
20,NA,NA,-0.14575584846292106,2.144674667330205,-3.6734317536519496,3.3819200567261074,-3.556204285996093,2.07132995183599,-6.963238869886738,-0.1491697021054481,2133,marginal,lag2_tfe,contractionary
21,NA,NA,1.618940085875318,2.078899395760383,-1.8005451253083706,5.038425297059007,0.9763460466185221,1.867971603532299,-2.0961938204939363,4.04888591373098,2106,marginal,lag2_tfe,contractionary
22,NA,NA,-1.8894730105684172,1.573277080182937,-4.4772835221069425,0.6983375009701078,2.727056756941359,1.9319351970024792,-0.45069385888337443,5.904807372766093,2079,marginal,lag2_tfe,contractionary
23,NA,NA,-0.3225225838670696,1.9894285134760539,-3.5948412898188313,2.949796122084692,-5.702961621230922,2.0305409958241185,-9.042904342885876,-2.363018899575968,2052,marginal,lag2_tfe,contractionary
24,NA,NA,2.0716142698711133,1.9587961172711847,-1.1503186280808548,5.293547167823082,5.140978941941635,2.0416896368405695,1.7826983376751921,8.499259546208078,2025,marginal,lag2_tfe,contractionary
