horizon,b_mp_shock,se_mp_shock,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,-0.2971516259793442,0.18524224054627847,0.22659441302286112,0.8343340572895294,-1.145762987198958,1.5989518132446805,0.6554015911268027,0.6713661816243427,-0.4488975077305577,1.7597006899841632,2673,cumulative,lag1,expansionary
1,-0.16739905888244483,0.3535163489626284,1.3827385688192135,1.377850481453814,-0.8836237929969235,3.649100930635351,-0.6571519842085108,1.133046145374452,-2.5208470459310623,1.2065430775140409,2646,cumulative,lag1,expansionary
2,0.27681162170337303,0.1528296855458398,-0.9422263716369491,0.7560151444030151,-2.185760623938489,0.3013078806645907,-0.16864894537851116,0.49656606080253857,-0.9854274315105717,0.6481295407535493,2619,cumulative,lag1,expansionary
3,-0.3848806941868854,0.25787684236797964,0.7652123974376543,1.1179645872693178,-1.073675708735588,2.604100503610897,0.631150117840127,0.8565471846127984,-0.7777446254253061,2.04004486110556,2592,cumulative,lag1,expansionary
4,-0.34710625043660726,0.34049799676861997,1.79013115052531,1.1736981861267035,-0.1404305678715616,3.7206928689221814,-0.06305756331460666,0.923952840601698,-1.5828247443104244,1.456709617681211,2565,cumulative,lag1,expansionary
5,0.15908719971328192,0.2970045758558026,-0.4850107979139108,1.0494899457808244,-2.2112681416806033,1.2412465458527815,-0.2038291830267607,1.1317275540289762,-2.06535535499224,1.6576969889387183,2538,cumulative,lag1,expansionary
6,-0.3218027352200241,0.4233236967731213,1.6408458826555192,1.237826804273307,-0.3951980258911789,3.6768897912022176,-0.24438116720538258,1.2980977162687108,-2.3795619039473936,1.8907995695366284,2511,cumulative,lag1,expansionary
7,-0.2403858295185656,0.3862899572025432,1.1750866766700734,1.213781452693923,-0.8214061481199519,3.1715795014600987,-0.09131513665636994,1.3089567387710193,-2.244357375946451,2.0617271026337107,2484,cumulative,lag1,expansionary
8,0.3043681724545257,0.31207903271729176,-1.0902091199487283,0.860177928867905,-2.5050759060707066,0.3246576661732501,-0.2935893009934434,1.1387093880883397,-2.16659956803424,1.5794209660473528,2457,cumulative,lag1,expansionary
9,-0.4025745365737393,0.36360613415102844,1.064903721991401,1.1985875630439657,-0.9065973783003916,3.0364048222831936,0.5734287017483568,1.2575877998548393,-1.4951191520527967,2.64197655554951,2430,cumulative,lag1,expansionary
10,-0.43468379867941526,0.32521461584715455,0.5887287757708773,0.7829815676216876,-0.6991612955678043,1.876618847109559,1.1796654196352876,1.277715684327904,-0.9219898579442469,3.281320697214822,2403,cumulative,lag1,expansionary
11,0.18045215111682406,0.3140860137572046,-0.23923494904924703,1.346592527485425,-2.454182551909397,1.9757126538109033,-0.4651405851445413,0.856362952933172,-1.8737322942635417,0.943451123974459,2376,cumulative,lag1,expansionary
12,-0.42837800573308626,0.35731704625535043,0.9592771165785597,1.2554152393835443,-1.1056971932516126,3.0242514264087323,0.8690652233343337,0.9156206291111078,-0.63699668937066,2.3751271360393273,2349,cumulative,lag1,expansionary
13,-0.267417336398469,0.30607115801920476,1.260035145348892,0.8058577378386832,-0.06548287754197402,2.585553168239758,0.08525931788097944,1.1379110261949963,-1.786437760703931,1.95695639646589,2322,cumulative,lag1,expansionary
14,0.21084958084970715,0.35172864190597575,-0.6508724102465034,1.4010826530912102,-2.955448293842371,1.6537034733493639,-0.2502453666914825,1.1396001158674818,-2.124720750550427,1.624230017167462,2295,cumulative,lag1,expansionary
15,-0.00775863209912814,0.3556770997713508,0.3807460929642789,1.3105850765913247,-1.7749745236954337,2.5364667096239915,-0.270660258813973,0.9263503295802827,-1.7943709582517922,1.253050440623846,2268,cumulative,lag1,expansionary
16,-0.3299912933827003,0.37708453455585605,1.087029587588348,0.8464675285281718,-0.3052855968078636,2.4793447719845596,0.5241379165769875,1.4834664959975346,-1.9159473298255476,2.964223162979523,2241,cumulative,lag1,expansionary
17,0.5317391946870934,0.37506018494970383,-1.6725752516344699,1.4000634270931371,-3.9754746576507234,0.6303241543817837,-0.6117588201614401,1.1302605923763547,-2.4708720549320056,1.2473544146091256,2214,cumulative,lag1,expansionary
18,0.17405990830561957,0.3840499160182493,-0.4602886000001132,1.3546886283455308,-2.688553103724174,1.7679759037239473,-0.29725489080884276,1.0617151265324312,-2.0436208674749525,1.4491110858572671,2187,cumulative,lag1,expansionary
19,0.0032633612163298557,0.32064985695237896,0.30243051671055626,0.7926579769835412,-1.0013758316628376,1.6062368650839502,-0.21224805825958418,1.2862732663251895,-2.327979305625288,1.90348318910612,2160,cumulative,lag1,expansionary
20,0.13290510476337794,0.3716050463663316,-0.654230381850254,1.4939448653391127,-3.111551012068821,1.8030902483683133,0.18677718640104968,1.1378920159385526,-1.6848886230946003,2.0584429958966997,2133,cumulative,lag1,expansionary
21,-0.13124006338195038,0.4602491979227284,-0.2689905184580836,1.4250436245461982,-2.6129786928569687,2.0749976559408014,0.7133385528677854,1.1869566650141261,-1.2390314226149228,2.6657085283504935,2106,cumulative,lag1,expansionary
22,-0.32292827429394144,0.3505312561512661,0.7485427529064955,1.152658443833828,-1.1474116690698155,2.6444971748828068,0.6907594071901124,1.33402521080136,-1.5035167992412057,2.8850356136214304,2079,cumulative,lag1,expansionary
23,-0.08413195028445622,0.3198772015314402,-0.7549703347922938,1.5580020248831774,-3.317655616219125,1.8077149466345375,1.205005545635815,0.740344132371123,-0.01275218568706693,2.422763276958697,2052,cumulative,lag1,expansionary
24,0.19054200463849694,0.47087291517556495,-0.9805102349567264,1.4642914172842278,-3.389055283590599,1.4280348136771464,0.07056663788250882,1.2857157480390486,-2.0442475735081445,2.1853808492731623,2025,cumulative,lag1,expansionary
