horizon,b_mp_shock,se_mp_shock,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,-0.2971516259793442,0.18524224054627847,0.22659441302286112,0.8343340572895294,-1.145762987198958,1.5989518132446805,0.6554015911268027,0.6713661816243427,-0.4488975077305577,1.7597006899841632,2673,marginal,lag1,expansionary
1,0.1411906201496675,0.44528135217510423,1.193506154482934,1.953631735303435,-2.0199320910584184,4.406944400024286,-1.3950912893952365,1.4483526079016111,-3.777419329606824,0.9872367508163511,2646,marginal,lag1,expansionary
2,0.4535447744290232,0.39773297290417925,-2.3155010327151775,1.7772042021488137,-5.23874181045305,0.6077397450226951,0.436508574191641,1.2931713357485346,-1.690568987684015,2.563586136067297,2619,marginal,lag1,expansionary
3,-0.6498126852907907,0.31173225910304847,1.707876071034284,1.3550187837874652,-0.5209314900658999,3.936683632134468,0.7437733476311184,1.0311188800282611,-0.9522662820015062,2.4398129772637427,2592,marginal,lag1,expansionary
4,0.049643526977479764,0.5261426671772261,1.0518409396899902,1.938369573119163,-2.136493283027441,4.2401751624074215,-0.7623666885130317,1.3594516700719677,-2.9984656986961427,1.4737323216700795,2565,marginal,lag1,expansionary
5,0.5192334685939889,0.5435575200677587,-2.2698427729812725,1.8687044024386852,-5.343587987032726,0.8039024410701812,-0.2043561428587224,1.855473902988112,-3.256339121902521,2.8476268361850763,2538,marginal,lag1,expansionary
6,-0.46355770306503885,0.43926173349601055,2.114787588293667,1.6227788007658062,-0.5544460078859288,4.7840211844732625,-0.1105639121187351,1.2400340706841113,-2.150238450826893,1.9291106265894227,2511,marginal,lag1,expansionary
7,0.0877708556398495,0.7559589178404151,-0.4424233336531761,1.9921824988494117,-3.7192719424348764,2.8344252751285244,0.10047618928351626,2.4261304987508585,-3.890153361044416,4.091105739611448,2484,marginal,lag1,expansionary
8,0.5521643836122687,0.5981341166753493,-2.250569316089441,1.6588224566557428,-4.979089450388189,0.47795081820930774,-0.255056515268233,2.2360235214305297,-3.9329879144420414,3.422874883905575,2457,marginal,lag1,expansionary
9,-0.7094348204688987,0.4013094645605885,1.9647226553163781,1.573907121601111,-0.62412418213396,4.553569492766716,1.1025323875655504,1.0498954183737115,-0.6243918992661817,2.8294566743972824,2430,marginal,lag1,expansionary
10,-0.02515128260244008,0.6001379595897012,-0.4508449581190434,1.3369848283341954,-2.649989302183635,1.7482993859455485,0.5507479223471539,2.284442686976217,-3.206825916888442,4.30832176158275,2403,marginal,lag1,expansionary
11,0.6241597285501689,0.43404874373905894,-0.8293182222386799,1.6499883666467294,-3.543307571545287,1.8846711270679275,-1.6917642949179832,1.5613589198255533,-4.259971177166077,0.87644258733011,2376,marginal,lag1,expansionary
12,-0.6031755576604962,0.5021074019518076,1.2359234107633836,1.7373543541479182,-1.621770199956751,4.093617021483518,1.2664681696548268,1.38536486437424,-1.0122542521622755,3.545190591471929,2349,marginal,lag1,expansionary
13,0.1720372396324211,0.5586431756557703,0.31838424136019117,1.5321650959967201,-2.2018030738784633,2.838571556598846,-0.844531039295823,1.769346011053211,-3.754846242908816,2.06578416431717,2322,marginal,lag1,expansionary
14,0.48389017324320666,0.5174122481952046,-1.8838871626347033,1.7117529561421239,-4.699470220989979,0.9316958957205721,-0.3955179786484829,1.8661428948042107,-3.4650498875769076,2.6740139302799415,2295,marginal,lag1,expansionary
15,-0.21095425686877323,0.5515790467865604,1.059846064331428,1.8927839636265327,-2.053506503275256,4.173198631938112,-0.07700226842412078,1.5671004447401318,-2.654653118752191,2.500648581903949,2268,marginal,lag1,expansionary
16,-0.31075916964923,0.5841047579590012,0.7208480942694361,1.5300853214539407,-1.7959182962692868,3.2376144848081587,0.727455612577385,1.9215622663745837,-2.433233050681939,3.8881442758367086,2241,marginal,lag1,expansionary
17,0.8700255951353206,0.5877068903060804,-2.7355537884499026,1.6572319944801395,-5.461457845270581,-0.009649731629224334,-1.202755001686801,2.1719070962897717,-4.775224266420671,2.3697142630470687,2214,marginal,lag1,expansionary
18,-0.3503789658637783,0.5577596595508986,1.2422208853577408,1.9617260548360829,-1.9845313310245916,4.468973101740073,0.24527200004963587,1.6462822009829268,-2.462621249222783,2.9531652493220544,2187,marginal,lag1,expansionary
19,-0.15995002851600093,0.5277733181622727,0.7884133924704206,1.45093564768681,-1.5981633701004114,3.174990155041253,0.003396503126710505,1.6668269793551476,-2.7382898993661695,2.7450829056195905,2160,marginal,lag1,expansionary
20,0.1356006531416389,0.537132676488036,-0.9181767237105024,1.7690739628213406,-3.828044447802597,1.991691000381592,0.3238535796703856,2.02976269677229,-3.014808953966315,3.6625161133070865,2133,marginal,lag1,expansionary
21,-0.2623400471248618,0.6286276074536148,0.4394373310491376,2.025895686120593,-2.8928645360916594,3.771739198189935,0.4559069060709356,1.7543679950897297,-2.4297716536599876,3.341585465801859,2106,marginal,lag1,expansionary
22,-0.18598358122626357,0.5483711092809453,1.052218683773284,1.2466845688859878,-0.9983949510232644,3.1028323185698325,-0.09439118016823374,1.8452289679933902,-3.129522740728082,2.940740380391615,2079,marginal,lag1,expansionary
23,0.2454922509784925,0.48616916451728265,-1.4590655579728047,1.9880234441987041,-4.729073130627599,1.8109420146819901,0.4291734539798952,1.7110173629179972,-2.385199661192715,3.243546569152505,2052,marginal,lag1,expansionary
24,0.27074961940411385,0.48957239428223004,-0.17083757296970403,1.8619702676109495,-3.2335061209253766,2.891830974985968,-1.1878820275388555,1.3097580360580021,-3.342242283577696,0.9664782284999853,2025,marginal,lag1,expansionary
