horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_pos_x_ph2m,-2.0647006587435186,-4.143379310132225,0.013977992645187953,1.2637468874609072,0.007989593800600683,-0.01649611958319336,-0.03310391764976956,1.1167848338283561e-4,2511,driscoll_kraay,cumulative,twfe_directional_dummies
1,mp_pos_x_ph2m,-1.742910195819381,-3.7185671438657835,0.23274675222702168,1.201114139078766,0.007989593800600683,-0.013925144495522247,-0.02970984099974745,0.0018595520087029555,2484,driscoll_kraay,cumulative,twfe_directional_dummies
2,mp_pos_x_ph2m,0.8721504562136068,-1.0719185808754568,2.8162194933026705,1.1819100528064312,0.007989593800600683,0.00696812787815529,-0.00856419404851123,0.022500449804821812,2457,driscoll_kraay,cumulative,twfe_directional_dummies
3,mp_pos_x_ph2m,-0.5018408673842424,-1.9402994437286218,0.936617708960137,0.8745207189106429,0.007989593800600683,-0.004009504682941212,-0.01550220440692315,0.007483195041040724,2430,driscoll_kraay,cumulative,twfe_directional_dummies
4,mp_pos_x_ph2m,-0.3473305764763707,-1.4858400806962777,0.7911789277435362,0.6921646312869738,0.007989593800600683,-0.0027750302205746726,-0.011871258697414998,0.006321198256265652,2403,driscoll_kraay,cumulative,twfe_directional_dummies
5,mp_pos_x_ph2m,0.27465861288198323,-1.2598800332434794,1.8091972590074459,0.9329332537446121,0.007989593800600683,0.002194410750763476,-0.010065929703102685,0.014454751204629638,2376,driscoll_kraay,cumulative,twfe_directional_dummies
6,mp_pos_x_ph2m,-1.984682912830027,-3.358584838961419,-0.6107809866986349,0.8352730623683189,0.007989593800600683,-0.01585681029650489,-0.026833728608157595,-0.0048798919848521815,2349,driscoll_kraay,cumulative,twfe_directional_dummies
7,mp_pos_x_ph2m,-2.4920882481138973,-4.902743822462121,-0.08143267376567387,1.4655745258111927,0.007989593800600683,-0.01991077281768061,-0.03917093164987665,-6.506139854845658e-4,2322,driscoll_kraay,cumulative,twfe_directional_dummies
8,mp_pos_x_ph2m,-3.2493265935032403,-4.8422778696873365,-1.6563753173191438,0.9684456112586933,0.007989593800600683,-0.025960799607580423,-0.03868783324843982,-0.013233765966721019,2295,driscoll_kraay,cumulative,twfe_directional_dummies
9,mp_pos_x_ph2m,-1.4186009172780554,-2.8554415414381094,0.018239706881998607,0.8735370738264757,0.007989593800600683,-0.011334045094211194,-0.022813818037451576,1.4572784902918968e-4,2268,driscoll_kraay,cumulative,twfe_directional_dummies
10,mp_pos_x_ph2m,-2.4728747099683424,-5.389827994752032,0.44407857481534707,1.773381677851721,0.007989593800600683,-0.019757264452425278,-0.04306253633317485,0.0035480074283242833,2241,driscoll_kraay,cumulative,twfe_directional_dummies
11,mp_pos_x_ph2m,-1.1433879885466682,-3.100445427071646,0.8136694499783097,1.189806440195008,0.007989593800600683,-0.009135205584973745,-0.02477129956323236,0.006500888393284871,2214,driscoll_kraay,cumulative,twfe_directional_dummies
12,mp_pos_x_ph2m,-0.42508154268317827,-1.7215927218172637,0.8714296364509073,0.7882228290045512,0.007989593800600683,-0.0033962288581712956,-0.013754826537390467,0.0069623688210478756,2187,driscoll_kraay,cumulative,twfe_directional_dummies
13,mp_pos_x_ph2m,-1.884046024787207,-4.4269181095158885,0.6588260599414744,1.5459564565885255,0.007989593800600683,-0.01505276243968623,-0.035369277483555034,0.005263752604182577,2160,driscoll_kraay,cumulative,twfe_directional_dummies
14,mp_pos_x_ph2m,-3.4577513543440466,-5.78057394631577,-1.134928762372323,1.4121758641082136,0.007989593800600683,-0.02762602878468581,-0.0461844377653983,-0.009067619803973317,2133,driscoll_kraay,cumulative,twfe_directional_dummies
15,mp_pos_x_ph2m,-0.208201445975971,-1.8469453187157119,1.4305424267637696,0.9962855331856766,0.007989593800600683,-0.001663444982045716,-0.014756342868459504,0.01142945290436807,2106,driscoll_kraay,cumulative,twfe_directional_dummies
16,mp_pos_x_ph2m,-2.6562456766511735,-4.636412013703409,-0.6760793395989382,1.2038556529326099,0.007989593800600683,-0.02122232399104458,-0.037043048681715283,-0.00540159930037388,2079,driscoll_kraay,cumulative,twfe_directional_dummies
17,mp_pos_x_ph2m,-4.604359023866482,-7.02332725087326,-2.185390796859704,1.4706282597862705,0.007989593800600683,-0.036786958312823456,-0.05611353186316683,-0.017460384762480078,2052,driscoll_kraay,cumulative,twfe_directional_dummies
