horizon,b_mp_shock,se_mp_shock,ci_lo,ci_hi,nobs,response_type,shock_type
0,0.003928248137441725,0.022938433035040163,-0.033802116636827535,0.04165861291171099,99,cumulative,contractionary
1,0.029450398003051978,0.030739510347422932,-0.02111159708261892,0.08001239308872288,98,cumulative,contractionary
2,0.07998053653468776,0.02071636946495522,0.04590514108298945,0.11405593198638606,97,cumulative,contractionary
3,0.00577540551747279,0.028564313794963915,-0.04120870962955356,0.05275952066449914,96,cumulative,contractionary
4,-0.021470060563462696,0.03146253377515979,-0.07322132335661745,0.03028120222969206,95,cumulative,contractionary
5,0.03521218184866144,0.022793225707038043,-0.0022793381254836015,0.07270370182280649,94,cumulative,contractionary
6,-0.014538539154961954,0.023452730225220327,-0.05311484752783001,0.024037769217906096,93,cumulative,contractionary
7,-0.0363241942809825,0.039598578487690834,-0.1014580597285833,0.02880967116661829,92,cumulative,contractionary
8,0.04019707812355388,0.033442429734753865,-0.014810823719725752,0.09520497996683351,91,cumulative,contractionary
9,-0.0017410379367513876,0.041624944738880426,-0.07020797926215343,0.06672590338865066,90,cumulative,contractionary
10,-0.03828072635432295,0.05445189273534697,-0.1278461196144309,0.05128466690578501,89,cumulative,contractionary
11,0.05747448014180766,0.03981491783166811,-0.008015231860386454,0.12296419214400177,88,cumulative,contractionary
12,-0.05635947009303248,0.02413895700192614,-0.09606452106847631,-0.01665441911758865,87,cumulative,contractionary
13,-0.1282280447304713,0.025888416361965743,-0.17081070027948048,-0.08564538918146214,86,cumulative,contractionary
14,0.02558866698991148,0.059024066644041084,-0.07149728310696486,0.12267461708678783,85,cumulative,contractionary
15,-0.020695063698481113,0.034992614786987626,-0.0782527930473734,0.03686266565041118,84,cumulative,contractionary
16,-0.1155075519008321,0.041896806149496854,-0.18442166545351474,-0.04659343834814948,83,cumulative,contractionary
17,0.06420078264793451,0.04222127108921413,-0.005247028237660656,0.13364859353352967,82,cumulative,contractionary
18,-0.04077664037770557,0.01575959545114454,-0.06669886811480857,-0.014854412640602561,81,cumulative,contractionary
19,-0.03250249106432549,0.03713472092623814,-0.093583671465679,0.02857868933702802,80,cumulative,contractionary
20,0.022026690723846536,0.0315829668969895,-0.029922666926554906,0.07397604837424798,79,cumulative,contractionary
21,-0.05280170563745934,0.014764565727700534,-0.07708725512503095,-0.028516156149887725,78,cumulative,contractionary
22,-0.00859542310815951,0.025015805947945335,-0.04974276225275159,0.032551916036432565,77,cumulative,contractionary
23,0.054939051847105146,0.034813499286965296,-0.0023240587219321915,0.11220216241614248,76,cumulative,contractionary
