horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_rr_pos_x_ph2m,0.302483799815005,-0.6972428401485944,1.3022104397786043,0.607790640810068,0.01551557301418947,0.004693209481639182,-0.010818122194946354,0.020204541158224714,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
1,eps_rr_pos_x_ph2m,0.30557021045536253,-0.5266673043091754,1.1378077252199006,0.5059644828743729,0.01551557301418947,0.00474109691128142,-0.008171545014195356,0.017653738836758196,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
2,eps_rr_pos_x_ph2m,-0.08707967288990685,-1.0519890463712522,0.8778297005914385,0.586623245783689,0.01551557301418947,-0.0013510910227750852,-0.016322212859100717,0.013620030813550546,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
3,eps_rr_pos_x_ph2m,0.7854522618409551,-0.6240179141689609,2.194922437850871,0.8568970228811126,0.01551557301418947,0.012186741917753605,-0.00968199550945073,0.034055479344957944,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
4,eps_rr_pos_x_ph2m,-0.2955134938761413,-1.31653925863979,0.7255122708875075,0.6207395892459994,0.01551557301418947,-0.004585061190913503,-0.020426860993472535,0.011256738611645532,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
5,eps_rr_pos_x_ph2m,-0.38686198755525714,-1.315667239199507,0.5419432640889927,0.5646734982526519,0.01551557301418947,-0.00600238541432805,-0.020413331112177035,0.008408560283520933,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
6,eps_rr_pos_x_ph2m,0.0662149226824419,-1.1054856094088745,1.2379154547737585,0.7123433434395713,0.01551557301418947,0.0010273624675083378,-0.017152242688919135,0.019206967623935815,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
7,eps_rr_pos_x_ph2m,-0.23946236212744842,-1.1696028650973838,0.6906781408424869,0.5654852734184216,0.01551557301418947,-0.0037153957637387053,-0.018147058651023656,0.010716267123546244,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
8,eps_rr_pos_x_ph2m,-1.5538483431886814,-2.457288231964188,-0.6504084544131747,0.5492524526026783,0.01551557301418947,-0.024108847421721324,-0.03812623497994891,-0.010091459863493737,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
9,eps_rr_pos_x_ph2m,0.8040339494976694,-0.040031551342298854,1.6480994503376376,0.513155387816688,0.01551557301418947,0.012475047449318218,-6.211124577227123e-4,0.02557120735635915,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
10,eps_rr_pos_x_ph2m,0.3214682512484254,-0.885338893868102,1.5282753963649527,0.7336866486735308,0.01551557301418947,0.004987764123988749,-0.01373654025011228,0.023712068498089777,2187,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
11,eps_rr_pos_x_ph2m,-1.259039690690764,-2.083916428120515,-0.43416295326101295,0.5014894480055079,0.01551557301418947,-0.019534722248675074,-0.03233315749597277,-0.006736287001377377,2160,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
12,eps_rr_pos_x_ph2m,0.48262380415763184,-0.26446607882683315,1.2297136871420968,0.4541983984125698,0.01551557301418947,0.007488184871793617,-0.004103342755814117,0.019079712499401352,2133,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
13,eps_rr_pos_x_ph2m,0.6979185436330968,-0.6499563559311059,2.0457934431972995,0.819449753752447,0.01551557301418947,0.010828606121696093,-0.010084445296485592,0.03174165753987778,2106,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
14,eps_rr_pos_x_ph2m,-1.5098977610217827,-2.3101695838302727,-0.7096259382132929,0.4865307220629064,0.01551557301418947,-0.023426928955094673,-0.0358436048530783,-0.011010253057111051,2079,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
15,eps_rr_pos_x_ph2m,0.18250103577421656,-0.7110705744221952,1.0760726459706285,0.5432529652213092,0.01551557301418947,0.0028316081457200617,-0.011032667415689219,0.016695883707129343,2052,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
16,eps_rr_pos_x_ph2m,0.5178703179222526,-0.5413087328919299,1.577049368736435,0.6439351401603054,0.01551557301418947,0.008035054729604224,-0.008398715168403124,0.02446882462761157,2025,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
17,eps_rr_pos_x_ph2m,-0.6561613603946009,-1.9850115283572216,0.6726888075680196,0.8078835381999774,0.01551557301418947,-0.010180719496292321,-0.030798591302234304,0.010437152309649658,1998,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
18,eps_rr_pos_x_ph2m,0.48066524469154154,-0.25056556474675934,1.2118960541298425,0.44455676630238816,0.01551557301418947,0.007457796699394861,-0.0038876683146699636,0.018803261713459685,1971,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
19,eps_rr_pos_x_ph2m,0.7885171208354396,-0.07865825116749026,1.6556924928383694,0.5272051918748113,0.01551557301418947,0.012234294961260724,-0.0012204278391576492,0.025689017761679096,1944,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
20,eps_rr_pos_x_ph2m,-1.1865056346296352,-2.254456513757429,-0.11855475550184136,0.6492680331119225,0.01551557301418947,-0.01840931480584332,-0.03497918464651843,-0.0018394449651682003,1917,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
21,eps_rr_pos_x_ph2m,0.5156757454941814,-0.3127650954503183,1.344116586438681,0.5036562690869401,0.01551557301418947,0.008001004680861557,-0.004852729674749352,0.020854739036472468,1890,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
22,eps_rr_pos_x_ph2m,0.8105050798660338,-0.36813090785830394,1.9891410675903716,0.7165598010740875,0.01551557301418947,0.012575450745032916,-0.005711761979655371,0.0308626634697212,1863,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
23,eps_rr_pos_x_ph2m,-0.13541479305090626,-0.7976271935464101,0.5267976074445977,0.40259655305793435,0.01551557301418947,-0.002101038108782693,-0.012375642959572362,0.008173566742006979,1836,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
24,eps_rr_pos_x_ph2m,0.24135889126674243,-1.0931751162241667,1.5758928987576515,0.8113390672726907,0.01551557301418947,0.0037448215000729593,-0.01696123833307112,0.024450881333217038,1809,driscoll_kraay,cumulative,twfe_directional_dummies,Recursive Residual
