horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_sb_pos_x_ph2m,-0.3108078410508269,-1.5510844347792432,0.9294687526775894,0.7540346286174487,0.013568412256501839,-0.004217168919930916,-0.021045753055727912,0.012611415215866081,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
1,eps_sb_pos_x_ph2m,-0.07721005249107969,-1.4807089339096933,1.3262888289275339,0.8532667335389724,0.013568412256501839,-0.001047617822545116,-0.020090869247172054,0.017995633602081822,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
2,eps_sb_pos_x_ph2m,-0.10256101817113733,-1.1426480175637224,0.9375259812214476,0.6323279970633344,0.013568412256501839,-0.0013915901759925676,-0.015503919366379139,0.012720739014394002,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
3,eps_sb_pos_x_ph2m,0.37119363156144336,-1.7876318205481811,2.530019083671068,1.3124726825150606,0.013568412256501839,0.005036508220013716,-0.02425532550403864,0.034328341944066074,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
4,eps_sb_pos_x_ph2m,-0.2433304672286403,-1.2680638809200717,0.7814029464627912,0.6229936797419753,0.013568412256501839,-0.003301608093925402,-0.017205613503903188,0.010602397316052387,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
5,eps_sb_pos_x_ph2m,-0.9848675445192314,-1.9558295469351337,-0.01390554210332906,0.5903029828954798,0.013568412256501839,-0.01336308886208561,-0.026537501596263106,-1.8867612790811239e-4,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
6,eps_sb_pos_x_ph2m,-0.7128028493003908,-2.0196912767265953,0.5940855781258136,0.7945317480001897,0.013568412256501839,-0.009671602916916856,-0.027404003873486984,0.008060798039653271,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
7,eps_sb_pos_x_ph2m,-0.2807087467265846,-1.3132495932451682,0.7518320997919992,0.6277402618689346,0.013568412256501839,-0.003808771999592261,-0.017818711876833794,0.010201167877649275,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
8,eps_sb_pos_x_ph2m,-2.276659172128227,-3.2014679643424175,-1.351850379914037,0.562243823438689,0.013568412256501839,-0.03089065021498197,-0.04343883716618165,-0.018342463263782284,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
9,eps_sb_pos_x_ph2m,-0.007999300933587094,-1.04525081689182,1.029252215024646,0.6306041455376474,0.013568412256501839,-1.0853781283072973e-4,-0.01418239399503353,0.013965318369372072,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
