horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_sb_pos_x_ph2m,2.270906609178605,0.12893440296108327,4.412878815396127,1.3022266365350676,0.030663952974368136,0.06963497347303454,0.003953638469176889,0.1353163084768922,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
1,eps_sb_pos_x_ph2m,1.6616347590772433,-0.20332252199973633,3.526592040154223,1.1338135202543478,0.030663952974368136,0.050952290112920115,-0.006234672253229845,0.10813925247907008,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
2,eps_sb_pos_x_ph2m,1.9386588490484487,0.6252767835908954,3.2520409145060016,0.79847959960531,0.030663952974368136,0.05944694378056428,0.01917345788799538,0.09972042967313319,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
3,eps_sb_pos_x_ph2m,0.2550161019689826,-1.9811241623299316,2.4911563662678966,1.3594767507935146,0.030663952974368136,0.007819801758483551,-0.060749098150069486,0.07638870166703658,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
4,eps_sb_pos_x_ph2m,1.9815238809414377,0.15040518318109042,3.812642578701785,1.1132411223447856,0.030663952974368136,0.060761355102775694,0.0046120174641661816,0.1169106927413852,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
5,eps_sb_pos_x_ph2m,-1.1575805211023227,-2.22765043076891,-0.08751061143573513,0.6505563122050119,0.030663952974368136,-0.03549599466312618,-0.06830856805242878,-0.0026834212738235845,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
6,eps_sb_pos_x_ph2m,-0.43505009367120495,-2.58867357650309,1.7185733891606803,1.3093101097532638,0.030663952974368136,-0.013340355613828282,-0.07937896481588014,0.05269825358822357,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
7,eps_sb_pos_x_ph2m,2.2212886294153833,0.025330428174053843,4.417246830656713,1.3350477910373464,0.030663952974368136,0.06811349007489197,7.767310583497968e-4,0.13545024909143413,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
8,eps_sb_pos_x_ph2m,1.0545709388423448,-0.349873266725681,2.4590151444103707,0.8538414498139788,0.030663952974368136,0.03233731367679692,-0.010728497397864842,0.075403124751458675,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
9,eps_sb_pos_x_ph2m,-0.17928701825701768,-2.723383334763063,2.364809298249028,1.5467007366614176,0.030663952974368136,-0.005497648696747871,-0.08350969850835244,0.0725144011148567,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
10,eps_sb_pos_x_ph2m,4.033991936199395,1.5952520975644306,6.472731774834359,1.4826485461535326,0.030663952974368136,0.12369813903059851,0.048916735301977834,0.1984795427592192,2187,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
11,eps_sb_pos_x_ph2m,2.5399529280159556,0.406533252170334,4.673372603861577,1.2970270672653381,0.030663952974368136,0.07788499714178992,0.012465916527068065,0.14330407775651177,2160,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
12,eps_sb_pos_x_ph2m,-0.5502110524884707,-2.7427312114021616,1.6423091064252204,1.3329576097158569,0.030663952974368136,-0.016871645839484063,-0.08410298088776763,0.05035968920879951,2133,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
13,eps_sb_pos_x_ph2m,3.1766700353472843,1.7961412542828548,4.557198816411714,0.8393019040989472,0.030663952974368136,0.09740926057897349,0.05507679095665206,0.13974173020129493,2106,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
14,eps_sb_pos_x_ph2m,1.7108482307570805,-0.3113725920134778,3.7330690535276387,1.2294229648376003,0.030663952974368136,0.05246136969421604,-0.009547914519008398,0.11447065390744048,2079,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
15,eps_sb_pos_x_ph2m,0.5836982434623504,-1.3779827084808258,2.545379195405527,1.1926173367650377,0.030663952974368136,0.017898495488750797,-0.04225439697234848,0.07805138794985009,2052,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
16,eps_sb_pos_x_ph2m,2.250263102259747,0.725852597236154,3.7746736072833396,0.9267757811671639,0.030663952974368136,0.06900196194764863,0.0222575099079724,0.11574641398732487,2025,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
17,eps_sb_pos_x_ph2m,2.4383192330355814,-0.3595026492412856,5.236141115312448,1.7009549278024674,0.030663952974368136,0.07476850629830045,-0.011023772330495545,0.16056078492709644,1998,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
18,eps_sb_pos_x_ph2m,1.487554769856921,-1.0330057287346952,4.008115268448537,1.5323919753657091,0.030663952974368136,0.045614309509689636,-0.03167603908817358,0.12290465810755287,1971,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
19,eps_sb_pos_x_ph2m,2.3036280678924252,0.5990090803934145,4.008247055391436,1.0363347592565468,0.030663952974368136,0.07063834274428786,0.018367986272403165,0.12290869921617255,1944,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
20,eps_sb_pos_x_ph2m,2.6815778371501846,-0.2986444750497985,5.661800149350167,1.8118465153178696,0.030663952974368136,0.08222777669548108,-0.00915762013898188,0.17361317352994401,1917,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
21,eps_sb_pos_x_ph2m,1.8308353667358752,-0.11445481503881738,3.776125548510568,1.1826524560608123,0.030663952974368136,0.05614064958939892,-0.003509637066040299,0.11579093624483815,1890,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
22,eps_sb_pos_x_ph2m,2.992722520766561,1.2437943706684829,4.741650670864639,1.063272817374939,0.030663952974368136,0.0917687026421183,0.03813965209196217,0.14539775319227444,1863,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
23,eps_sb_pos_x_ph2m,2.2024246933267935,-0.3318983692227344,4.736747755876321,1.5407590201485437,0.030663952974368136,0.06753504722575995,-0.0101773159861154,0.1452474104376353,1836,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
24,eps_sb_pos_x_ph2m,2.356413848103851,0.30940313043897927,4.403424565768723,1.2444941508009728,0.030663952974368136,0.07225696342640635,0.00948752304190315,0.13502640381090955,1809,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
25,eps_sb_pos_x_ph2m,2.922240090877639,0.5463781014456841,5.298102080309594,1.4444215281546449,0.030663952974368136,0.08960743272648519,0.016754112408955,0.1624607530440154,1782,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
26,eps_sb_pos_x_ph2m,2.2728019817585867,0.09417563098411952,4.4514283325330535,1.324510774136344,0.030663952974368136,0.069693093088696,0.0028877971198284875,0.1364983890575635,1755,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
27,eps_sb_pos_x_ph2m,3.0398170151865553,-1.152058298560788,7.231692328933899,2.5484792355149892,0.030663952974368136,0.09321280600436464,-0.035326661490798564,0.22175227349952786,1728,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
28,eps_sb_pos_x_ph2m,0.8336431467234094,-1.2088337691318336,2.8761200625786523,1.2417377950162751,0.030663952974368136,0.025562794248530904,-0.03706762185048673,0.08819321034754854,1701,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
29,eps_sb_pos_x_ph2m,2.320700869868479,-0.880038687891358,5.521440427628316,1.9459114813103482,0.030663952974368136,0.07116186234122227,-0.026985464941125237,0.16930918962356978,1674,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
30,eps_sb_pos_x_ph2m,7.496641372220742,3.7962231433531577,11.197059601088325,2.249694543170897,0.030663952974368136,0.22987665850347944,0.11640720794798921,0.3433461090589696,1647,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
31,eps_sb_pos_x_ph2m,0.7391494632927993,-1.0866217710157418,2.56492069760134,1.1099900954058612,0.030663952974368136,0.022665244383439843,-0.03332011888735133,0.07865060765423101,1620,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
32,eps_sb_pos_x_ph2m,3.746582872198474,1.5207173657048867,5.972448378692061,1.353230141589527,0.030663952974368136,0.11488504100766711,0.04663120578927964,0.18313887622605457,1593,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
33,eps_sb_pos_x_ph2m,7.649898715209232,3.671708201191287,11.628089229227177,2.418568101643803,0.030663952974368136,0.2345761344618551,0.11258908761693144,0.3565631813067788,1566,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
34,eps_sb_pos_x_ph2m,0.6321678053122988,-1.628816038699924,2.8931516493245217,1.3745805748093654,0.030663952974368136,0.01938476385400584,-0.04994593841459106,0.08871546612260274,1539,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
35,eps_sb_pos_x_ph2m,3.5949013221578148,1.71000017108451,5.4798024732311195,1.1459385322733737,0.030663952974368136,0.11023388509014106,0.05243536483229688,0.16803240534798525,1512,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
36,eps_sb_pos_x_ph2m,6.591432705680772,2.8900665942900123,10.292798817071532,2.250270814826712,0.030663952974368136,0.20211938252070732,0.08862086614010121,0.3156178989013134,1485,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
37,eps_sb_pos_x_ph2m,-0.7301519857976494,-3.036346882325094,1.5760429107297949,1.4020669430639159,0.030663952974368136,-0.022389346156640632,-0.09310639801348598,0.048327705700204705,1458,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
38,eps_sb_pos_x_ph2m,1.964791299750033,-0.9432765807458636,4.872859180245929,1.7679797356106592,0.030663952974368136,0.06024826801998266,-0.02892458871381393,0.14942112475377925,1431,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
39,eps_sb_pos_x_ph2m,1.341702888117386,-0.7166827853988118,3.400088561633584,1.2514096329234814,0.030663952974368136,0.04114191426680544,-0.021976327229008337,0.10426015576261921,1404,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
40,eps_sb_pos_x_ph2m,-0.9144987188241844,-3.3728537851804337,1.5438563475320646,1.4945737578561928,0.030663952974368136,-0.0280421457091447,-0.10342502985819238,0.047340738439902975,1377,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
41,eps_sb_pos_x_ph2m,-0.2846217145807605,-2.335583670999223,1.766340241837702,1.246896333395733,0.030663952974368136,-0.00872762687138847,-0.07161822785522227,0.05416297411244534,1350,driscoll_kraay,cumulative,twfe_directional_dummies,Sign-Based
