horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_tvp_pos_x_ph2m,1.2784806977799406,-1.0210197780325871,3.5779811735924683,1.3979970242545907,0.0061928624371224575,0.007917455089867503,-0.006323035030937119,0.022157945210672124,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
1,eps_tvp_pos_x_ph2m,1.1244902751026669,-1.3971156462261345,3.6460961964314684,1.5330275472610166,0.0061928624371224575,0.006963813585592804,-0.008652145005829896,0.022579772177015508,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
2,eps_tvp_pos_x_ph2m,0.8910458579692327,-0.8549302074608945,2.63702192339936,1.0614780773326764,0.0061928624371224575,0.005518124423571214,-0.0052944651681458834,0.016330714015288312,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
3,eps_tvp_pos_x_ph2m,1.868509519499104,-1.7771080262827852,5.514127065280993,2.2163780934955173,0.0061928624371224575,0.011571422416711732,-0.011005385542675489,0.03414823037609896,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
4,eps_tvp_pos_x_ph2m,-1.1371103066105055,-5.2278277695799895,2.953607156358978,2.4869796290330783,0.0061928624371224575,-0.007041967704673,-0.03237521822197759,0.018291282812631593,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
5,eps_tvp_pos_x_ph2m,-1.288188802540483,-2.8255382226927663,0.24916061761179997,0.9346420830171777,0.0061928624371224575,-0.007977576047174716,-0.017498169523967783,0.0015430174296183483,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
6,eps_tvp_pos_x_ph2m,0.7757114002009273,-2.4272382037749094,3.978661004176764,1.9472550940062061,0.0061928624371224575,0.004803873992351989,-0.015031552298106222,0.024639300282810198,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
7,eps_tvp_pos_x_ph2m,-0.2445807796693321,-3.4678555721948374,2.978694012856173,1.9596119312448719,0.0061928624371224575,-0.0015146551232563307,-0.021475952510411216,0.01844664226389855,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
8,eps_tvp_pos_x_ph2m,-4.426996179288966,-6.1578214669733065,-2.696170891604625,1.0522670584933487,0.0061928624371224575,-0.027415778348003274,-0.038134541257325294,-0.01669701543868125,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
9,eps_tvp_pos_x_ph2m,1.3057360863862768,-1.3279704845880946,3.9394426573606482,1.6011799030747884,0.0061928624371224575,0.008086243962176857,-0.008223938531612919,0.024396426455966635,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
10,eps_tvp_pos_x_ph2m,2.3274573172578945,-0.2939653321073843,4.948879966623173,1.593711809009872,0.0061928624371224575,0.014413622994052222,-0.0018204868630240486,0.03064773285112849,2187,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
11,eps_tvp_pos_x_ph2m,-1.2760220663588666,-4.368497674996816,1.816453542279083,1.8800916737919486,0.0061928624371224575,-0.007902229123693205,-0.027053505158144572,0.011249046910758164,2160,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
12,eps_tvp_pos_x_ph2m,1.3246526827913248,-2.9685607093101463,5.617866074892795,2.6100884125831914,0.0061928624371224575,0.008203391841491886,-0.018383888109004404,0.03479067179198817,2133,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
13,eps_tvp_pos_x_ph2m,0.764851926870431,-3.089381546790708,4.61908540053157,2.34320757209532,0.0061928624371224575,0.004736622767876625,-0.019132114935059452,0.0286053604708127,2106,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
14,eps_tvp_pos_x_ph2m,-2.8591275949631276,-6.382476085051012,0.6642208951247572,2.1420437857549466,0.0061928624371224575,-0.017706183885787426,-0.03952579640294481,0.004113428631369965,2079,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
15,eps_tvp_pos_x_ph2m,0.9689302349634568,-3.2724882741834254,5.210348744110339,2.5785993596328787,0.0061928624371224575,0.006000451656297428,-0.020266069709114234,0.03226697302170909,2052,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
16,eps_tvp_pos_x_ph2m,0.8805223570364187,-2.873429826052083,4.63447454012492,2.2822408763787556,0.0061928624371224575,0.005452953829937366,-0.017794755635465263,0.028700663295339993,2025,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
17,eps_tvp_pos_x_ph2m,-2.2465293755132656,-6.966093231417441,2.4730344803909095,2.8692910898407966,0.0061928624371224575,-0.013912447383508275,-0.043140057106338066,0.015315162339321517,1998,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
18,eps_tvp_pos_x_ph2m,0.8913855776988011,-2.17836868040402,3.9611398358016228,1.8662780735038553,0.0061928624371224575,0.005520228261123607,-0.013490337575078072,0.02453079409732529,1971,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
19,eps_tvp_pos_x_ph2m,1.800490317981721,-1.507899618979988,5.10888025494343,2.011358264804019,0.0061928624371224575,0.01115018885863167,-0.009338214909332433,0.031638592626595775,1944,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
20,eps_tvp_pos_x_ph2m,-3.840809577380421,-7.970608886572749,0.288989731811907,2.5107397044479813,0.0061928624371224575,-0.02378560535989939,-0.04936088437465083,0.0017896736548520518,1917,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
21,eps_tvp_pos_x_ph2m,1.6341432637840505,-1.0691008233281938,4.337387350896295,1.6434557110849832,0.0061928624371224575,0.010120024435164942,-0.006620794330285864,0.02686084320061575,1890,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
22,eps_tvp_pos_x_ph2m,0.9942745814090328,-2.822697325758013,4.811246488576078,2.320554148177501,0.0061928624371224575,0.006157405707393654,-0.017480576240052812,0.029795387654840116,1863,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
