horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,eps_tvp_pos_x_ph2m,2.4986898666295274,-0.6373291948580047,5.6347089281170595,1.9065642134368803,0.01413041042509374,0.03530751334049796,-0.009005723099238147,0.07962074978023406,2457,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
1,eps_tvp_pos_x_ph2m,3.6268221063514314,-0.8511773704819419,8.104821583184805,2.7224303752381784,0.01413041042509374,0.0512484849015487,-0.012027485589461907,0.11452445539255932,2430,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
2,eps_tvp_pos_x_ph2m,2.3878956999482353,-0.32507692381350894,5.10086832370998,1.6493702414055509,0.01413041042509374,0.033741946292585055,-0.00459347035321181,0.07207736293838192,2403,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
3,eps_tvp_pos_x_ph2m,2.259157986593382,-1.4092374276598543,5.927553400846619,2.2302260542490604,0.01413041042509374,0.03192282956569291,-0.01991310323923709,0.08375876237062291,2376,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
4,eps_tvp_pos_x_ph2m,5.618963600686887,-1.5103265543263262,12.7482537557001,4.3343006564216005,0.01413041042509374,0.07939826184136824,-0.021341534088548626,0.1801380577712851,2349,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
5,eps_tvp_pos_x_ph2m,-1.9587298643339985,-3.696457566322409,-0.22100216234558778,1.0564634284261936,0.01413041042509374,-0.02767765689492758,-0.0522324625310788,-0.0031228512587763526,2322,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
6,eps_tvp_pos_x_ph2m,1.1737168929641018,-3.765895096576922,6.113328882505125,3.003070856034753,0.01413041042509374,0.016585101420448577,-0.05321364333247993,0.08638384617337708,2295,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
7,eps_tvp_pos_x_ph2m,8.009038771514021,2.045677303217949,13.972400239810092,3.625466345809997,0.01413041042509374,0.11317100495198168,0.02890625989176855,0.1974357500121948,2268,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
8,eps_tvp_pos_x_ph2m,0.3375176548238482,-3.2541149362486848,3.929150245896381,2.1835575714595166,0.01413041042509374,0.004769262988376095,-0.045981979619621666,0.05552050559637385,2241,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
9,eps_tvp_pos_x_ph2m,1.6181728570210672,-3.577260673019085,6.813606387061219,3.1585993093313913,0.01413041042509374,0.022865446608454208,-0.05054816150730672,0.09627905472421514,2214,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
10,eps_tvp_pos_x_ph2m,10.562900787823512,5.775695839312741,15.350105736334283,2.9104139542089538,0.01413041042509374,0.14925812341149222,0.08161295269999529,0.21690329412298917,2187,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
