horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
0,mp_shock_di_pos_x_ph2m,1.0395235058295056,-0.5043452341061578,2.583392245765169,0.9386055480189013,0.017527450539906914,0.018220196833497296,-0.008839886145833455,0.04528027981282805,2457,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
1,mp_shock_di_pos_x_ph2m,1.109954316013079,-1.2642122490041556,3.4841208810303135,1.4433907832987258,0.017527450539906914,0.01945466937547545,-0.02215841766636482,0.061067756417315724,2430,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
2,mp_shock_di_pos_x_ph2m,-1.3726352851224852,-2.8582040282685166,0.11293345802354615,0.9031616666702104,0.017527450539906914,-0.024058797069315387,-0.05009702973843913,0.0019794355998083587,2403,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
3,mp_shock_di_pos_x_ph2m,0.8024112642049818,-1.3900903438900194,2.9949128722999827,1.3329463316188965,0.017527450539906914,0.014064223746016997,-0.02436473974853451,0.0524931872405685,2376,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
4,mp_shock_di_pos_x_ph2m,-1.3174199370289301,-5.417318293793511,2.782478419735651,2.492561216138864,0.017527450539906914,-0.023091012786561855,-0.09495177845339868,0.04876975288027497,2349,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
5,mp_shock_di_pos_x_ph2m,-3.3872464258925468,-6.338896080584799,-0.43559677120029416,1.79447557298017,0.017527450539906914,-0.059369794196308084,-0.11110468753005986,-0.007634900862556304,2322,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
6,mp_shock_di_pos_x_ph2m,-0.006260897979003055,-2.68670077376597,2.6741789778079643,1.6295917350134212,0.017527450539906914,-1.0973757966237921e-4,-0.04709101492771268,0.046871539768387926,2295,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
7,mp_shock_di_pos_x_ph2m,-2.340691501670487,-5.843104884112472,1.1617218807714988,2.129316144034814,0.017527450539906914,-0.0410263545247099,-0.10241473185576988,0.020362022806350084,2268,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
8,mp_shock_di_pos_x_ph2m,-0.5667334993919341,-4.685743787566204,3.5522767887823354,2.5041804454104133,0.017527450539906914,-0.00993339337990049,-0.08212914247924273,0.06226235571944175,2241,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
9,mp_shock_di_pos_x_ph2m,1.084045340823102,-1.0778852358335331,3.245975917479737,1.3143604641973528,0.017527450539906914,0.019000551094293456,-0.01889258015876815,0.05689368234735506,2214,driscoll_kraay,cumulative,twfe_directional_dummies,DI Surprise
