horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,2.50386196576505,1.2074583055849866,0.6812240454403324,4.5281490033125325,4.195122092223915,1.9931996306817235,1.2284085894908516,7.6331864405392125,2673,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
1,0.529784834143001,1.2438461713345639,-1.2027464483895933,2.7066873063064882,1.1743787766176108,2.145368784044521,-1.9211513876192319,4.877107741764055,2646,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
2,-0.1499062070477366,0.905802081333829,-1.4838508343334664,1.6016295819792017,-0.30300737191209204,1.5922380356792776,-2.690344665755593,2.856473653251291,2619,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
3,0.3532598265455064,1.4448816579977088,-2.1346990529951007,2.6418490900122116,0.3796614499297586,2.5076826372326537,-3.8405753425390494,4.2752228497515645,2592,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
4,-0.40346283060337623,1.109062601832745,-2.0833347153996797,1.6424186021213623,-0.15361349463084736,2.008784371285518,-3.3558615854870686,3.445112312813296,2565,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
5,-2.1826274765986264,1.077002501899641,-4.0919899452209885,-0.19377606929201305,-3.6993367424020054,1.9396556962628013,-7.083812066442126,-0.12954103888555468,2538,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
6,-0.7281003885948744,1.5387251251800698,-3.2724896313696625,2.0369195322044935,-1.4293764615382458,2.583300538418161,-5.57073715487673,3.3811753377034406,2511,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
7,-0.22674819699365129,1.1713373417554818,-1.9960828772134105,2.1379669523445988,-0.1665644750663726,2.155157619785944,-3.3408257845003018,4.149488469166711,2484,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
8,-1.860723835701947,1.2124261082762788,-3.4956672708633083,0.37553037681110524,-2.5735829756213633,2.126327900992132,-5.573857307362605,1.2679710383169631,2457,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
9,-0.6723247109702147,1.4593668940135873,-3.112193580265698,1.9435022185377973,-1.8499167515253512,2.5174706384608267,-6.0051796876851125,2.7168212352457584,2430,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
10,0.6914326844630682,1.4660380559161084,-1.1809137327642525,3.5031946340894473,1.2890863030803648,2.648258703843712,-2.219712880461647,6.494827518960704,2403,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
11,-0.48414954253894416,1.5197198509541316,-2.7230196992836646,2.376853586005981,-0.5437409490052363,2.6762212314702074,-4.447914564291666,4.655698365617447,2376,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
12,-0.8336890480642201,1.2414478254137749,-2.7212329746033963,1.3865834647927557,-1.852585124540474,2.2053754594201664,-5.1215837889465785,1.9789642406148902,2349,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
13,0.4725410116248051,1.111323401556061,-1.2515014837350549,2.6737706141351505,0.7052981465456154,1.812900424962706,-1.9926525675694142,4.3825654040693465,2322,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
14,-0.7515749709237526,1.4814021039446372,-2.8133574877861545,2.0495079618303618,-0.8031019089025557,2.6073409198959485,-4.357632632949509,4.328078270152277,2295,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
15,-1.030517371019882,0.9287597147983028,-2.5300642653522916,0.6776235897715311,-1.926993732336605,1.6291672089022533,-4.505470465455781,0.9963389896302828,2268,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
16,-0.720767299821106,1.4585767422187028,-2.733062712502343,1.920380558369675,-1.9657385965175347,2.4833862837467104,-5.53066058057663,2.616042950535221,2241,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
17,1.037699802324999,1.5525739783965777,-1.1715869824534593,3.8511627606645367,2.8837816639032385,2.7316246191909888,-1.0911454333204325,8.024679572365462,2214,cumulative,lag1_tfe,contractionary,Recursive Residual,eps_rr
