horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,3.6358552913614384,2.089373925754179,0.25761209194102913,7.338443146650046,6.1068608746035755,3.4693839130456503,0.7126874835612275,12.646856768051414,2673,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
1,-0.5105954873823304,1.445149670421247,-2.400379309455829,2.371412091117307,-0.3742511114237969,2.503018567948124,-3.695079352176836,4.615846466871775,2646,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
2,1.0932293655016225,0.920679796287088,-0.22619432391049957,2.8685263407556807,1.6133711210674921,1.6491563110775198,-0.7055178897029101,4.778589984998406,2619,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
3,1.4379955912617892,1.6641867420327312,-1.3021937279700886,4.5726429025243025,2.178926351953335,2.8098960678206235,-2.5575021511060045,7.407167284037723,2592,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
4,-0.2975999699448958,1.3720380793383797,-2.1531214902641693,2.1581998465506294,0.21602707547758077,2.5216729146266283,-3.2646882684551106,4.618081014382385,2565,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
5,-2.066587854275049,1.3011212205792764,-3.8129947364739847,0.7688380100089993,-3.35549368968825,2.3343251629701665,-6.456742460766019,1.651307399491309,2538,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
6,-0.11883758921741339,2.050998714728805,-3.722388297330933,3.2000757226407686,-0.015981427044705135,3.520615196840418,-6.276196568884066,5.647438900708569,2511,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
7,0.24171710750608108,1.4673774462152889,-1.762838762922045,3.1687548811680477,0.5767036961413805,2.6788791337811237,-3.2030006744070705,5.829060906561637,2484,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
8,-0.84961078145438,1.5262480711407205,-2.7292765345107655,2.300466364033149,-0.6353609808247095,2.652090593703462,-3.906716115455372,4.685212177772741,2457,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
9,-1.0022318248543596,2.0349817486931263,-3.992113815473549,2.597195574545957,-2.010180056984323,3.530901517892846,-7.35438957461156,4.322688907005054,2430,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
10,1.2727183273082991,1.7016007252775769,-1.3483627036088832,4.584726718485432,2.6155216775693186,2.927756388320119,-1.9102692149650347,8.09768907744982,2403,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
11,-0.03594947556321116,1.9067365543770227,-2.2663171488570386,3.5543343528401814,0.4837005396274927,3.3347109180882706,-3.382314632008618,6.826872413239909,2376,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
