horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,-0.593670148635346,1.1426176902253693,-2.4889251331966227,1.3184991821661947,-1.8242482267743145,2.011279991453778,-5.394725827774055,1.3703742597187958,2673,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
1,-1.7032993419814066,1.1730345678365859,-3.5988031532070224,0.3411722463187228,-3.3251540051684634,2.0596430276576467,-6.504518838690725,0.4043965098666781,2646,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
2,0.755916030430761,0.9271099124444732,-1.1356791899338838,2.0740995609875865,1.2244009103128903,1.7223038593645166,-2.3207673448021504,3.611359632660789,2619,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
3,-0.5753438764153609,1.4634137302660388,-3.245291571381036,1.4479580269140637,-1.1860348872873152,2.641415210766881,-5.830761160501422,2.4687456941539123,2592,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
4,-1.4972810805631722,0.9882972723179662,-3.3196715604670892,0.23775504026789412,-3.0096879457778147,1.7228123554250299,-6.122258884130966,-0.023801153715179865,2565,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
5,1.9116642893656361,1.021393524769233,0.1472434395402585,3.491463979621318,3.2227292937723497,1.8858652300291692,-0.1190307366272779,6.028305734733635,2538,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
6,-0.5743609476578325,1.3459468146326574,-2.8442002525265373,1.604975147440735,-0.7415510880620672,2.3068834435828824,-4.85055908703132,3.1107517522668107,2511,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
7,-1.331250433561256,1.056633263493864,-3.4842607762426807,0.08693110027639994,-2.9925927759903006,1.8736072947794125,-6.920418642027288,-0.3181093185406936,2484,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
8,3.2990955385429936,1.4350811814757685,1.068895553784159,6.06327314388942,5.324608810224779,2.5111329118535255,1.0675273679925565,9.891295313483424,2457,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
9,0.018490171885935335,1.458541186690785,-2.229301735742496,2.7087763212675213,-0.22225985102102266,2.417191776068485,-4.169337460212202,4.054236084319358,2430,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
10,1.8136536305116724,2.0164567115965264,-1.9629063853014916,4.708613228276923,1.9923711478413846,3.4283936125173056,-4.792317191552794,6.815291789208892,2403,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
11,5.201206997895114,2.199543040310346,1.7899397219172795,8.979630514350395,9.911328958110676,3.4538321300728736,4.476812427188838,15.91501314717664,2376,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
12,-1.0211642032259718,1.80637247466653,-4.390367796444093,1.396116231832359,-1.7754611214546845,3.292990170931278,-8.07414340556673,2.687479683886164,2349,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
13,2.7225457892414893,1.380417046963742,-0.5489024704263904,4.52471349100225,3.4525343258658325,2.294523496784236,-1.9878358115423758,6.623652078037216,2322,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
14,2.851354943816346,1.8240711503580866,-0.18780385551081816,6.380608419180402,5.630727002030073,2.858452569041248,0.8427260128232209,11.004019352236671,2295,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
15,-2.0164465685296933,1.3920603844826918,-4.964441468272526,-0.08509213370388737,-3.2304430689965495,2.363942384432477,-8.59103434027261,0.24905518341597213,2268,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
16,1.9980085373740326,1.4971269404612824,-1.3186103243308847,4.0089034996218755,2.3756711894416225,2.7606976265902783,-3.466935443092484,6.006604284131395,2241,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
17,2.1470293335813198,1.671735270173007,-0.3164906911694144,4.870288273422298,3.8754154891130743,2.8797034492087668,-0.4424874138511879,8.592238443111029,2214,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
18,-0.7268870053788647,1.3633919429240768,-3.079356357149474,1.7687024360282921,-1.1465839326200828,2.3196235688256728,-5.244281693089391,3.399025840905428,2187,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
19,1.083741650056316,1.5660504467629872,-1.9816560265963619,3.3448569847473872,1.2048934128092363,2.8766385425166394,-4.213048439586559,5.523464242991039,2160,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
20,1.191992896397176,1.4807289222411573,-1.3907701514017337,3.8830242847972554,2.204503580803732,2.440116448833667,-2.0447838484293195,6.853663687348923,2133,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
21,-0.2723873546365174,1.5992738927006853,-3.281172767165281,2.3713025261813883,0.004549669191921258,2.6817039386547337,-4.878799144010576,4.476747014986717,2106,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
22,-0.46281930277725636,1.4361172293503373,-3.094161102595496,2.1963494839433553,-0.4808366505390466,2.4212825524076513,-5.198700979198266,3.9085190053020007,2079,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
23,0.2524750582975278,1.3574173687460604,-2.013291277192263,2.5836144949774,0.47609929388344085,2.2657100441790727,-3.4082890094278397,4.527676444653358,2052,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
24,1.2735119258484628,1.8728426346936253,-1.9403363421183342,4.756411619048995,2.8294020344319644,3.1528676221938694,-2.553965253824483,8.674387920431542,2025,cumulative,lag1_tfe,expansionary,Sign-Based,eps_sb
