horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,1.231784690810359,2.8169952382719563,-3.352894905915288,6.168351734253411,2.5565919371674135,4.630292783137197,-4.690060686319207,10.947972591046495,2673,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
1,-1.6187947047139402,3.1887341978003327,-5.976305232613347,4.710280219146775,-3.310177690041206,5.633119100078748,-10.910272150339646,7.764253163057958,2646,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
2,-0.1985569745707229,2.6267085005459703,-3.938023379266882,4.9904414369676635,-1.2919179497320143,4.295893192872845,-7.533590453033179,7.6169318986485965,2619,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
3,1.8154166246638521,3.879952775326193,-5.600622163421372,7.64850956087547,2.4715773815625197,6.4982915595542945,-10.336110204632046,12.023575234433885,2592,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
4,-0.4303294785491943,2.638164520895215,-4.327206590558045,5.136448891292759,0.5988531313444532,5.021804447341108,-6.851151164723351,11.354105549863654,2565,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
5,-5.915802732061776,2.632602370896667,-10.212027303861465,-0.886238368726372,-9.334735193548653,4.7396101014182985,-16.842200268321697,-0.7106491230881292,2538,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
6,-1.0273376620208137,3.8363845536132257,-7.3725902187510215,5.216847111406885,-2.623947499305717,6.3157096032054145,-13.616804889118745,7.479567008651042,2511,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
7,3.5038830241597054,3.3780247239631804,-0.9030821807522833,9.964373526390357,6.055665883552781,6.076913129532755,-1.9347165104394646,17.36790956601764,2484,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
8,-3.7900966047764784,3.0424768256451213,-8.273535881895716,0.6630986097532244,-4.489255621644712,5.093203456518547,-12.187430422922553,3.2589639013685727,2457,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
9,-2.520885322719753,4.017893884798777,-8.410833657361017,5.192650807799514,-6.458024762103021,7.133396610741543,-16.71768998904972,6.7593357493418464,2430,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
