horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,3.4057695580636933,2.5104045406396884,-1.2236843537079738,7.773039013619967,6.669371067603681,4.342842170984435,-1.5394377509521868,14.411894866492238,2673,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
1,1.1148126088672055,2.295469801891169,-4.286902246024952,4.471065176619722,0.8816594730102727,4.413985660250755,-9.102713335026232,6.904318139680567,2646,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
2,-1.7738478176150452,1.7481552622846952,-5.226245132149282,0.9208061354304773,-4.178655939358312,3.1398657002039836,-10.492360498568303,0.4521830689170829,2619,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
3,2.513946782830504,2.380296233158833,-1.9066676166757837,6.020399941876763,4.729245716392368,4.168522771441521,-2.912027592248515,11.062757471731343,2592,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
4,-1.938257065308907,2.9136468347287274,-8.168170224503356,1.7946277629875413,-4.171215863176398,5.364435145559784,-15.436425051245905,2.459639046215817,2565,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
5,-4.273950903453286,2.6547598935255623,-9.768634576706686,-0.8883898153296891,-8.60464977329532,4.722870127303372,-18.567659625497207,-2.323174396429152,2538,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
6,0.7484285729390922,2.701263240386414,-4.075854537253553,4.665997637438686,2.5541117495161036,4.657962964443548,-6.072120236385378,9.374174894655416,2511,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
7,-2.740226728187709,2.113334402815172,-6.829496721536268,0.42534428334447927,-5.3313151688607325,3.759319957126723,-12.448926137204268,0.6671946298693983,2484,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
8,-1.3397432534207279,2.1793625039929103,-5.2011900227013435,2.2077152101610875,-2.210705439246879,3.716900817450162,-8.96000981491196,3.633989440315731,2457,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
9,1.2097841400586689,2.104309287858479,-2.750813533625147,4.4501439092208654,2.339279144822628,3.8275096011074727,-4.677540848787377,8.5089482680511,2430,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
10,0.8799531902192198,2.3623427736192997,-3.3747972526702466,4.924426730591855,1.0566808756717596,4.0962614858929705,-6.353874180548844,8.208379229323619,2403,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
11,-1.1792616075891902,2.268298683491423,-5.249270926992605,2.813932262128039,-2.7487727995337274,3.90514911202734,-10.091860429933593,4.055457885345116,2376,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
12,0.6086860328899565,2.5567689718886872,-4.24783771661768,4.239979931723868,1.3021786551611885,4.5177862415291585,-7.56916188848187,7.6328129862716025,2349,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
13,1.104381494597814,2.2253655769218454,-2.819955025518386,5.337627712189673,1.2313174070424704,3.658892065406599,-5.310053741877828,8.304502368940003,2322,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
14,-1.9951694865417497,2.9720853595670795,-6.954853516588372,3.604078214928084,-3.441407543805371,4.999835373709284,-12.31479473747024,5.748436016239861,2295,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
15,-1.5290514617359607,2.04984430987053,-5.088320817976876,1.4834246399676256,-2.936002451819881,3.5189028292920765,-9.113800170433514,2.3717758688957136,2268,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
16,-0.12238784037928245,2.108894161288065,-4.15875410738332,3.2308893577037843,-0.6941174895459683,3.647423023313128,-7.414109506397236,5.373349953161057,2241,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
17,-2.7340726876684207,3.010214453602385,-7.586388727868855,2.9969989723039623,-3.3067503790893595,5.043583832845748,-12.040968385275226,6.038091254617441,2214,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
18,-2.1619500440153665,2.610904414987453,-7.2337538264616015,1.3341686560229586,-4.047200614742502,4.767068518973637,-13.385117597302278,2.272039279032846,2187,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
19,1.363846714256141,1.8036799743529919,-2.1230966268420075,4.24860948986754,1.8097372445951003,3.323005122234708,-4.507204449164042,7.2750207211449345,2160,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
20,-0.1850227173108451,3.6095466055940246,-6.101493685934978,6.607503047826996,-0.1508236764217484,5.976806473743009,-10.265075308726429,10.878215342871247,2133,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
21,-1.7608758130060496,2.665754954132054,-6.942895394224561,2.0205504516210757,-3.3530340964195475,4.655629370610311,-12.582015207262108,3.4841684266305237,2106,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
22,-0.545333974365361,2.209163105975117,-5.173126222738248,2.67851968194361,-1.845911101498024,4.212443205890581,-10.46542343395589,4.103627454135772,2079,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
23,-0.7576073210283327,3.196616208815541,-6.11222038677412,5.16610601865141,-0.6751680902739976,5.492863268309143,-9.541658085639957,9.360260041180961,2052,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
24,-1.4885318833713455,3.159902092157174,-7.577711623855233,3.0236309025497206,-3.4006668959039477,5.683015151433819,-13.901978644679637,4.8381462257255325,2025,cumulative,lag1_tfe,contractionary,DI Surprise,mp_shock_di
