horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,2.3631343633727835,1.2970651121994365,0.18126624632179578,4.628588988158672,4.288810633666295,2.3394157987084485,0.22224995663618075,8.423864465315514,2673,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
1,-0.1726584463159205,1.7361218431053738,-2.9874846157606787,2.507180327657294,-0.7994435284884945,2.8262133588218785,-5.370824222498925,3.4105111383432227,2646,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
2,2.7479118455823657,1.8338921508436616,0.06583022972550329,6.504431294323423,5.086524281583154,3.116675096606169,0.458728657815624,11.320965583845652,2619,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
3,0.143298913405029,1.8312324410657952,-2.924795741408719,3.120048185501977,0.15686907253409454,3.267777227250155,-5.671945834931992,5.302649388980412,2592,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
4,1.9547376154885385,1.479457128887585,-0.7115665415663359,4.407979218334088,2.603459596802284,2.452954713929473,-2.1739098451468193,6.646225097092433,2565,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
5,5.637895077162878,1.9707922101541617,3.111067395062478,10.848049904281151,10.32279198697768,3.521137887527853,5.916169417031209,19.385268702887924,2538,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
6,0.751789133753252,2.1668996070454347,-2.9112906261682427,4.146788062353249,1.6784872800610557,3.641711659657418,-4.932400308487423,7.58400881514462,2511,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
7,1.1383894653187148,1.2189895645272972,-0.9632506259841738,3.446096982334057,1.13744998583016,2.047569940999512,-2.4988512120595727,5.081175937468405,2484,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
8,2.0319414358718935,2.127360390900606,-0.5451287549127736,7.117586958933146,4.217815662203749,3.7879938099526536,-0.11577960671345831,12.965671736075691,2457,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
9,-0.9654172179178587,2.3576395284698033,-5.463949127604001,2.999166762083536,-1.7017228188818918,4.018661610827221,-9.563136170728919,4.7997962449230105,2430,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
10,2.719183741634663,1.699804127674291,-0.12249509276813167,6.448069511818508,3.877645772754174,2.945794465954059,-1.305833125692803,10.462791967605845,2403,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
11,2.238717133714255,2.532310524564539,-1.4637905982280695,8.310367353556217,4.0411965679123165,4.355358544536345,-2.1517859314916854,14.625498218399425,2376,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
12,-1.000430343180744,2.5598643044729874,-5.646129787236401,3.3256981910205394,-1.8804302008175848,4.3369806668846085,-9.928681347730656,5.385767418073048,2349,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
13,1.4856907810250386,1.3967696961370357,-1.0934861549120038,4.140302322879291,2.0250049364605522,2.4365078307515615,-2.3515096159637237,6.567182517996676,2322,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
14,0.5614986356331371,2.1993037894543117,-2.422009322654893,5.041131923547764,1.2066802322820558,3.9570232571394715,-3.82901362260061,9.357293611125872,2295,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
15,-0.9966229628290932,2.399806742760087,-5.301258229582291,2.8574971617916707,-1.3971677117861143,4.022482858743138,-8.89763709361474,5.036452960838121,2268,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
16,0.46451061711610453,1.8796387063161981,-2.819273133095618,4.0376060468171335,0.018705706565660302,3.3558704326716726,-5.831320227174234,6.396488337460993,2241,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
17,1.6160276410504053,2.211507445686178,-1.768186869060692,6.803025870931312,3.4414109203617884,3.9415834292268306,-2.3989229786334993,12.760729610455234,2214,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
18,-1.2613219956360333,1.9755258043130912,-4.40813457741166,2.7105758134966536,-1.5996964089175665,3.2919112697397503,-6.528433769516055,4.940411616728657,2187,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
19,-1.4198335268094653,1.6602059961483633,-4.361064627805726,1.7455229524576894,-2.8097364342676703,3.0160972288816708,-8.089975623174029,2.618784244008545,2160,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
20,1.7282170156163268,2.010436308709057,-1.3072907632451518,5.921632839098237,3.2469443287140463,3.6037204366215465,-1.74439028263353,11.185761966687751,2133,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
21,-1.8431207629897826,2.079166358860961,-5.014400487825688,2.3579085071622616,-3.114005762236602,3.5855497232783633,-8.617877498535634,3.8278459009177506,2106,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
22,-2.6865856650322133,2.1233516411925137,-6.409785945501161,1.4415487100278195,-5.138827080899333,3.892513496867366,-11.90152883384332,2.7275024075694794,2079,cumulative,lag1_tfe,expansionary,DI Surprise,mp_shock_di
