horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_pos_x_ph2m,6.194787808667483,-4.8327262788956595,17.222301896230626,6.704252528537294,0.007804617340971183,0.048347948355163116,-0.037717579320436206,0.13441347603076242,2640,driscoll_kraay,cumulative,twfe_directional_dummies
1,mp_pos_x_ph2m,7.464547834279019,-7.628455521815445,22.55755119037348,9.175894504404893,0.007804617340971183,0.05825793946992292,-0.0595371762503882,0.17605305519023404,2613,driscoll_kraay,cumulative,twfe_directional_dummies
2,mp_pos_x_ph2m,19.07059639338004,-7.026520243793783,45.16771303055386,15.865920352768127,0.007804617340971183,0.14883870731443635,-0.054839301741398026,0.35251671637027077,2586,driscoll_kraay,cumulative,twfe_directional_dummies
3,mp_pos_x_ph2m,33.055884592538014,1.218526480672704,64.89324270440332,19.355739374130103,0.007804617340971183,0.25798853011206435,0.009510132901490774,0.5064669273226379,2559,driscoll_kraay,cumulative,twfe_directional_dummies
4,mp_pos_x_ph2m,36.96461226625012,5.78760115551275,68.1416233769875,18.95427690336193,0.007804617340971183,0.2884946538954518,0.04517001234093967,0.531819295449964,2532,driscoll_kraay,cumulative,twfe_directional_dummies
5,mp_pos_x_ph2m,62.78638324551361,13.737332588849632,111.83543390217758,29.81970544550532,0.007804617340971183,0.4900236954547981,0.1072146241416244,0.8728327667679717,2505,driscoll_kraay,cumulative,twfe_directional_dummies
6,mp_pos_x_ph2m,75.47153210318318,20.657261797303903,130.28580240906246,33.32471011871774,0.007804617340971183,0.5890264282021668,0.1612220236402196,1.016830832764114,2478,driscoll_kraay,cumulative,twfe_directional_dummies
7,mp_pos_x_ph2m,80.36212894782663,31.929008445572187,128.7952494500811,29.445246500151583,0.007804617340971183,0.6271956651435701,0.24919369299432806,1.0051976372928122,2451,driscoll_kraay,cumulative,twfe_directional_dummies
8,mp_pos_x_ph2m,81.49950145431976,30.552464759443247,132.44653814919627,30.973599024309788,0.007804617340971183,0.6360724223308901,0.23845029627096173,1.0336945483908186,2424,driscoll_kraay,cumulative,twfe_directional_dummies
9,mp_pos_x_ph2m,72.22512326232126,26.10556700735556,118.34467951728696,28.038699309945574,0.007804617340971183,0.5636894494668937,0.20374396096149242,0.923634937972295,2397,driscoll_kraay,cumulative,twfe_directional_dummies
10,mp_pos_x_ph2m,70.86418681702509,20.69215053105001,121.03622310300017,30.502432230983747,0.007804617340971183,0.5530678612859755,0.161494316856619,0.9446414057153321,2370,driscoll_kraay,cumulative,twfe_directional_dummies
11,mp_pos_x_ph2m,58.36652156642478,6.583019621051669,110.15002351179788,31.482133788005978,0.007804617340971183,0.4555283663494874,0.051377949090413405,0.8596787836085613,2343,driscoll_kraay,cumulative,twfe_directional_dummies
12,mp_pos_x_ph2m,61.09724984782762,11.640031424179796,110.55446827147544,30.067853828009323,0.007804617340971183,0.47684065564800443,0.09084599110260314,0.8628353201934057,2316,driscoll_kraay,cumulative,twfe_directional_dummies
13,mp_pos_x_ph2m,49.42522325286433,0.09375375305292977,98.75669275267572,29.99140391065741,0.007804617340971183,0.3857449544806771,7.317121668580257e-4,0.7707581967944961,2289,driscoll_kraay,cumulative,twfe_directional_dummies
14,mp_pos_x_ph2m,66.51068244196367,16.46055549462541,116.56080938930192,30.428316615685645,0.007804617340971183,0.5190904255463773,0.12846833685537198,0.9097125142373825,2262,driscoll_kraay,cumulative,twfe_directional_dummies
