ref_month_yyyymm,mean_income,n_obs,total_weight,year,month,date,mean_income_sa,mean_income_trend
201201,2928.07841510337,71182,84094385.444433,2012,1,2012-01-01,2967.80334839218,3005.48132324726
201202,3003.58509209938,69746,84873769.4007507,2012,2,2012-02-01,3020.3822921501,3013.52851624082
201203,3111.3718904994,71126,85141828.5517724,2012,3,2012-03-01,3014.94169958377,3021.57570923438
201204,2981.14930083151,75995,85922090.6585609,2012,4,2012-04-01,3031.02932022894,3029.62290222794
201205,3011.96521270746,75184,85932374.5986285,2012,5,2012-05-01,3056.83956823819,3037.65508462015
201206,3146.21638012685,74688,85808655.1038117,2012,6,2012-06-01,3068.10196992843,3045.68726701237
201207,3029.54370096549,76092,86200148.1085301,2012,7,2012-07-01,3082.20330074503,3053.71944940459
201208,3030.69355021372,76019,86884031.3562623,2012,8,2012-08-01,3058.81528045103,3061.93532433921
201209,3150.22180391688,76038,86783119.6789602,2012,9,2012-09-01,3075.75314302044,3070.15119927383
201210,3015.80497648025,76780,86920764.5019947,2012,10,2012-10-01,3064.29641638771,3078.36707420844
201211,3029.01315033695,75882,87473693.7280221,2012,11,2012-11-01,3065.05946889262,3086.84429703554
201212,3143.29148560489,74626,86801277.0761762,2012,12,2012-12-01,3075.727430128,3095.32151986263
201301,3062.95392156524,75734,85882159.8387639,2013,1,2013-01-01,3101.6179216597,3103.79874268973
201302,3086.20134226376,75652,86330174.2246022,2013,2,2013-02-01,3102.35166339462,3113.74961888276
201303,3192.55015762551,76823,86306551.5467831,2013,3,2013-03-01,3097.16779790156,3123.70049507579
201304,3090.20630848305,78303,87184228.3318225,2013,4,2013-04-01,3140.1022603821,3133.65137126882
201305,3088.21785128937,77641,87421162.1806654,2013,5,2013-05-01,3132.5710079142,3142.37200376122
201306,3267.20085478257,77183,87045700.5872491,2013,6,2013-06-01,3190.55068018433,3151.09263625363
201307,3153.57795463715,78819,88019642.4185706,2013,7,2013-07-01,3206.87763662912,3159.81326874604
201308,3152.09025704694,77522,88088077.1705013,2013,8,2013-08-01,3180.0694672529,3167.24874432091
201309,3273.25837315897,77636,87694939.0959038,2013,9,2013-09-01,3199.92515682282,3174.68421989577
201310,3164.97399093877,79848,88515002.0079582,2013,10,2013-10-01,3212.99209697242,3182.11969547064
201311,3110.36836486294,77638,88971796.375935,2013,11,2013-11-01,3144.29474501528,3186.4274785331
201312,3217.152293418,76723,88115392.5596076,2013,12,2013-12-01,3150.31013865363,3190.73526159556
201401,3156.96516986357,78920,87468578.4296667,2014,1,2014-01-01,3194.56631189105,3195.04304465803
201402,3186.76910003129,77477,88587277.6248317,2014,2,2014-02-01,3202.27468130252,3197.65332702376
201403,3324.14727337442,77697,87798881.9199813,2014,3,2014-03-01,3229.81894783524,3200.26360938949
201404,3161.91994659511,79670,88272449.0337274,2014,4,2014-04-01,3211.84165471781,3202.87389175522
201405,3165.03376885033,77762,89342225.1888355,2014,5,2014-05-01,3208.87917102025,3205.33316699668
201406,3259.45570774441,77392,88128508.3617108,2014,6,2014-06-01,3184.28384175421,3207.79244223815
201407,3149.18923374796,79260,88115258.3321037,2014,7,2014-07-01,3203.14369951711,3210.25171747961
201408,3220.27043318324,78189,89415298.759444,2014,8,2014-08-01,3248.11860224176,3210.63702803301
201409,3292.542983548,79529,89249462.0027717,2014,9,2014-09-01,3220.35346797521,3211.0223385864
201410,3179.36112801669,80684,89073032.8152368,2014,10,2014-10-01,3226.90830300181,3211.40764913979
201411,3161.79471205637,78568,89783209.1560603,2014,11,2014-11-01,3193.59770325288,3209.44275790089
201412,3307.12652652596,77966,89660840.9584059,2014,12,2014-12-01,3240.99515687993,3207.47786666199
201501,3165.55890326119,78618,88104136.4328941,2015,1,2015-01-01,3201.15021643177,3205.51297542309
201502,3154.09171080436,76860,88357209.5585052,2015,2,2015-02-01,3168.72204618862,3199.66573827
201503,3332.47645114492,77979,88591742.1677579,2015,3,2015-03-01,3239.63203778094,3193.8185011169
201504,3161.69129822245,78995,88687088.6527507,2015,4,2015-04-01,3211.50398949153,3187.97126396381
201505,3130.42020922161,77047,88341102.6838017,2015,5,2015-05-01,3173.49405443773,3180.54077286575
201506,3332.98589837556,78127,88887501.8823324,2015,6,2015-06-01,3260.63569778218,3173.11028176769
201507,3108.89079186249,79095,88685670.831389,2015,7,2015-07-01,3164.13592901661,3165.67979066963
201508,3088.90703354652,76594,88218424.2553186,2015,8,2015-08-01,3116.47039669509,3158.25754544435
201509,3311.55379133758,77793,89109270.41691,2015,9,2015-09-01,3241.20955088769,3150.83530021908
201510,3050.17889763599,77952,89359313.9098866,2015,10,2015-10-01,3096.83833250167,3143.4130549938
201511,3018.63953799745,75389,88180179.2641575,2015,11,2015-11-01,3046.97115870574,3137.31448809715
201512,3268.76671924047,76033,89527571.9837355,2015,12,2015-12-01,3203.44138209154,3131.21592120051
201601,3074.19530631307,76428,87644634.6647037,2016,1,2016-01-01,3107.80077760553,3125.11735430386
201602,2978.25250017435,74225,86867663.6830788,2016,2,2016-02-01,2992.04682547507,3122.2828563294
201603,3309.78669582454,75765,88243476.026246,2016,3,2016-03-01,3218.48067926385,3119.44835835494
201604,3039.76239197099,76550,87738933.8196656,2016,4,2016-04-01,3089.5271201729,3116.61386038048
201605,3011.72149804941,74482,87316818.5065949,2016,5,2016-05-01,3054.09140925656,3117.26052861609
201606,3196.00003449848,75742,87902904.8245501,2016,6,2016-06-01,3126.52488459613,3117.90719685169
201607,3061.39631391212,75312,86919855.8996498,2016,7,2016-07-01,3117.97127009483,3118.5538650873
201608,3089.82710301517,72981,86290871.9317219,2016,8,2016-08-01,3117.10698509073,3122.11242352192
201609,3181.02590421127,75040,87151533.8796773,2016,9,2016-09-01,3112.49044091454,3125.67098195654
201610,3079.57883652379,75095,86930578.3788912,2016,10,2016-10-01,3125.25866299513,3129.22954039115
201611,3097.65554372728,73202,87118057.1056548,2016,11,2016-11-01,3122.36855536729,3133.76804749656
201612,3237.28717612125,73989,87254517.3010407,2016,12,2016-12-01,3172.55606977224,3138.30655460197
