bin_key,p_ph2m,p_wh2m,p_ric,weighted_n,raw_n,small_bin_flag
Central_West|15-24|female|no_education|Q1|informal,0.9997475707215537,8.3122067777367e-05,0.00016930721066877986,282.37549355,1,0
Central_West|15-24|female|primary|Q1|informal,0.7771795103828772,0.22279136931943924,2.9120297683671586e-05,1642.22997941,2,0
Central_West|15-24|female|primary|Q1|unemployed,0.9998912524387467,3.580932533961923e-05,7.293823591371966e-05,655.59364677,1,0
Central_West|15-24|female|primary|Q2|informal,0.04722443508860393,5.32044926334934e-06,0.9527702444621328,4413.05121301,4,0
Central_West|15-24|female|primary|Q3|formal,0.9999041299802606,3.156889853527706e-05,6.430112120416736e-05,743.6683356,1,0
Central_West|15-24|female|primary|Q3|informal,7.365569278850085e-05,6.026962521828721e-05,0.9998660746819932,389.48176752,1,0
Central_West|15-24|female|primary|Q3|self_employed,0.9999031612720201,3.1887883054517145e-05,6.495084492547455e-05,736.22818711,1,0
Central_West|15-24|female|secondary|Q1|formal,0.9999783878113438,7.116645982420514e-06,1.4495542673793702e-05,3299.19958274,1,0
Central_West|15-24|female|secondary|Q1|informal,0.9390167035216898,0.06096692672486739,1.636975344285031e-05,2921.45517566,4,0
Central_West|15-24|female|secondary|Q2|formal,0.9999696935423957,9.979569084014735e-06,2.032688852034289e-05,2352.70170142,3,0
Central_West|15-24|female|secondary|Q2|informal,0.7446283737750169,0.08273204637169906,0.172639579853284,10230.45647644,11,0
Central_West|15-24|female|secondary|Q2|self_employed,2.5506657114642907e-05,2.0871118126403492e-05,0.999953622224759,1124.89708823,1,0
Central_West|15-24|female|secondary|Q3|informal,0.36719716574745453,0.044306496593183996,0.5884963376593616,8791.054286999999,14,0
Central_West|15-24|female|secondary|Q4|formal,3.055865833781655e-05,2.500497674337844e-05,0.9999444363649187,938.91095615,1,0
Central_West|15-24|female|secondary|Q4|informal,7.95833231535659e-06,6.511997754014854e-06,0.9999855296699307,3605.54422889,7,0
Central_West|15-24|female|secondary|Q4|unemployed,5.8924090587824724e-05,4.821532079338525e-05,0.9998928605886187,486.88104117,1,0
Central_West|15-24|female|secondary|Q5|formal,1.588566490002913e-05,0.766086969646937,0.23389714468816294,1806.24019193,3,0
Central_West|15-24|female|secondary|Q5|informal,0.0849228604245863,2.89070075465955e-06,0.915074248874659,8122.479648709999,7,0
Central_West|15-24|female|tertiary|Q1|formal,0.9999225244166295,2.551182149572283e-05,5.196376187475869e-05,920.25557415,1,0
Central_West|15-24|female|tertiary|Q2|informal,0.9998872434479553,3.712944005187843e-05,7.562711199286217e-05,632.28085701,1,0
Central_West|15-24|female|tertiary|Q2|self_employed,2.2490223210444112e-05,0.9999400258523062,3.748392448337531e-05,1275.78395704,1,0
Central_West|15-24|female|tertiary|Q2|unemployed,4.930626325207366e-05,0.9998685161509141,8.217758583382491e-05,581.87302111,1,0
Central_West|15-24|female|tertiary|Q3|informal,1.8246072064648392e-05,1.4930060167920945e-05,0.9999668238677675,1572.56259186,1,0
Central_West|15-24|female|tertiary|Q3|self_employed,0.9997402528877698,8.553174655755073e-05,0.00017421536567249524,274.41733497,1,0
Central_West|15-24|female|tertiary|Q4|informal,0.535233261121535,0.4647165667476925,5.017213077248341e-05,953.12118393,2,0
Central_West|15-24|female|tertiary|Q5|informal,1.4364786189530417e-05,0.26580607525483785,0.7341795599589728,1997.4873365499998,2,0
Central_West|15-24|female|tertiary|Q5|self_employed,1.48804108511623e-05,1.217606882972256e-05,0.9999729435203192,1928.26846183,1,0
Central_West|15-24|male|no_education|Q1|informal,0.9999294782685599,2.3221997767537378e-05,4.729973367251724e-05,1011.00797423,2,0
Central_West|15-24|male|no_education|Q5|informal,4.0051954756351344e-05,3.277297668432157e-05,0.9999271750685592,716.34230997,1,0
Central_West|15-24|male|primary|Q1|informal,0.742212638376026,0.058241880988584016,0.19954548063539,7385.0060779,16,0
Central_West|15-24|male|primary|Q1|unemployed,0.999872171580722,4.2092433161936756e-05,8.573598611619264e-05,557.71871839,1,0
Central_West|15-24|male|primary|Q2|informal,0.3430518114999029,0.2089786978541827,0.4479694906459144,13001.93343904,18,0
Central_West|15-24|male|primary|Q2|unemployed,5.403456755018986e-05,4.42144118368892e-05,0.9999017510206127,530.94736996,1,0
Central_West|15-24|male|primary|Q3|informal,0.396819540173474,0.07522966152418076,0.5279507983023453,7391.01342736,15,0
Central_West|15-24|male|primary|Q4|formal,3.64535113408574e-05,2.9828508608462376e-05,0.9999337179800506,787.06463597,1,0
Central_West|15-24|male|primary|Q4|informal,0.031302859013667354,0.14616628164910297,0.8225308593372296,6687.21539613,16,0
Central_West|15-24|male|primary|Q5|formal,5.5402809197664065e-05,4.5333991440031514e-05,0.9998992631993622,517.83249115,1,0
Central_West|15-24|male|primary|Q5|informal,5.625265189885046e-06,4.602938509062246e-06,0.999989771796301,5100.97772982,14,0
Central_West|15-24|male|secondary|Q1|formal,0.00016082938058306067,0.9995711200847436,0.0002680505346733919,178.31836411,1,0
Central_West|15-24|male|secondary|Q1|informal,0.3294612832669253,0.5332227174341687,0.13731599929890603,4799.653774599999,5,0
Central_West|15-24|male|secondary|Q1|unemployed,0.00011617139487481696,0.9996902084817556,0.0001936201233695992,246.9049965,1,0
Central_West|15-24|male|secondary|Q2|informal,0.6606776917873354,3.01411143652953e-06,0.33931929410122796,7789.90631355,13,0
Central_West|15-24|male|secondary|Q2|self_employed,0.9999273167907518,2.3933747632592594e-05,4.874946161563262e-05,980.93930403,1,0
Central_West|15-24|male|secondary|Q2|unemployed,0.48386896842380767,0.516085674273267,4.53573029255247e-05,1054.30876795,2,0
Central_West|15-24|male|secondary|Q3|informal,0.325195915345241,0.14105938887079,0.533744695783969,13398.2383576,18,0
Central_West|15-24|male|secondary|Q4|informal,0.31530013278918356,0.08574166584613346,0.5989582013646828,15057.46657987,25,0
Central_West|15-24|male|secondary|Q4|unemployed,6.001973747406408e-05,0.9998399467819358,0.00010003348059013786,477.99131116,1,0
Central_West|15-24|male|secondary|Q5|informal,0.006295329144570783,0.04292773707120061,0.9507769337842288,17774.86777297,26,0
Central_West|15-24|male|tertiary|Q2|informal,0.5160361562618512,0.4839382246399471,2.561909820185193e-05,1866.67678966,2,0
Central_West|15-24|male|tertiary|Q2|unemployed,1.225368372045465e-05,0.9999673233906856,2.0422925594059387e-05,2341.63785117,1,0
Central_West|15-24|male|tertiary|Q3|informal,0.426851044661492,0.5731375221722738,1.1433166234256797e-05,4182.91780236,3,0
Central_West|15-24|male|tertiary|Q4|informal,0.26711372198961175,0.16363467013956165,0.5692516078708266,4027.52226486,7,0
Central_West|15-24|male|tertiary|Q5|informal,1.0855894711092944e-05,0.09523200105173452,0.9047571430535546,2643.15656688,4,0
Central_West|15-24|male|tertiary|Q5|self_employed,3.10705916275122e-05,2.542387209740515e-05,0.999943505536275,923.43938182,1,0
Central_West|15-24|male|tertiary|Q5|unemployed,4.7000533713605954e-05,3.845873203735239e-05,0.9999145407342489,610.42317319,1,0
Central_West|25-34|female|primary|Q1|formal,0.7570054420172709,0.13469666545523756,0.10829789252749156,11264.70810389,17,0
Central_West|25-34|female|primary|Q1|informal,0.8458628368235432,2.4784300550075917e-06,0.15413468474640168,9473.61787752,12,0
Central_West|25-34|female|primary|Q1|unemployed,0.9999806643308974,6.3670141893536124e-06,1.296865491334086e-05,3687.64851477,4,0
Central_West|25-34|female|primary|Q2|formal,0.34248688172260106,2.971241571103084e-06,0.6575101470358278,7902.30260121,7,0
Central_West|25-34|female|primary|Q2|informal,0.8019220860304737,7.352426371995495e-06,0.1980705615431545,3193.39639593,5,0
Central_West|25-34|female|primary|Q3|formal,1.9573127153698707e-05,1.6015938391763676e-05,0.9999644109344545,1465.93630371,3,0
Central_West|25-34|female|primary|Q3|informal,0.2936772789616061,0.11724246762043629,0.5890802534179574,8724.177639810001,12,0
Central_West|25-34|female|primary|Q3|unemployed,0.0001952543374967225,0.00015976912710553766,0.9996449765353979,146.86172875,1,0
Central_West|25-34|female|primary|Q4|formal,0.48643247947562873,1.7640064879938648e-05,0.5135498804594915,1330.9578662899999,3,0
Central_West|25-34|female|primary|Q4|informal,0.14263669154657302,4.350569631828985e-06,0.8573589578837952,5396.88225918,10,0
Central_West|25-34|female|primary|Q5|formal,1.822322500145431e-05,1.4911365293378117e-05,0.9999668654097051,1574.53429125,4,0
Central_West|25-34|female|primary|Q5|informal,1.4343780897749938e-05,1.1736965144065294e-05,0.9999739192539582,2000.41263952,3,0
Central_West|25-34|female|secondary|Q1|formal,0.636455934132249,5.2613889416875465e-06,0.36353880447880926,4462.58986774,6,0
Central_West|25-34|female|secondary|Q1|informal,0.6657800897893489,0.33421596284529625,3.947365354789338e-06,12115.61101145,11,0
Central_West|25-34|female|secondary|Q1|unemployed,0.999983718397652,5.361345015963259e-06,1.09202573318666e-05,4379.38817888,5,0
Central_West|25-34|female|secondary|Q2|formal,0.5258659073905586,4.22870935976902e-06,0.47412986390008166,5552.40908083,4,0
Central_West|25-34|female|secondary|Q2|informal,0.36633625306907935,0.18917972239901512,0.44448402453190555,28430.60221164,29,0
Central_West|25-34|female|secondary|Q2|unemployed,0.9998370102752745,5.36706479891513e-05,0.00010931907673624289,437.38208751,1,0
Central_West|25-34|female|secondary|Q3|formal,0.1435398011834982,0.5137701311630256,0.3426900676534762,10102.829313459999,6,0
Central_West|25-34|female|secondary|Q3|informal,0.16976717012520112,0.03702724572590963,0.7932055841488893,30493.66992729,27,0
Central_West|25-34|female|secondary|Q3|self_employed,3.790428233533161e-05,3.101561880733859e-05,0.9999310800988572,756.93622959,1,0
Central_West|25-34|female|secondary|Q4|formal,1.7295843864224845e-05,1.4152524917851098e-05,0.9999685516312179,1658.96417806,2,0
Central_West|25-34|female|secondary|Q4|informal,0.09500138627461693,0.2998160575861058,0.6051825561392773,31250.89980576,28,0
Central_West|25-34|female|secondary|Q5|formal,5.04373551964178e-05,4.127095109156739e-05,0.9999082916937119,568.82188087,2,0
Central_West|25-34|female|secondary|Q5|informal,0.08436607334514801,1.719979583064739e-06,0.915632206675269,13651.1940918,21,0
Central_West|25-34|female|tertiary|Q1|informal,0.8561920421558078,0.1437968795520201,1.1078292172165034e-05,4316.9135930699995,5,0
Central_West|25-34|female|tertiary|Q1|self_employed,0.9999829221020059,5.623556044235548e-06,1.145434194971175e-05,4175.18463051,3,0
Central_West|25-34|female|tertiary|Q2|formal,0.0001531841516467777,0.999591507436398,0.0002553084119552561,187.22300095,1,0
Central_West|25-34|female|tertiary|Q2|informal,0.3126097010999808,0.2551713725270524,0.4322189263729667,13985.92930146,13,0
Central_West|25-34|female|tertiary|Q2|self_employed,0.6324652145247539,0.3674902276579767,4.455781726954843e-05,1073.22766338,2,0
Central_West|25-34|female|tertiary|Q3|informal,0.08020833303884091,0.3063955543051035,0.6133961126560555,7109.67862573,11,0
