agent_type,metric,n_obs,weighted_n,weighted_mean,weighted_std,weighted_p10,weighted_p25,weighted_p50,weighted_p75,weighted_p90
PH2M,illiquid_assets,19099,19791932.52971729,4145.735012706392,2905.3106153401113,0.0,1807.56,4158.0,6054.84,8266.8
Ricardian,illiquid_assets,26506,32986747.0581379,22694.82279854213,22946.507173676335,1800.0,5917.5599999999995,17602.32,32421.36,52233.24
WH2M,illiquid_assets,12385,16194978.429391902,32574.035290521242,22153.813063472564,12163.399999999998,18175.92,27635.28,37200.0,59909.04
PH2M,liquid_assets,19099,19791932.52971729,781.3573224080515,1068.860216382116,0.0,0.0,120.7,1236.64,2009.08
Ricardian,liquid_assets,26506,32986747.0581379,643626.238971308,5795618.839144237,1968.79,3766.74,10759.63,168229.29000000004,1080955.99
WH2M,liquid_assets,12385,16194978.429391902,3911.0261506375336,27391.090067693163,0.0,0.0,1879.43,3834.34,7318.3
PH2M,monthly_income,19099,19791932.52971729,2926.8377829778037,3252.040814319605,554.12,1106.69,2111.71,3807.0299999999997,5809.139999999999
Ricardian,monthly_income,26506,32986747.0581379,27603.179142647954,93529.32771116612,3261.49,5408.41,10445.0,22578.25,50856.07
WH2M,monthly_income,12385,16194978.429391902,14109.236687804021,96087.81293939947,1860.23,3304.86,6109.34,11561.45,22909.58
PH2M,net_worth,19099,19791932.52971729,4927.092335114443,3092.2312865228632,704.52,2412.7200000000003,4795.68,7205.76,9357.310000000001
Ricardian,net_worth,26506,32986747.0581379,666321.0617698502,5799145.654411944,6683.25,13790.880000000001,40263.229999999996,199664.6,1097490.7066666668
WH2M,net_worth,12385,16194978.429391902,36485.06144115878,37157.25749285068,14347.140000000001,20399.999999999996,30000.0,40989.06,64908.149999999994
PH2M,pc_income,19099,19791932.52971729,1301.2843831183625,1809.980831872901,186.785,401.118,893.8800000000001,1737.0200000000002,2624.0699999999997
Ricardian,pc_income,26506,32986747.0581379,11383.301504686622,41184.37371971505,1213.48,2020.6,3804.4275,8480.169999999998,20571.425000000003
WH2M,pc_income,12385,16194978.429391902,6285.121209837955,91510.85138664828,597.0775,1116.73,2112.4325,4313.755,9225.7425
