UF,ref_month_yyyymm,mean_income,n_obs,total_weight,uf_code,year,month,mean_income_sa,mean_income_trend
11,201201,2743.16449776177,1349,690205.474924038,11,2012,1,2723.08540670562,2639.62327305407
11,201202,2563.83989932422,1115,597267.478642403,11,2012,2,2593.55967980755,2631.94694823605
11,201203,2602.24451308619,1327,667173.165724804,11,2012,3,2601.93085434108,2624.27062341802
11,201204,2657.3336958909,1484,707503.706015223,11,2012,4,2650.84812609628,2616.5942986
11,201205,2442.70508245785,1327,655318.876620942,11,2012,5,2561.09959982007,2609.38176004071
11,201206,2598.69359778029,1391,662423.295427428,11,2012,6,2581.28973114211,2602.16922148142
11,201207,2742.04526299771,1416,698270.784022359,11,2012,7,2676.1152005943,2594.95668292214
11,201208,2348.1635181597,1282,662161.324332093,11,2012,8,2380.84663543364,2588.28813853101
11,201209,2669.66293654405,1372,688304.354656144,11,2012,9,2641.34922305693,2581.61959413988
11,201210,2679.30471013553,1386,706404.382443474,11,2012,10,2646.35096302629,2574.95104974876
11,201211,2365.91483352129,1326,710114.12206207,11,2012,11,2400.21483425663,2570.67061639098
11,201212,2604.44213206063,1301,684765.913384326,11,2012,12,2557.77717092206,2566.3901830332
11,201301,2696.8838446076,1415,729464.713593396,11,2013,1,2679.70072199468,2562.10974967542
11,201302,2393.62403075127,1274,640170.072294583,11,2013,2,2420.38448097436,2559.66534362071
11,201303,2657.03585103327,1372,711186.863942414,11,2013,3,2661.54291930154,2557.22093756601
11,201304,2605.28268202122,1477,729661.434341861,11,2013,4,2600.77499983412,2554.7765315113
11,201305,2331.73443884115,1401,677714.638058142,11,2013,5,2447.93157547648,2554.54722307758
11,201306,2530.96096836488,1501,704910.480747031,11,2013,6,2512.40018619724,2554.31791464386
11,201307,2779.07900836913,1535,730904.878501599,11,2013,7,2716.83570208636,2554.08860621014
11,201308,2423.89606573283,1326,649890.742632571,11,2013,8,2453.25677711164,2557.97395481518
11,201309,2485.29200655844,1458,705063.206464985,11,2013,9,2455.12826023843,2561.85930342022
11,201310,2750.99256160022,1459,718126.343594969,11,2013,10,2720.82369116708,2565.74465202526
11,201311,2442.79911710419,1381,707776.263689507,11,2013,11,2470.31718605933,2571.48842546325
11,201312,2613.45805037368,1340,682122.441076083,11,2013,12,2568.64843109296,2577.23219890123
11,201401,2602.97510055935,1468,738791.50556499,11,2014,1,2588.70890382119,2582.97597233921
11,201402,2476.68135295952,1307,709184.319964836,11,2014,2,2500.48905904287,2587.83069856398
11,201403,2741.66790121763,1347,672398.331099914,11,2014,3,2750.98791130876,2592.68542478874
11,201404,2722.81400383422,1426,717171.415715692,11,2014,4,2720.25724081389,2597.5401510135
11,201405,2435.40135317481,1303,681627.205711665,11,2014,5,2549.35495739228,2601.61585361551
11,201406,2602.39755767702,1328,666613.532386632,11,2014,6,2582.61336566602,2605.69155621752
11,201407,2667.53958570594,1434,743259.537310498,11,2014,7,2608.89619860696,2609.76725881954
11,201408,2625.70277603153,1276,677167.714090644,11,2014,8,2651.63715209357,2612.76812672909
11,201409,2617.98460318962,1347,676222.274586014,11,2014,9,2585.84980213028,2615.76899463865
11,201410,2608.12740198261,1466,761612.774090561,11,2014,10,2580.61587006881,2618.76986254821
11,201411,2527.15648066179,1343,722433.076996937,11,2014,11,2547.75856342968,2618.71213470256
11,201412,2750.77762447879,1346,666217.128082244,11,2014,12,2707.69829836958,2618.65440685692
11,201501,2510.15534849161,1450,767752.304452816,11,2015,1,2501.98049674011,2618.59667901127
11,201502,2756.76129537469,1281,670200.104089877,11,2015,2,2774.99763394874,2613.93535451056
11,201503,2720.02118324274,1287,643946.085958233,11,2015,3,2735.99236686209,2609.27403000985
11,201504,2472.30201457368,1394,738495.910148655,11,2015,4,2473.4052029988,2604.61270550915
11,201505,2772.51375302385,1222,634175.859255024,11,2015,5,2881.694476222,2598.03554934601
11,201506,2613.37898912117,1337,672789.232089302,11,2015,6,2591.68551033723,2591.45839318288
11,201507,2585.99232616201,1432,755804.46382431,11,2015,7,2534.86036206294,2584.88123701975
11,201508,2635.01182143566,1343,659325.585658149,11,2015,8,2653.63743954311,2572.95085276855
11,201509,2535.08948897242,1323,666760.542805797,11,2015,9,2500.70028787821,2561.02046851734
11,201510,2448.57025079685,1328,750107.60664327,11,2015,10,2426.96949550356,2549.09008426614
11,201511,2486.76267278409,1283,674255.219748793,11,2015,11,2495.81978009288,2535.75620519201
11,201512,2707.02460752684,1295,689014.334400162,11,2015,12,2666.24644497349,2522.42232611788
11,201601,2545.16824399457,1318,730471.018503898,11,2016,1,2543.20289614567,2509.08844704374
11,201602,2492.98866736128,1268,668636.881782861,11,2016,2,2505.70520308937,2499.82589819516
11,201603,2434.93101435245,1310,656509.127885904,11,2016,3,2457.53834191074,2490.56334934658
11,201604,2484.48125873271,1291,729777.208133135,11,2016,4,2489.12739113849,2481.30080049799
11,201605,2329.73702922068,1319,663476.659076062,11,2016,5,2433.92588605923,2474.20158292826
11,201606,2496.01512615359,1371,677856.982394883,11,2016,6,2472.07733182783,2467.10236535854
11,201607,2432.95841910237,1273,754259.584599705,11,2016,7,2388.88680580574,2460.00314778881
11,201608,2424.50987206093,1284,620387.24467674,11,2016,8,2435.27653116382,2459.34370000644
11,201609,2499.27852027899,1348,639300.995347556,11,2016,9,2461.98558924744,2458.68425222407
11,201610,2543.81140969321,1256,744242.12158676,11,2016,10,2527.41817186661,2458.0248044417
11,201611,2349.4918087894,1234,613660.824940817,11,2016,11,2346.24675223392,2467.83585230859
11,201612,2434.21031625246,1305,652564.215049639,11,2016,12,2394.98986003404,2477.64690017549
11,201701,2515.45091871758,1224,711577.896050732,11,2017,1,2530.43310194042,2487.45794804238
11,201702,2360.32269351287,1184,577169.190671029,11,2017,2,2355.82834262091,2501.53582646843
11,201703,2543.68118734161,1294,648123.494307934,11,2017,3,2587.97406256648,2515.61370489448
11,201704,2508.23939289622,1217,707609.205638157,11,2017,4,2524.6561114616,2529.69158332053
11,201705,2435.66575814488,1233,597289.480374201,11,2017,5,2522.86397609911,2546.02286779116
11,201706,2610.78916289905,1336,677413.072025937,11,2017,6,2580.73711818144,2562.35415226179
11,201707,2766.36706590078,1262,749033.327253291,11,2017,7,2743.27161027753,2578.68543673243
11,201708,2564.71811146562,1228,608402.486837421,11,2017,8,2557.52526313002,2594.14053464302
11,201709,2593.88914753737,1306,677421.338684601,11,2017,9,2547.12281426867,2609.59563255361
11,201710,2678.27884981707,1295,807688.490660838,11,2017,10,2676.24842444888,2625.05073046419
11,201711,2654.61856886952,1215,603406.752586965,11,2017,11,2620.33795728606,2636.61812281621
11,201712,2661.88075516559,1283,662701.53278924,11,2017,12,2631.97091842942,2648.18551516822
11,201801,3079.82259154878,1235,767605.17140883,11,2018,1,3112.4648049063,2659.75290752023
11,201802,2713.60498983031,1196,586261.806851772,11,2018,2,2692.63013863373,2669.43298028267
11,201803,2523.16115762462,1264,652868.095326672,11,2018,3,2589.88785408401,2679.11305304511
11,201804,2765.43439592327,1270,786862.996594457,11,2018,4,2794.37933147193,2688.79312580755
11,201805,2689.13122535113,1232,588052.244090608,11,2018,5,2760.10579250051,2694.1456879489
11,201806,2673.80820132193,1259,657791.273087664,11,2018,6,2638.4163057258,2699.49825009024
11,201807,2771.14284256048,1315,821939.279959581,11,2018,7,2769.80535555782,2704.85081223159
11,201808,2634.87110824279,1225,609851.911127018,11,2018,8,2610.50682983251,2702.15020736316
11,201809,2846.48124350832,1271,669135.508945386,11,2018,9,2791.03585178288,2699.44960249473
11,201810,2797.12571484752,1383,829235.879282035,11,2018,10,2810.24186865284,2696.7489976263
11,201811,2781.64043349348,1224,631376.045618725,11,2018,11,2717.09745653184,2696.07766954891
11,201812,2659.06535378373,1221,662917.973062531,11,2018,12,2639.19270813217,2695.40634147153
11,201901,2590.44715688203,1357,845422.362659154,11,2019,1,2622.62370209534,2694.73501339414
11,201902,2725.08320609742,1185,612976.335135276,11,2019,2,2713.14087926544,2699.57701304715
11,201903,2552.44842729063,1246,659307.692947802,11,2019,3,2624.67781143721,2704.41901270016
11,201904,2578.42626352445,1269,796230.143284492,11,2019,4,2607.66638040829,2709.26101235316
11,201905,2498.19892338539,1193,634616.401804471,11,2019,5,2557.82654799309,2720.06422354191
