uf_code,year,month,ref_month_yyyymm,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
11,2012,1,201201,0.234480484606735,0.267704819356862,0.497814696036402,0.502185303963598,1218952.95607891,2434,1069
12,2012,1,201201,0.225031315797957,0.300690559860505,0.474278124341539,0.525721875658461,463438.556978443,2132,967
13,2012,1,201201,0.233874921825807,0.274412533219835,0.491712544954358,0.508287455045642,2504128.52411361,3544,1595
14,2012,1,201201,0.243029736458858,0.287335987154456,0.469634276386686,0.530365723613314,323194.162830109,1230,578
15,2012,1,201201,0.244262404997583,0.300545172929541,0.455192422072877,0.544807577927124,5727703.12187032,4586,2060
16,2012,1,201201,0.218771907663465,0.313756684978651,0.467471407357884,0.532528592642116,441384.344213403,929,365
17,2012,1,201201,0.229360095495944,0.304570953951093,0.466068950552963,0.533931049447037,979824.158095168,2015,811
21,2012,1,201201,0.243245872198119,0.270921114887156,0.485833012914725,0.514166987085275,4441494.79939875,8039,3672
22,2012,1,201201,0.251267045563364,0.272750038937735,0.475982915498901,0.524017084501099,2388479.27007533,3356,1380
23,2012,1,201201,0.235146144893968,0.28024921192954,0.484604643176492,0.515395356823508,6830069.62885275,7291,2998
24,2012,1,201201,0.218711210993995,0.260100928211544,0.521187860794461,0.478812139205539,2526099.23020284,2965,1237
25,2012,1,201201,0.257343777096312,0.253845146088574,0.488811076815114,0.511188923184886,3036685.75109005,3786,1565
26,2012,1,201201,0.229627309095984,0.252780808562646,0.51759188234137,0.48240811765863,6512373.40013038,5251,2130
27,2012,1,201201,0.234769330853197,0.254938388669488,0.510292280477314,0.489707719522686,2371110.20670652,5107,2401
28,2012,1,201201,0.230459896950722,0.27247668424861,0.497063418800668,0.502936581199332,1683912.82224495,2880,1129
29,2012,1,201201,0.241412131555566,0.270525738845363,0.488062129599071,0.511937870400929,10653115.5229308,6966,2701
31,2012,1,201201,0.186851503837261,0.277961929882597,0.535186566280142,0.464813433719858,15658703.8368572,10098,3938
32,2012,1,201201,0.206607530319433,0.282224965846069,0.511167503834498,0.488832496165502,2909169.42903457,5137,1802
33,2012,1,201201,0.189040851040877,0.265474149046389,0.545484999912734,0.454515000087266,12422616.5479588,8839,3315
35,2012,1,201201,0.195056140552245,0.253923510703501,0.551020348744254,0.448979651255746,32789563.2660162,10558,3806
41,2012,1,201201,0.189605139457331,0.281571985438931,0.528822875103738,0.471177124896262,8370233.2869768,6742,3269
42,2012,1,201201,0.180286640035064,0.287124678745705,0.532588681219231,0.467411318780769,5068794.90034211,8009,3791
43,2012,1,201201,0.203258041152027,0.282062776300442,0.514679182547531,0.485320817452469,8730983.47174142,7455,3457
50,2012,1,201201,0.212938105394975,0.255981084817352,0.531080809787673,0.468919190212327,1862514.17615682,2852,1086
51,2012,1,201201,0.216390475217801,0.249434071116005,0.534175453666194,0.465824546333806,2428012.56664641,3322,1298
52,2012,1,201201,0.217939702865428,0.258128271503185,0.523932025631387,0.476067974368613,4846761.55569362,4559,1703
53,2012,1,201201,0.20466013969661,0.214829461019625,0.580510399283765,0.419489600716235,2175724.703511,2341,921
11,2012,2,201202,0.240972977937305,0.286409030731384,0.472617991331311,0.527382008668689,1084086.87227658,2054,874
12,2012,2,201202,0.253183176842777,0.270683139370314,0.476133683786909,0.523866316213091,522553.739098664,2413,1136
13,2012,2,201202,0.22977832779705,0.315357642730675,0.454864029472275,0.545135970527725,2365255.96082151,3337,1520
14,2012,2,201202,0.241422803914945,0.307590329665759,0.450986866419296,0.549013133580704,319470.561900597,1296,541
15,2012,2,201202,0.233796177170352,0.321989561163164,0.444214261666484,0.555785738333516,5498011.75866287,4718,1992
16,2012,2,201202,0.239508233722841,0.300422496015622,0.460069270261537,0.539930729738463,448586.798471625,1209,462
17,2012,2,201202,0.230068546248398,0.2925260363214,0.477405417430203,0.522594582569798,981470.484421538,1750,719
21,2012,2,201202,0.249778315632027,0.275294205135999,0.474927479231974,0.525072520768026,4487933.23079347,7753,3466
22,2012,2,201202,0.255861783744311,0.280275911881009,0.46386230437468,0.53613769562532,2373225.86767566,3178,1292
23,2012,2,201202,0.231681932830313,0.272507735765617,0.49581033140407,0.50418966859593,6032516.09462072,6461,2695
24,2012,2,201202,0.220726234387894,0.254092736102947,0.525181029509159,0.474818970490841,2593782.15250783,2731,1141
25,2012,2,201202,0.229942411049461,0.253958116616098,0.51609947233444,0.48390052766556,2989413.80284966,3461,1383
26,2012,2,201202,0.225217468771314,0.248492325621884,0.526290205606803,0.473709794393197,6707751.91592872,5252,2298
27,2012,2,201202,0.231069787402734,0.249474774328178,0.519455438269088,0.480544561730912,2299833.84471034,5025,2378
28,2012,2,201202,0.242261707881468,0.253770315918794,0.503967976199738,0.496032023800262,1607410.32921463,2613,1006
29,2012,2,201202,0.237092266112656,0.267597210362872,0.495310523524472,0.504689476475528,10593525.8677116,6680,2466
31,2012,2,201202,0.192990689096703,0.275701861881058,0.531307449022239,0.468692550977761,15245894.9444155,9719,3467
32,2012,2,201202,0.203283574870334,0.266630501933241,0.530085923196426,0.469914076803575,2821130.00374499,4632,1738
33,2012,2,201202,0.187645320045047,0.265374407891456,0.546980272063497,0.453019727936503,13011385.1720055,9303,3474
35,2012,2,201202,0.191924695440007,0.271856143514147,0.536219161045847,0.463780838954153,34251043.2819314,10572,3701
41,2012,2,201202,0.182812357731984,0.306399977998108,0.510787664269908,0.489212335730092,8389085.15779554,6957,3274
42,2012,2,201202,0.184765037113681,0.301267453962369,0.513967508923949,0.486032491076051,5043486.96226512,7945,3637
43,2012,2,201202,0.18744862495476,0.286936434213244,0.525614940831995,0.474385059168005,8816033.23800428,7552,3513
50,2012,2,201202,0.211721836620277,0.240685914182427,0.547592249197296,0.452407750802704,1781725.0060802,2666,1031
51,2012,2,201202,0.209752740883718,0.254628599007473,0.535618660108809,0.464381339891191,2401574.76279628,3287,1314
52,2012,2,201202,0.210290031919587,0.24159576029808,0.548114207782333,0.451885792217667,4414069.38619211,3829,1480
53,2012,2,201202,0.197356049317647,0.219880352424051,0.582763598258302,0.417236401741698,2070902.41294266,2268,931
11,2012,3,201203,0.261293392412255,0.279079571047608,0.459627036540137,0.540372963459863,1177035.38825583,2357,975
12,2012,3,201203,0.247353227853911,0.253213977786676,0.499432794359413,0.500567205640587,515655.042165735,2267,1052
13,2012,3,201203,0.239029544297583,0.288709902570648,0.47226055313177,0.52773944686823,2319439.77665556,3580,1577
14,2012,3,201203,0.241238724932866,0.302865215558605,0.455896059508529,0.544103940491472,260071.125581792,1084,488
15,2012,3,201203,0.252094880464151,0.306806039410127,0.441099080125722,0.558900919874278,5558511.05874679,4633,1950
16,2012,3,201203,0.249231363710651,0.28807312456857,0.462695511720779,0.537304488279221,487302.643329893,1086,452
17,2012,3,201203,0.220562839573581,0.301270722940185,0.478166437486234,0.521833562513766,969967.422811832,1825,760
21,2012,3,201203,0.239380724312258,0.271924822887066,0.488694452800676,0.511305547199324,4786669.33577516,8369,3817
22,2012,3,201203,0.242352989879662,0.279857027234661,0.477789982885677,0.522210017114323,2405844.97867257,3355,1418
23,2012,3,201203,0.249844173737745,0.258552898284637,0.491602927977618,0.508397072022383,6261865.4190925,6863,2978
24,2012,3,201203,0.23711850555994,0.242440330843471,0.520441163596589,0.479558836403411,2362090.52056521,2954,1209
25,2012,3,201203,0.245757730333319,0.275288026232438,0.478954243434243,0.521045756565758,2766915.28806483,3216,1305
26,2012,3,201203,0.228356055793372,0.270952656197714,0.500691288008914,0.499308711991086,6651492.19429302,5013,2189
27,2012,3,201203,0.225731961018576,0.254978227570044,0.51928981141138,0.48071018858862,2158823.99967584,4707,2283
28,2012,3,201203,0.235112535144155,0.266070520675721,0.498816944180124,0.501183055819876,1536129.73197402,2750,1106
29,2012,3,201203,0.232350871734576,0.272487059993556,0.495162068271868,0.504837931728132,10785202.2583225,6884,2490
31,2012,3,201203,0.199084104679891,0.28940266171143,0.511513233608679,0.488486766391321,15267840.4828965,10175,3666
